,clean company name,original company names,original row number,company matches,fuzz ratio
626,sanofi synthelabo,SANOFI SYNTHELABO,760,['sanofi synthelabo'],[100]
627,sanofi-aventis,SANOFI-AVENTIS US,763,['sanofi-aventis'],[100]
628,santarus,SANTARUS INC,764,['santarus'],[100]
629,santen,SANTEN,765,['santen'],[100]
630,santos biotech,SANTOS BIOTECH,766,['santos biotech'],[100]
631,saol theraps res,SAOL THERAPS RES LTD,767,['saol theraps res'],[100]
632,sb pharmco,SB PHARMCO,768,['sb pharmco'],[100]
633,schering,SCHERING,769,['schering'],[100]
634,sciegen,SCIEGEN PHARMS INC,770,['sciegen'],[100]
635,scios,SCIOS LLC,771,['scios'],[100]
636,scott-gross,SCOTT-GROSS COMPANY,772,['scott-gross'],[100]
637,seattle genetics,SEATTLE GENETICS,773,['seattle genetics'],[100]
638,sebela ireland,SEBELA IRELAND LTD,774,['sebela ireland'],[100]
639,secan,SECAN PHARMS,775,['secan'],[100]
640,sentynl theraps,SENTYNL THERAPS INC,776,['sentynl theraps'],[100]
641,septodont,SEPTODONT,777,['septodont'],[100]
642,septodont holding,SEPTODONT HOLDING,778,['septodont holding'],[100]
643,serb,SERB SA,779,['serb'],[100]
644,serono,SERONO INC,780,['serono'],[100]
645,seton,SETON PHARM,781,['seton'],[100]
646,shanghai hengrui,SHANGHAI HENGRUI,782,['shanghai hengrui'],[100]
647,shenzhen techdow,SHENZHEN TECHDOW,783,['shenzhen techdow'],[100]
648,shertech,SHERTECH LABS LLC,784,['shertech'],[100]
649,shionogi,SHIONOGI INC,785,['shionogi'],[100]
650,shire,"SHIRE, SHIRE LLC","786, 790","['shire', 'shire'], ['shire', 'shire']","[100, 100], [100, 100]"
651,shire dev,SHIRE DEV LLC,787,['shire dev'],[100]
652,shire development,SHIRE DEVELOPMENT,788,['shire development'],[100]
653,shire human genetic,SHIRE HUMAN GENETIC,789,['shire human genetic'],[100]
654,shire orphan therap,SHIRE ORPHAN THERAP,791,['shire orphan therap'],[100]
655,sicor biotech,SICOR BIOTECH,792,['sicor biotech'],[100]
656,sidmak india,SIDMAK LABS INDIA,793,['sidmak india'],[100]
657,sigma tau,SIGMA TAU,794,['sigma tau'],[100]
658,sigmapharm,SIGMAPHARM LABS LLC,795,['sigmapharm'],[100]
659,silarx,"SILARX, SILARX PHARMS INC","796, 797","['silarx', 'silarx'], ['silarx', 'silarx']","[100, 100], [100, 100]"
660,silvergate,SILVERGATE PHARMS,798,['silvergate'],[100]
661,skinmedica,SKINMEDICA,799,['skinmedica'],[100]
662,skyepharma,SKYEPHARMA AG,800,['skyepharma'],[100]
663,smithkline beecham,SMITHKLINE BEECHAM,801,['smithkline beecham'],[100]
664,sofgen,SOFGEN PHARMS,802,['sofgen'],[100]
665,sofie,SOFIE,803,['sofie'],[100]
666,somerset,SOMERSET,804,['somerset'],[100]
667,somerset theraps,SOMERSET THERAPS LLC,805,['somerset theraps'],[100]
668,sovereign,SOVEREIGN PHARMS,806,['sovereign'],[100]
669,spear,SPEAR PHARMS,807,['spear'],[100]
670,specgx,SPECGX LLC,808,['specgx'],[100]
671,spectron mrc,SPECTRON MRC LLC,809,['spectron mrc'],[100]
672,spectrum,SPECTRUM PHARMS,810,['spectrum'],[100]
673,spriaso,SPRIASO LLC,811,['spriaso'],[100]
674,sprout,SPROUT PHARMS,812,['sprout'],[100]
675,star fl,STAR PHARMS FL,813,['star fl'],[100]
676,stevens j,STEVENS J,814,['stevens j'],[100]
677,sti,STI PHARMA LLC,815,['sti'],[100]
678,stiefel,"STIEFEL, STIEFEL LABS INC","816, 817","['stiefel', 'stiefel'], ['stiefel', 'stiefel']","[100, 100], [100, 100]"
679,strata innovations,STRATA MEDICAL INNOVATIONS,818,['strata innovations'],[100]
680,strides,STRIDES PHARMA,820,['strides'],[100]
681,strides arcolab,STRIDES ARCOLAB LTD,819,['strides arcolab'],[100]
682,strongbridge,STRONGBRIDGE US,821,['strongbridge'],[100]
683,sucampo,SUCAMPO PHARMA LLC,822,['sucampo'],[100]
684,sun global,SUN PHARMA GLOBAL,828,['sun global'],[100]
685,sun inds,"SUN PHARM INDS, SUN PHARM INDS (IN), SUN PHARM INDS INC, SUN PHARM INDS LTD","823, 824, 825, 826","['sun inds', 'sun inds', 'sun inds', 'sun inds'], ['sun inds', 'sun inds', 'sun inds', 'sun inds'], ['sun inds', 'sun inds', 'sun inds', 'sun inds'], ['sun inds', 'sun inds', 'sun inds', 'sun inds']","[100, 100, 100, 100], [100, 100, 100, 100], [100, 100, 100, 100], [100, 100, 100, 100]"
686,sun industries,SUN PHARM INDUSTRIES,827,['sun industries'],[100]
687,sunovion,"SUNOVION, SUNOVION PHARMS INC","829, 830","['sunovion', 'sunovion'], ['sunovion', 'sunovion']","[100, 100], [100, 100]"
688,sunstar americas,SUNSTAR AMERICAS,831,['sunstar americas'],[100]
689,supernus,SUPERNUS PHARMS,832,['supernus'],[100]
690,swedish orphan,SWEDISH ORPHAN,833,['swedish orphan'],[100]
691,symplmed,SYMPLMED PHARMS LLC,834,['symplmed'],[100]
692,synthon,SYNTHON PHARMS,835,['synthon'],[100]
693,taiho oncology,TAIHO ONCOLOGY,836,['taiho oncology'],[100]
694,takeda,TAKEDA PHARMS USA,837,['takeda'],[100]
695,talon therap,TALON THERAP,838,['talon therap'],[100]
696,taro,"TARO, TARO PHARM, TARO PHARMS","839, 840, 842","['taro', 'taro', 'taro'], ['taro', 'taro', 'taro'], ['taro', 'taro', 'taro']","[100, 100, 100], [100, 100, 100], [100, 100, 100]"
697,taro inds,TARO PHARM INDS,841,['taro inds'],[100]
698,taro ireland,TARO PHARMS IRELAND,843,['taro ireland'],[100]
699,taro north,TARO PHARMS NORTH,844,['taro north'],[100]
700,tasman,TASMAN PHARMA,845,['tasman'],[100]
701,tech organized,TECH ORGANIZED,846,['tech organized'],[100]
702,tedor,TEDOR PHARM,847,['tedor'],[100]
703,teikoku,TEIKOKU PHARMA USA,848,['teikoku'],[100]
704,teligent,"TELIGENT, TELIGENT PHARMA INC","849, 850","['teligent', 'teligent'], ['teligent', 'teligent']","[100, 100], [100, 100]"
705,tersera theraps,TERSERA THERAPS LLC,851,['tersera theraps'],[100]
706,tesaro,TESARO INC,852,['tesaro'],[100]
707,teva,"TEVA, TEVA PHARMS, TEVA PHARMS INTL, TEVA PHARMS USA, TEVA PHARMS USA INC","853, 856, 857, 858, 859","['teva', 'teva', 'teva', 'teva', 'teva'], ['teva', 'teva', 'teva', 'teva', 'teva'], ['teva', 'teva', 'teva', 'teva', 'teva'], ['teva', 'teva', 'teva', 'teva', 'teva'], ['teva', 'teva', 'teva', 'teva', 'teva']","[100, 100, 100, 100, 100], [100, 100, 100, 100, 100], [100, 100, 100, 100, 100], [100, 100, 100, 100, 100], [100, 100, 100, 100, 100]"
708,teva branded,TEVA BRANDED PHARM,854,['teva branded'],[100]
709,teva parenteral,TEVA PARENTERAL,855,['teva parenteral'],[100]
710,teva womens,TEVA WOMENS,860,['teva womens'],[100]
711,thepharmanetwork,THEPHARMANETWORK LLC,865,['thepharmanetwork'],[100]
712,theratechnologies,THERATECHNOLOGIES,866,['theratechnologies'],[100]
713,theravance,THERAVANCE INC,868,['theravance'],[100]
714,theravance biopharma,THERAVANCE BIOPHARMA,867,['theravance biopharma'],[100]
715,"thrombogenics,","THROMBOGENICS, INC",869,"['thrombogenics,']",[100]
716,tolmar,TOLMAR,870,['tolmar'],[100]
717,tolmar therap,TOLMAR THERAP,871,['tolmar therap'],[100]
718,torrent,"TORRENT PHARMA INC, TORRENT PHARMS, TORRENT PHARMS LLC, TORRENT PHARMS LTD","872, 873, 874, 875","['torrent', 'torrent', 'torrent', 'torrent'], ['torrent', 'torrent', 'torrent', 'torrent'], ['torrent', 'torrent', 'torrent', 'torrent'], ['torrent', 'torrent', 'torrent', 'torrent']","[100, 100, 100, 100], [100, 100, 100, 100], [100, 100, 100, 100], [100, 100, 100, 100]"
719,tris,TRIS PHARMA INC,876,['tris'],[100]
720,trustees univ,TRUSTEES UNIV PA,877,['trustees univ'],[100]
721,twi,TWI PHARMS INC,878,['twi'],[100]
722,ucb,UCB INC,879,['ucb'],[100]
723,ucla biomedical,UCLA BIOMEDICAL,880,['ucla biomedical'],[100]
724,ucsf rodiopharm,UCSF RODIOPHARM,881,['ucsf rodiopharm'],[100]
725,uihc pet imaging,UIHC PET IMAGING,882,['uihc pet imaging'],[100]
726,unichem,"UNICHEM, UNICHEM LABS LTD, UNICHEM PHARMS (USA)","883, 884, 885","['unichem', 'unichem', 'unichem'], ['unichem', 'unichem', 'unichem'], ['unichem', 'unichem', 'unichem']","[100, 100, 100], [100, 100, 100], [100, 100, 100]"
727,unimark remedies,UNIMARK REMEDIES LTD,886,['unimark remedies'],[100]
728,unique,UNIQUE PHARM LABS,887,['unique'],[100]
729,united biomedcl,UNITED BIOMEDCL,888,['united biomedcl'],[100]
730,united guardian,UNITED GUARDIAN,889,['united guardian'],[100]
731,united states welding,UNITED STATES WELDING INC,890,['united states welding'],[100]
732,united therap,UNITED THERAP,891,['united therap'],[100]
733,univ michigan,UNIV MICHIGAN,892,['univ michigan'],[100]
734,univ north dakota,UNIV NORTH DAKOTA,893,['univ north dakota'],[100]
735,univ tx md anderson,UNIV TX MD ANDERSON,894,['univ tx md anderson'],[100]
736,univ utah cyclotron,UNIV UTAH CYCLOTRON,895,['univ utah cyclotron'],[100]
737,upsher-smith,UPSHER-SMITH LABS,896,['upsher-smith'],[100]
738,usl,USL PHARMA,902,['usl'],[100]
739,uspharma,USPHARMA,903,['uspharma'],[100]
740,usv north america,USV NORTH AMERICA,904,['usv north america'],[100]
741,valeant,"VALEANT, VALEANT INTL, VALEANT PHARM INTL, VALEANT PHARMS, VALEANT PHARMS INC, VALEANT PHARMS INTL, VALEANT PHARMS LLC","905, 907, 909, 910, 911, 912, 913","['valeant', 'valeant', 'valeant', 'valeant', 'valeant', 'valeant', 'valeant'], ['valeant', 'valeant', 'valeant', 'valeant', 'valeant', 'valeant', 'valeant'], ['valeant', 'valeant', 'valeant', 'valeant', 'valeant', 'valeant', 'valeant'], ['valeant', 'valeant', 'valeant', 'valeant', 'valeant', 'valeant', 'valeant'], ['valeant', 'valeant', 'valeant', 'valeant', 'valeant', 'valeant', 'valeant'], ['valeant', 'valeant', 'valeant', 'valeant', 'valeant', 'valeant', 'valeant'], ['valeant', 'valeant', 'valeant', 'valeant', 'valeant', 'valeant', 'valeant']","[100, 100, 100, 100, 100, 100, 100], [100, 100, 100, 100, 100, 100, 100], [100, 100, 100, 100, 100, 100, 100], [100, 100, 100, 100, 100, 100, 100], [100, 100, 100, 100, 100, 100, 100], [100, 100, 100, 100, 100, 100, 100], [100, 100, 100, 100, 100, 100, 100]"
742,valeant bermuda,VALEANT BERMUDA,906,['valeant bermuda'],[100]
743,valeant luxembourg,VALEANT LUXEMBOURG,908,['valeant luxembourg'],[100]
744,valeant north,VALEANT PHARMS NORTH,914,['valeant north'],[100]
745,validus,VALIDUS PHARMS,915,['validus'],[100]
746,vanda,VANDA PHARMS INC,916,['vanda'],[100]
747,veloxis,VELOXIS PHARMS INC,917,['veloxis'],[100]
748,vernalis,VERNALIS R AND D LTD,918,['vernalis'],[100]
749,veroscience,VEROSCIENCE,919,['veroscience'],[100]
750,vertex,"VERTEX PHARMS, VERTEX PHARMS INC","920, 921","['vertex', 'vertex'], ['vertex', 'vertex']","[100, 100], [100, 100]"
751,vib,VIB,922,['vib'],[100]
752,vicuron,VICURON,923,['vicuron'],[100]
753,vidara therapeutics research,VIDARA THERAPEUTICS RESEARCH LTD,924,['vidara therapeutics research'],[100]
754,vifor fresenius,VIFOR FRESENIUS,925,['vifor fresenius'],[100]
755,viiv,VIIV HLTHCARE,926,['viiv'],[100]
756,vintage,"VINTAGE, VINTAGE PHARMS, VINTAGE PHARMS LLC","927, 928, 929","['vintage', 'vintage', 'vintage'], ['vintage', 'vintage', 'vintage'], ['vintage', 'vintage', 'vintage']","[100, 100, 100], [100, 100, 100], [100, 100, 100]"
757,virtus,"VIRTUS PHARM, VIRTUS PHARMS","930, 931","['virtus', 'virtus'], ['virtus', 'virtus']","[100, 100], [100, 100]"
758,vistapharm,VISTAPHARM,932,['vistapharm'],[100]
759,viva,VIVA HLTHCARE,933,['viva'],[100]
760,vivimed global,VIVIMED GLOBAL,934,['vivimed global'],[100]
761,vivus,VIVUS,935,['vivus'],[100]
762,wa univ sch med,WA UNIV SCH MED,936,['wa univ sch med'],[100]
763,warner chilcott,WARNER CHILCOTT,937,['warner chilcott'],[100]
764,watson,"WATSON LABS, WATSON LABS INC, WATSON PHARMS INC","938, 939, 941","['watson', 'watson', 'watson'], ['watson', 'watson', 'watson'], ['watson', 'watson', 'watson']","[100, 100, 100], [100, 100, 100], [100, 100, 100]"
765,watson teva,"WATSON LABS TEVA, WATSON PHARMS TEVA","940, 942","['watson teva', 'watson teva'], ['watson teva', 'watson teva']","[100, 100], [100, 100]"
766,welding gas,AMERICAN WELDING AND GAS INC,79,['welding gas'],[100]
767,wellstat therap,WELLSTAT THERAP,943,['wellstat therap'],[100]
768,west ward,WEST WARD PHARM CORP,944,['west ward'],[100]
769,west-ward int,WEST-WARD PHARMS INT,945,['west-ward int'],[100]
770,westair gases&equipment,WESTAIR GASES & EQUIPMENT INC,946,['westair gases&equipment'],[100]
771,wi medcl cyclotron,WI MEDCL CYCLOTRON,947,['wi medcl cyclotron'],[100]
772,wilshire,WILSHIRE PHARMS INC,948,['wilshire'],[100]
773,windlas,WINDLAS HLTHCARE,949,['windlas'],[100]
774,windtree therap,WINDTREE THERAP,950,['windtree therap'],[100]
775,wockhardt,"WOCKHARDT, WOCKHARDT LTD, WOCKHARDT USA","951, 953, 954","['wockhardt', 'wockhardt', 'wockhardt'], ['wockhardt', 'wockhardt', 'wockhardt'], ['wockhardt', 'wockhardt', 'wockhardt']","[100, 100, 100], [100, 100, 100], [100, 100, 100]"
776,wockhardt bio,WOCKHARDT BIO AG,952,['wockhardt bio'],[100]
777,worldmeds,"US WORLDMEDS, US WORLDMEDS LLC","900, 901","['worldmeds', 'worldmeds'], ['worldmeds', 'worldmeds']","[100, 100], [100, 100]"
778,wraser,WRASER PHARMS LLC,955,['wraser'],[100]
779,wusm cyclotron,WUSM CYCLOTRON,956,['wusm cyclotron'],[100]
780,wyeth,WYETH PHARMS INC,957,['wyeth'],[100]
781,wyeth pfizer,WYETH PHARMS PFIZER,958,['wyeth pfizer'],[100]
782,"wynn mader, industrial gas distributors","WYNN L MADER, INDUSTRIAL GAS DISTRIBUTORS",959,"['wynn mader, industrial gas distributors']",[100]
783,x gen,X GEN PHARMS,960,['x gen'],[100]
784,x-gen,X-GEN PHARMS INC,961,['x-gen'],[100]
785,xellia,XELLIA PHARMS APS,962,['xellia'],[100]
786,xspire,XSPIRE PHARMA,963,['xspire'],[100]
787,xttrium,XTTRIUM,964,['xttrium'],[100]
788,yabao,YABAO PHARM,965,['yabao'],[100]
789,yaopharma,YAOPHARMA CO LTD,966,['yaopharma'],[100]
790,yung shin,YUNG SHIN PHARM,967,['yung shin'],[100]
791,zambon,ZAMBON SPA,968,['zambon'],[100]
792,zevacor,ZEVACOR PHARMA INC,969,['zevacor'],[100]
793,zo skin,ZO SKIN HEALTH,970,['zo skin'],[100]
794,zydus,"ZYDUS HLTHCARE, ZYDUS PHARMS USA, ZYDUS PHARMS USA INC","971, 972, 973","['zydus', 'zydus', 'zydus'], ['zydus', 'zydus', 'zydus'], ['zydus', 'zydus', 'zydus']","[100, 100, 100], [100, 100, 100], [100, 100, 100]"
795,zydus worldwide,ZYDUS WORLDWIDE,974,['zydus worldwide'],[100]
