,Code,Description,Count
38547,MTRPHL,Motorpoint Group PLC,4.0
38548,MTRSER,Matrix Service Company,306.0
38549,MTRSYI,Metrohealth System Inc,69.0
38550,MTRTCF,Trescal SA,3.0
38551,MTRUS,La Quinta Holdings Inc.,523.0
38552,MTRVCI,Maritz Travel Company,8.0
38553,MTRXSI,Matrix Solutions Inc,5.0
38554,MTRXVT,fSONA Systems Corp.,1.0
38555,MTRYL,Matreya LLC,11.0
38556,MTSASC,Panasonic Avionics Corporation,2.0
38557,MTSBAL,Mitsubishi Australia Limited,1.0
38558,MTSBCM,Mitsubishi Chemical Corp,34.0
38559,MTSBSA,Mitsubishi Aircraft Corporation,2.0
38560,MTSC,MTS Systems Corp,432.0
38561,MTSCNC,MitoSciences Inc.,11.0
38562,MTSCON,Sumitomo Mitsui Construction Co Ltd,2.0
38563,MTSGWA,Montana Stockgrowers Association,6.0
38564,MTSHLP,"MTS Health Partners, L.P.",491.0
38565,MTSHOL,"Sumitomo Mitsui Trust Holdings, Inc.",60.0
38566,MTSI,Montgomery Street Income Securities Inc,3.0
38567,MTSLII,Metsae Group,4.0
38568,MTSMDQ,Mount Sinai Medical Center,387.0
38569,MTSMIN,Mitsui Mining and Smelting Co. Ltd.,15.0
38570,MTSMRK,Neo Industrial Oyj,3.0
38571,MTSNMQ,Icahn School of Medicine at Mount Sinai,3057.0
38572,MTSOIN,Merlin International Inc.,2.0
38573,MTSRUS,Mobile Telesystems OJSC,14.0
38574,MTSTAR,Sajan Incorporated,35.0
38575,MTSTCH,"Mattson Technology, Inc.",259.0
38576,MTSTMA,Mount Saint Mary Academy,4.0
38577,MTSUBC,Mitsubishi Corp,460.0
38578,MTSUI,Mitsui & Co Ltd,292.0
38579,MTSUT,Matsutani Chemical Industry Co Ltd,6.0
38580,MTTCC,Matt Construction Corporation,2.0
38581,MTTCMZ,Matter Communications Inc.,37.0
38582,MTTFO,Marine Toys for Tots Foundation,3.0
38583,MTTINC,Matrix Technologies Inc.,2.0
38584,MTTL,Mittel SpA,16.0
38585,MTTLCI,Mattel Canada Inc,2.0
38586,MTTLWD,Mattioli Woods PLC,5.0
38587,MTTMTN,American Telemedicine Association,136.0
38588,MTTRKP,M&T Capital Trust IV,2.0
38589,MTTTEG,SLM Solutions Group AG,184.0
38590,MTU,MTU Aero Engines AG,31.0
38591,MTUBEC,Maverick Tube Corporation,1.0
38592,MTUMPP,iShares Edge MSCI USA Momentum Factor ETF,24.0
38593,MTURBA,MAN Diesel & Turbo SE,3.0
38594,MTUSA,ProAssurance Corporation,285.0
38595,MTUSCO,Mota Group Inc.,10.0
38596,MTVITS,MTV Italia Srl,1.0
38597,MTVNET,MTV Networks Inc.,157.0
38598,MTVPWI,MotivePower Inc,2.0
38599,MTVW,Mountview Estates PLC,16.0
38600,MTWK,Metrowerks Inc,2.0
38601,MTWLA,Montana Wilderness Association,2.0
38602,MTWOCQ,Element Fleet Management Corp,90.0
38603,MTWOSR,MG2 Srl,12.0
38604,MTWOTE,M2 Group Ltd.,7.0
38605,MTXHC,ADL Plc,1.0
38606,MTXPT,Matrix Partners,65.0
38607,MTYPWR,RBC Life Sciences Inc,29.0
38608,MTZLRB,B. Metzler seel. Sohn & Co. KGaA,15.0
38609,MUASL,Meyer Unkovic & Scott Llp,1.0
38610,MUBMOB,ViaDerma Inc,158.0
38611,MUCH,ML UK Capital Holdings,10.0
38612,MUCREA,Creation Museum,4.0
38613,MUEFCL,Mueller Canada Ltd,3.0
38614,MUELP,Paul Mueller Co,23.0
38615,MUEQRE,Servoca PLC,1.0
38616,MUESMI,Mueller Sports Medicine Inc.,56.0
38617,MUFC,Manchester United PLC,271.0
38618,MUFCCL,"Mitsubishi UFJ Capital Co., Ltd.",9.0
38619,MUFNAM,"InfinityQS International, Inc.",9.0
38620,MUFPCI,Mullins Food Products Inc.,2.0
38621,MUHLEC,Muhlenberg College,100.0
38622,MUHOAP,Munich Holdings of Australasia Pty Ltd,1.0
38623,MUIDC,"MediMedia USA, Inc.",28.0
38624,MUIN,Metals USA Holdings Corp.,30.0
38625,MUIRAL,Muirhead Aerospace Ltd,1.0
38626,MUITGY,Mapua Institute of Technology,1.0
38627,MUKTAA,Mukta Arts Limited,8.0
38628,MULBAU,Muehlbauer Holding AG & Co KGaA,2.0
38629,MULBRY,Mulberry Group PLC,33.0
38630,MULCOR,Zi Corporation,7.0
38631,MULCSI,Mulzer Crushed Stone Inc,2.0
38632,MULESO,MuleSoft Inc.,199.0
38633,MULFSC,Cetera Advisors Llc,38.0
38634,MULINK,Auriga Laboratories Inc.,48.0
38635,MULINT,Muller International Immobilien GmbH,2.0
38636,MULLLC,Multistack LLC,5.0
38637,MULLZ,Groupe Mulliez,1.0
38638,MULMDC,Tiso Blackstar Group SE,1.0
38639,MULOND,Museum of London,6.0
38640,MULPAL,Mulpha Australia Limited,1.0
38641,MULPLA,MultiPlan Inc,76.0
38642,MULR,Mueller Water Products Inc,529.0
38643,MULTZI,Zones Inc.,3.0
38644,MUMACH,Murata Machinery Limited,2.0
38645,MUMBHR,Bahrain Mumtalakat Holding Company,10.0
38646,MUMCIN,Munson Machinery Company Inc.,5.0
38647,MUMDMA,Perfect Holding S.A.,2.0
38648,MUMELB,Melbourne Museum,1.0
38649,MUMRRD,Mumbai Metropolitan Region Development Authority,7.0
38650,MUMSFT,Mensch und Maschine Software SE,4.0
38651,MUNARC,Munich American Reassurance Company,1.0
38652,MUNAYG,KazMunayGas JSC,3.0
38653,MUNB,"Sabadell United Bank, N.A.",1.0
38654,MUNCIN,"Munchkin, Inc.",4.0
38655,MUNDER,Munder Capital Management,4.0
38656,MUNDIP,Mundipharma AG,42.0
38657,MUNESI,Municipal Emergency Services Inc,3.0
38658,MUNID,BlackRock MuniYield Investment Fund,3.0
38659,MUNINS,BlackRock MuniHoldings Quality Fund Inc.,2.0
38660,MUNIQY,BlackRock MuniYield Quality Fund Inc,2.0
38661,MUNKO,Ahlstrom-Munksjo Oyj,4.0
38662,MUNPFI,Western Asset Municipal Partners Fund Inc.,2.0
38663,MUNSHI,Munson Healthcare,40.0
38664,MUNTCO,Munters Corporation,16.0
38665,MUNWPI,Munson-Williams-Proctor Arts Institute,6.0
38666,MUOCAT,"Museum Of Contemporary Art, Los Angeles",1.0
38667,MUOI,Mutual of Omaha Insurance Company,55.0
38668,MUOSAI,Museum Of Science And Industry,1.0
38669,MUPAYS,"Victura Construction Group, Inc.",4.0
38670,MUPGA,Musick Peeler & Garrett LLP,8.0
38671,MUPSOI,Multi Packaging Solutions International Ltd,77.0
38672,MURAC,Mitsubishi UFJ Research And Consulting Co Ltd,2.0
38673,MURCHH,Murchison Holdings Limited,1.0
38674,MURDUN,Murdoch University,60.0
38675,MURDVB,Tantech Holdings Ltd,114.0
38676,MURDZK,AstraZeneca AG,28.0
38677,MUREBL,Murex Biotech Ltd,13.0
38678,MUREL,Schroder UK Mid Cap Fund PLC,2.0
38679,MURENA,"Murata Electronics North America, Inc.",4.0
38680,MURGR,Murugappa Group,54.0
38681,MURP,Murphy Oil Corporation,934.0
38682,MURRAB,"President Baking Company, LLC",2.0
38683,MURRCT,Clayton Holdings LLC,10.0
38684,MURROB,Murray & Roberts Holdings Ltd,1.0
38685,MURTAM,Murata Manufacturing Company Limited,35.0
38686,MURWI,Murray International Trust PLC,15.0
38687,MUSBAN,The Musashino Bank Ltd,1.0
38688,MUSCOM,MCB Bank Ltd,12.0
38689,MUSCTA,Music Teachers National Association,4.0
38690,MUSCTF,Musculoskeletal Transplant Foundation Inc.,175.0
38691,MUSEOS,Museum Of Science,25.0
38692,MUSG,Musgrave Group,2.0
38693,MUSIAA,Musical Arts Association,2.0
38694,MUSICC,U.S. Music Corp,3.0
38695,MUSLAC,Los Angeles County Museum of Art,15.0
38696,MUSLBH,The Muslim Brotherhood,135.0
38697,MUSLPA,Muslim Public Affairs Council,3.0
38698,MUSMKR,George Foreman Enterprises Inc,9.0
38699,MUSORS,Musée d'Orsay,32.0
38700,MUSRAT,PT Mustika Ratu Tbk,2.0
38701,MUSSYS,Mustek Systems Incorporated,2.0
38702,MUSUNO,Musicians' Union,1.0
38703,MUSXCH,Voice Assist Inc.,23.0
38704,MUTAML,Mutual of America Life Insurance Company,256.0
38705,MUTHBO,Muthoot Capital Services Ltd,2.0
38706,MUTHFL,Muthoot Finance Limited,46.0
38707,MUTIV,"The Multiverse Network, Inc.",6.0
38708,MUTJAP,Mutual Corp,1.0
38709,MUTOLC,University of Mount Olive,3.0
38710,MUTPHR,Mutual Pharmaceutical Company Inc,299.0
38711,MUTRAG,mutares AG,5.0
38712,MUTRS,Intergroup Corp,199.0
38713,MUTSAB,Mutual Savings Bank,2.0
38714,MUTTEL,Digi.Com Bhd,1.0
38715,MUTUCP,Mutual Capital Partners Funds,1.0
38716,MUTUIO,MutuiOnline S.p.A.,4.0
38717,MUULAS,PT Multistrada Arah Sarana Tbk,2.0
38718,MUWTJO,GreenSignal Bio Pharma Limited,9.0
38719,MUWU,Mississippi University For Women,5.0
38720,MUZIN,Muzinich & Co Inc,5.0
38721,MUZLP,Muzak LLC,1.0
38722,MVABM,Merck Vierte Allgemeine Beteiligungsgesellschaft mbH,27.0
38723,MVALLH,Miami Valley Hospital,44.0
38724,MVB,Mission Valley Bancorp,430.0
38725,MVBFIN,MVB Financial Corp,18.0
38726,MVBMNS,Havas Worldwide New York Inc.,2.0
38727,MVCCF,Moraine Valley Community College,8.0
38728,MVCDFJ,MVC Capital Inc,111.0
38729,MVCLPI,"ZEFR, Inc.",2.0
38730,MVCMTN,Medical Device Manufacturers Association,341.0
38731,MVCOMI,Milwaukee Valve Company Inc,4.0
38732,MVCPUL,Maven Capital Partners UK LLP,5.0
38733,MVCQMW,RiverNorth/DoubleLine Strategic Opportunity Fund Inc.,8.0
38734,MVDLI,Movidius Ltd,5.0
38735,MVECJG,VanEck Vectors(TM) Junior Gold Miners UCITS ETF,12.0
38736,MVEGRL,Madrona Venture Group LLC,7.0
38737,MVERSG,Merck Versicherungsvermittlung GmbH,27.0
38738,MVETSI,Midwest Veterinary Supply Inc,1.0
38739,MVEXCE,Vexcel Corporation,1.0
38740,MVF,Mole Valley Farmers Ltd,3.0
38741,MVFFXT,Moffitt Cancer Center,1363.0
38742,MVFI,BlackRock MuniVest Inc,2.0
38743,MVGLL,Movie Gallery Inc,1.0
38744,MVGME,VanEck Vectors(TM) Gold Miners UCITS ETF,101.0
38745,MVIC,Compucom Systems Inc,17.0
38746,MVILLE,CVS Health Corp,18519.0
38747,MVIND,Maverick Industries Inc,1.0
38748,MVISCE,Market Vectors India Small Cap Index ETF,1.0
38749,MVIZI,Max-Viz Inc,2.0
38750,MVLLYC,Missouri Valley College,1.0
38751,MVLSPL,MVM Life Science Partners LLP,53.0
38752,MVMBIW,Sterling (Gujarat) Hospitals Ltd.,2.0
38753,MVMBRI,Movember Foundation,39.0
38754,MVMDSL,MeVis Medical Solutions AG,54.0
38755,MVMINC,MVM Inc,2.0
38756,MVNLNI,Mavenlink Inc.,2.0
38757,MVNPIC,Moevenpick Holding,1.0
38758,MVNPOB,MYOS RENS Technology Inc.,599.0
38759,MVNTPK,American Sands Energy Corp.,22.0
38760,MVNTZZ,MentorTech Ventures 2005 LP,9.0
38761,MVOIL,MV Oil Trust,35.0
38762,MVPCAP,MVP Capital Partners,13.0
38763,MVPCTT,Millennium Technology Value Partners LP,2.0
38764,MVPHAR,Mountain View Pharmaceuticals Inc,85.0
38765,MVPLAI,MVP Laboratories Inc.,89.0
38766,MVPMS,Foth Production Solutions LLC,2.0
38767,MVPNPK,"MVP Network, Inc.",1.0
38768,MVRGIV,Marketo Inc.,576.0
38769,MVSCAP,CY Oriental Holdings Ltd,2.0
38770,MVSCI,Mountain Valley Spring Co Inc,4.0
38771,MVSUS,Mavenir Systems Inc.,279.0
38772,MVTCHN,IMV Technologies SA,25.0
38773,MVTGKP,Spectrum Global Solutions Inc,2.0
38774,MVTKCM,"MovieTickets.com, Inc.",20.0
38775,MVTRAN,MV Transportation Incorporated,35.0
38776,MVVENE,MVV Energie AG,4.0
38777,MVWC,Marriott Vacations Worldwide Corp,286.0
38778,MVWOOD,Restore PLC,7.0
38779,MWACEL,Marshall Wace LLP,479.0
38780,MWAEUL,McDermott Will & Emery UK LLP,2.0
38781,MWBEXH,MWB Business Exchange plc,6.0
38782,MWBIO,MWG Biotech AG,2.0
38783,MWBNOB,"Sunshine Biopharma, Inc.",404.0
38784,MWBSL,Milberg LLP,61.0
38785,MWDBRK,Mawdsley-Brooks & Co. Ltd,6.0
38786,MWEALA,Mariner Wealth Advisors LLC,101.0
38787,MWELLI,Mason Wells Inc,25.0
38788,MWENTI,McGraw Wentworth Inc,1.0
38789,MWERKI,Marketing Werks Inc,1.0
38790,MWFA,Live Company Group PLC,1.0
38791,MWFHCO,"Liberated Energy, Inc",65.0
38792,MWGZQQ,Forterra Inc.,33.0
38793,MWHAG,Metall Zug AG,6.0
38794,MWHGKE,Mosman Oil & Gas Ltd,2.0
38795,MWIHI,"MWI Veterinary Supply, Inc.",1329.0
38796,MWIND,MW Industries Inc,13.0
38797,MWKSO,MWK Software,1.0
38798,MWLAB,"Microwave Laboratories, Inc.",2.0
38799,MWLLLU,Marsh Wall Ltd,15.0
38800,MWLLZ,MW1 LLC,1.0
38801,MWLTAL,Mai Capital Management Llc,13.0
38802,MWOODA,Modern Woodmen of America,7.0
38803,MWRIML,Mawer Investment Management Ltd.,12.0
38804,MWRXOO,MergeWorthRx Corp.,18.0
38805,MWSEST,"New Asia Holdings, Inc.",1.0
38806,MWSPRC,American Gold Resources Corp.,4.0
38807,MWTSWR,Maestros Electronics & Telecommunications Systems Ltd,1.0
38808,MWWAD,The MWW Group,8.0
38809,MWYCCL,Miwon Holdings Co Ltd,3.0
38810,MWYEUS,Jerash Holdings US Inc.,3.0
38811,MWZTRA,"Biotricity, Inc.",216.0
38812,MXCCXR,Sigma Lithium Resources Corp.,3.0
38813,MXCNPS,"Comisión Nacional de Protección Social en Salud, México",15.0
38814,MXDCLL,Mixed Chicks LLC,2.0
38815,MXGFA,Grupo Financiero Banorte SA de CV,26.0
38816,MXION,Iochpe-Maxion SA,1.0
38817,MXISBH,Maxis Bhd,3.0
38818,MXISIM,MIS Implants Technologies Ltd.,83.0
38819,MXITHL,Leidos Health,2.0
38820,MXLGDF,Mexican American Legal Defense and Educational Fund,1.0
38821,MXLNRI,"MaxLinear, Inc.",663.0
38822,MXMARD,"Mexico Ministry of Agriculture, Livestock, Rural Development, Fishing and Food",2.0
38823,MXMBIN,Maxim Biomedical Inc.,10.0
38824,MXMDND,China Valves Technology Inc,2.0
38825,MXMEN,Mexico Ministry of Energy,2.0
38826,MXMFOR,Mexico Ministry of Foreign Affairs,8.0
38827,MXMFPC,Mexico Ministry of Finance and Public Credit,1.0
38828,MXMHEA,Mexico Ministry of Health,38.0
38829,MXMINR,Mexico Ministry of Interior,2.0
38830,MXMRA,Max Mara Fashion Group Srl,2.0
38831,MXMTCH,Eastern Property Holdings Ltd,2.0
38832,MXOMED,Medtronic ENT Surgical Products Inc,16.0
38833,MXPET,Max Petroleum plc,8.0
38834,MXPNII,MaxPoint Interactive Inc.,179.0
38835,MXPROD,Maxim Integrated Products Inc,1159.0
38836,MXRCC,Merry X-Ray Corp,50.0
38837,MXRECP,Alterra Capital Holdings Limited,183.0
38838,MXTRNS,North American Cannabis Holdings Inc,122.0
38839,MXXHLT,Max India Ltd,10.0
38840,MXXINC,MAXIMUS Inc.,329.0
38841,MXYGEN,Maxygen Inc,361.0
38842,MXZCWF,Ateme SA,4.0
38843,MYAGLD,Maya Gold & Silver Inc.,1.0
38844,MYAILN,Malaysia Airlines Berhad,14.0
38845,MYALPF,Maryland Agricultural Land Preservation Foundation,1.0
38846,MYBKNG,May & Baker Nigeria Ltd,3.0
38847,MYBPW,Maryland Board of Public Works,2.0
38848,MYCAHI,Myca Health Inc.,8.0
38849,MYCEBI,Mycenax Biotech Inc.,46.0
38850,MYCEM,HeidelbergCement India Ltd,3.0
38851,MYCETC,MyCelx Technologies Corporation,8.0
38852,MYCETE,Mycell Technologies LLC,11.0
38853,MYCTCI,MycoTechnology Inc.,7.0
38854,MYCTOI,Wall Street Media Co. Inc.,4.0
38855,MYDAGR,Maryland Department of Agriculture,30.0
38856,MYDBED,Maryland Department of Business and Economic Development,69.0
38857,MYDENV,Maryland Department of the Environment,14.0
38858,MYDGSV,Maryland Department of General Services,2.0
38859,MYDHCD,Maryland Department of Housing and Community Development,3.0
38860,MYDHMH,Maryland Department of Health and Mental Hygiene,192.0
38861,MYDLLR,"Maryland Department of Labor, Licensing and Regulation",22.0
38862,MYDNRS,Maryland Department of Natural Resources,15.0
38863,MYDPLA,Maryland Department of Planning,61.0
38864,MYDPSC,Maryland Department of Public Safety and Correctional Services,10.0
38865,MYDTA,Maryland Department of Assessments and Taxation,5.0
38866,MYDTRA,Maryland Department of Transportation,8.0
38867,MYEAD,Maryland Energy Administration,8.0
38868,MYEMP,Myer Holdings Ltd.,11.0
38869,MYES,Myers Industries Inc,347.0
38870,MYESCI,Myers Spring Co Inc.,2.0
38871,MYEYED,MyEyeDr,8.0
38872,MYFIZQ,MyFiziq Ltd,2.0
38873,MYFLPI,Mayfield Plastics Inc.,2.0
38874,MYFLTL,Mayflower Transit LLC,6.0
38875,MYFMLC,"Ancestry.com, Inc.",158.0
38876,MYGJIN,Medifron DBT Co Ltd,18.0
38877,MYHAPN,Tekla World Healthcare Fund,9.0
38878,MYHEC,Maryland Higher Education Commission,12.0
38879,MYHERI,MyHeritage Ltd.,44.0
38880,MYHHEF,Maryland Health and Higher Educational Facilities Authority,3.0
38881,MYINAD,Maryland Insurance Administration,19.0
38882,MYKR,PSG Group Limited,7.0
38883,MYLANB,Mylan BVBA,24.0
38884,MYLAPI,Mylan Pharmaceuticals Inc,2566.0
38885,MYLASL,Mylan Seiyaku Ltd.,23.0
38886,MYLLHL,Moyallen Holdings Ltd,1.0
38887,MYLMUK,Myeloma UK,30.0
38888,MYLN,Mylan N.V.,26828.0
38889,MYLNB,Mylan B.V.,23.0
38890,MYLSKI,Myllykoski Oyj,5.0
38891,MYMDCD,PotNetwork Holdings Inc.,28.0
38892,MYMHEA,Myanmar Ministry of Health and Sports,2.0
38893,MYMJUA,MYM Nutraceuticals Inc,51.0
38894,MYMVAD,Maryland Motor Vehicle Administration,4.0
38895,MYNPRC,American Academy of Nurse Practitioners,31.0
38896,MYNRSV,MyEnerSave Inc.,2.0
38897,MYNTDP,Myntra Designs Private Limited,1.0
38898,MYNVEN,Maayan Ventures Ltd.,6.0
38899,MYOB,MYOB Group Ltd.,3.0
38900,MYOCUC,Star Mountain Resources Inc.,6.0
38901,MYOGEI,Gilead Colorado Inc,16.0
38902,MYOKAI,MyoKardia Inc.,1537.0
38903,MYOMO,Myomo Inc.,669.0
38904,MYOTEL,Myotech LLC,2.0
38905,MYPFSC,American Academy of Professional Coders,12.0
38906,MYPHYT,American Academy of Physician Assistants,47.0
38907,MYPSCM,Maryland Public Service Commission,9.0
38908,MYPTS,MyPoints.com Inc,2.0
38909,MYRACM,Maryland Racing Commission,1.0
38910,MYRGEN,Myriad Genetics Inc,6080.0
38911,MYRLBT,Mayer Laboratories Inc,14.0
38912,MYRMLN,Mayr Melnhof Karton AG,6.0
38913,MYRNTT,Myriant Corp.,15.0
38914,MYRPHI,Myrexis Inc.,293.0
38915,MYRSA,Meyers Associates,4.0
38916,MYRSLE,"MYR Group, Inc.",290.0
38917,MYSCCI,Mays Chemical Company Inc,12.0
38918,MYSCNC,"Myoscience, Inc.",19.0
38919,MYSDED,Maryland State Department of Education,7.0
38920,MYSDUS,SD Myers Inc,6.0
38921,MYSHAD,Maryland State Highway Administration,1.0
38922,MYSKZZ,United Cannabis Corporation,226.0
38923,MYSMBR,Swedish Civil Contingencies Agency,1.0
38924,MYSTAT,MyState Limited,1.0
38925,MYSTCC,LI3 Energy Inc.,2.0
38926,MYSTPI,Mystic Pharmaceuticals Inc,138.0
38927,MYSUGA,Mysore Sugar Company,1.0
38928,MYTILG,Mytilineos Holdings SA,5.0
38929,MYTRAL,Thomas Cook Airlines Ltd,3.0
38930,MYTREI,Mytrex Inc.,2.0
38931,MYTUAN,Meituan.com Inc.,11.0
38932,MYVECI,Mayville Engineering Company Inc,10.0
38933,MYVNTR,Pure Energy Minerals Ltd.,1.0
38934,MYWPG,China Ming Yang Wind Power Group Limited,23.0
38935,MYWUFA,Maywufa Co Ltd,4.0
38936,MZDUVM,Mazandaran University of Medical Sciences,49.0
38937,MZEST,MediaZest PLC,2.0
38938,MZFIJQ,Life Clips Inc,2.0
38939,MZGROP,MZ Group,162.0
38940,MZHMDY,Mizuho Medy Co Ltd,11.0
38941,MZILA,Mozilla Corp.,8.0
38942,MZIMP,Mackenzie Taylor Minerals Inc.,3.0
38943,MZKDRY,AB Pieno Zvaigzdes,1.0
38944,MZMHEA,Mozambique Ministry of Health,3.0
38945,MZMULT,IMF Bentham Ltd,16.0
38946,MZRSCH,Menzies Research Institute Tasmania,41.0
38947,MZRSL,Mazars LLP,16.0
38948,MZSA,Muza SA,1.0
38949,MZSTRU,Morgan Stanley Infrastructure Partners,4.0
38950,MZSXTT,Volt Solar Systems Inc.,1.0
38951,MZTENZ,GLG Pharma S.A.,6.0
38952,MZYHKP,American Addiction Centers Inc,48.0
38953,MZZNML,MML Capital Partners LLP,1.0
38954,NAAACC,Nantong Acetic Acid Chemical Company Limited,18.0
38955,NAABFE,National Abortion Federation,19.0
38956,NAACHC,National Association of Community Health Centers,115.0
38957,NAACPR,National Academies Press,159.0
38958,NAAIDL,National AIDS Control Organisation,19.0
38959,NAAOCO,National Association of Counties,71.0
38960,NAARUT,National Aeronautic Association,2.0
38961,NAATTG,National Association of Attorneys General,64.0
38962,NABEC,National Association for Business Economics,74.0
38963,NABGIL,Nath Bio-Genes (India) Limited,5.0
38964,NABHCC,Nabholz Construction Corporation,6.0
38965,NABINC,North American Bancard LLC,1.0
38966,NABLCH,National Black Church Initiative,6.0
38967,NABLET,N-able Technologies International Inc.,20.0
38968,NABLLA,National Basketball Association,1049.0
38969,NABRPH,National Association of Boards of Pharmacy,332.0
38970,NABTES,Nabtesco Corp,2.0
38971,NAC,"NACCO Industries, Inc.",265.0
38972,NACAAG,The National Association of Clean Air Agencies,6.0
38973,NACADT,"The National Academies of Sciences, Engineering, and Medicine",622.0
38974,NACASU,Allianz Life Insurance Company of North America,34.0
38975,NACBBA,Nassau County Bar Association,1.0
38976,NACDLW,National Association of Criminal Defense Lawyers,1.0
38977,NACDSI,"National Association of Chain Drug Stores, Inc.",1087.0
38978,NACEM,National Association of Colleges and Employers,32.0
38979,NACFUJ,Nachi-Fujikoshi Corp,8.0
38980,NACGH,North American Construction Group Ltd.,55.0
38981,NACGI,North American Construction Group Inc.,2.0
38982,NACHDI,National Association of Chemical Distributors,3.0
38983,NACHNI,America Chung Nam (Group) Holdings Inc,1.0
38984,NACIII,AllianzGI Convertible & Income Fund II,2.0
38985,NACLLP,Novogradac & Company LLP,1.0
38986,NACMFL,National Agricultural Cooperative Marketing Federation of India Ltd,5.0
38987,NACOA,Neighborhood Assistance Corporation Of America,2.0
38988,NACOAD,National Council for Adoption,3.0
38989,NACOLE,National Consumers League,229.0
38990,NACONW,"National Council of Negro Women, Inc.",8.0
38991,NACOOF,National Confectioners Association,8.0
38992,NACRE,Newmark Group Inc,227.0
38993,NACRGI,National Air Cargo Inc.,2.0
38994,NACRRA,National Association of Child Care Resource and Referral Agencies,2.0
38995,NACUBO,National Association of College and University Business Officers,18.0
38996,NACWAG,National Association of Clean Water Agencies,31.0
38997,NADBN,North American Development Bank,4.0
38998,NADCPL,Komet Resources Inc,2.0
38999,NADLTD,North Atlantic Drilling Ltd.,314.0
39000,NADMSL,Noridian Administrative Services LLC,13.0
39001,NADRCP,National Association of Drug Court Professionals,39.0
39002,NADRO,Nadro SA de CV,15.0
39003,NADVS,Hitachi Vantara Corp,38.0
39004,NAEDAU,National Economic and Development Authority,1.0
39005,NAEJPI,NAEJA Pharmaceutical Inc,2.0
39006,NAELEC,New Age Electronics Inc,2.0
39007,NAELSP,National Association of Elementary School Principals,10.0
39008,NAENDE,National Endowment for Democracy,14.0
39009,NAEYC,National Association for the Education of Young Children,5.0
39010,NAFACP,National Association for the Advancement of Colored People,202.0
39011,NAFC,Nash-Finch Company,151.0
39012,NAFEXV,National Association for Female Executives,53.0
39013,NAFFED,The National Farmers' Federation,3.0
39014,NAFNFF,Hermitage Offshore Services Ltd.,80.0
39015,NAFREE,North American Free Trade Agreement,1003.0
39016,NAFSAI,Association of International Educators,1.0
39017,NAFTAE,NAFTA Secretariat,9.0
39018,NAFTFM,Netherlands Authority for the Financial Markets,115.0
39019,NAGACK,Nordmark Arzneimittel GmbH & Co. KG,33.0
39020,NAGCHC,Nagase Chemtex Corporation,6.0
39021,NAGEOS,National Geographic Society,49.0
39022,NAGOA,National Governors Association,146.0
39023,NAGRAO,National Grocers Association,27.0
39024,NAGSCO,Nagase & Co Ltd,32.0
39025,NAGSE,Nagoya Stock Exchange Co Ltd,2.0
39026,NAGSIG,ITW Signode India Ltd,1.0
39027,NAHAN,RG Properties Ltd,1.0
39028,NAHBU,National Association of Home Builders,377.0
39029,NAHCMD,National 4-H Council,41.0
39030,NAHEAC,Prodigy Health Group Inc,1.0
39031,NAHIF,New America High Income Fund Inc,6.0
39032,NAHIMC,National Hispanic Media Coalition,5.0
39033,NAHLI,National Insurance Company,1.0
39034,NAHOIN,PanaHome Corporation,1.0
39035,NAHROF,National Association of Housing and Redevelopment Officials,1.0
39036,NAHSPN,Nahar Spinning Mills Ltd,1.0
39037,NAHUL,Novartis Animal Health UK Ltd,226.0
39038,NAICGF,"Eagle Capital Growth Fund, Inc.",2.0
39039,NAICMM,National Association of Insurance Commissioners,171.0
39040,NAIFAD,National Association of Insurance and Financial Advisors,1.0
39041,NAILSI,Nails Inc Ltd,4.0
39042,NAINTA,National Association of Intercollegiate Athletics,1.0
39043,NAINTC,National Interstate Corporation,142.0
39044,NAIOP,Commercial Real Estate Development Association,25.0
39045,NAIPAL,Navis Capital Partners,1.0
39046,NAIRAQ,Iraq Council of Representatives,4.0
39047,NAIUSA,Convey Health Solutions Inc,4.0
39048,NAJPCL,Nantong Jinghua Pharmaceutical Co Ltd,4.0
39049,NAKIFE,The National Kidney Federation,3.0
39050,NAKINC,Nakanishi Inc,97.0
39051,NAKMET,NAKANISHI METAL WORKS CO LTD,3.0
39052,NAKNLR,Envisagenics Inc.,26.0
39053,NALARF,National Alopecia Areata Foundation,47.0
39054,NALBEI,"New Albertson's, Inc.",21.0
39055,NALBSH,New Albany Surgery Center Llc,7.0
39056,NALCO,Nalco Holding Company,100.0
39057,NALEAO,National Association of Latino Elected and Appointed Officials,7.0
39058,NALMA,Tactical Air Defense Services Inc.,3.0
39059,NALMLY,Nirvana Asia Ltd.,3.0
39060,NALPA,National Association for Law Placement,6.0
39061,NAMBAN,BANDAI NAMCO Holdings Inc,12.0
39062,NAMCH,Namhae Chemical Corp,3.0
39063,NAMCLJ,BANDAI NAMCO Games Inc,2.0
39064,NAMCLM,Nikko Asset Management Company Limited,557.0
39065,NAMDAI,Namyang Dairy Products Co Ltd,2.0
39066,NAMEHI,Nagase America Corporation,31.0
39067,NAMEUI,Uponor North America Inc.,1.0
39068,NAMFHI,Capital Bank Financial Corp.,125.0
39069,NAMGEM,Victory Mountain Ventures Ltd.,3.0
39070,NAMHK,Concord New Energy Group Ltd.,3.0
39071,NAMHLS,Namibia Ministry of Health and Social Services,4.0
39072,NAMIE,North American Midway Entertainment LLC,6.0
39073,NAMINI,NMDC Ltd,13.0
