award_id_fain,award_id_uri,sai_number,obligated_amount,non_federal_funding_amount,total_funding_amount,face_value_of_loan,original_subsidy_cost,total_subsidy_cost,total_loan_value,period_of_performance_start_date,period_of_performance_current_end_date,awarding_agency_code,awarding_agency_name,awarding_sub_agency_code,awarding_sub_agency_name,awarding_office_code,awarding_office_name,funding_agency_code,funding_agency_name,funding_sub_agency_code,funding_sub_agency_name,funding_office_code,funding_office_name,recipient_duns,recipient_name,recipient_parent_duns,recipient_parent_name,recipient_country_code,recipient_country_name,recipient_address_line_1,recipient_address_line_2,recipient_city_code,recipient_city_name,recipient_county_code,recipient_county_name,recipient_state_code,recipient_state_name,recipient_zip_code,recipient_zip_last_4_code,recipient_congressional_district,recipient_foreign_city_name,recipient_foreign_province_name,recipient_foreign_postal_code,primary_place_of_performance_country_code,primary_place_of_performance_country_name,primary_place_of_performance_code,primary_place_of_performance_city_name,primary_place_of_performance_county_code,primary_place_of_performance_county_name,primary_place_of_performance_state_name,primary_place_of_performance_zip_4,primary_place_of_performance_congressional_district,primary_place_of_performance_foreign_location,cfda_number,cfda_title,assistance_type_code,assistance_type_description,award_description,business_funds_indicator_code,business_funds_indicator_description,business_types_code,business_types_description,record_type_code,record_type_description,last_modified_date
2013FABX0008,,SAI NOT AVAILABLE,249718,0,249718,0,,,,10/1/13,9/30/17,15,DEPARTMENT OF JUSTICE (DOJ),1550,OFFICE OF JUSTICE PROGRAMS,,,15,"JUSTICE, DEPARTMENT OF (1500)",,,,,44387793,DUKE UNIVERSITY,44387793,DUKE UNIVERSITY,USA,UNITED STATES,2200 W MAIN ST STE 710,2200 W. MAIN ST. STE 710,,DURHAM,63,DURHAM,NC,NORTH CAROLINA,27708,4677,1,,,,USA,UNITED STATES,NC19000,DURHAM,135,ORANGE,NORTH CAROLINA,277084677,1,,16.746,CAPITAL CASE LITIGATION,4,,INNOCENCE INVESTIGATION AND LITIGATION PROGRAM,NON,,20,,2,,2017-02-02 00:00:00+00
NNX11AK62G,,SAI EXEMPT,246637,0,246637,0,,,,6/22/11,10/6/16,80,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,,,,,,,,,124726725,"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE",71549000,"CALIFORNIA, STATE OF",USA,UNITED STATES,2150 SHATTUCK AVE RM 313,,6000,BERKELEY,1,ALAMEDA,CA,CALIFORNIA,94704,5940,13,,,,USA,UNITED STATES,606000,BERKELEY,1,ALAMEDA,CA,947045940,13,,43.001,SCIENCE,4,,RESEARCH IS PROPOSED ON THE DEVELOPMENT AND APPLICATION OF MODELING FOR THE GAS IN THE DISKS AROUND LOW-MASS YOUNG STELLAR OBJECTS.  MUCH OF OUR KNOW,NON,,6,,2,,2016-11-18 00:00:00+00
60NANB13D166,,EXE,241512,0,241512,0,,,,1/1/14,6/30/16,13,DEPARTMENT OF COMMERCE (DOC),1341,NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY,,,,,,,,,73133571,REGENTS OF THE UNIVERSITY OF MICHIGAN,73133571,REGENTS OF THE UNIVERSITY OF MICHIGAN,USA,UNITED STATES,3003 S. STATE STREET,,3000,ANN ARBOR,161,WASHTENAW,MI,MICHIGAN,48109,1274,15,,,,USA,UNITED STATES,2603000,ANN ARBOR,161,WASHTENAW,MICHIGAN,481091274,15,,11.609,MEASUREMENT AND ENGINEERING RESEARCH AND STANDARDS,4,,VALIDATING INTERCONNECTED HYBRID PROCESS SIMULATIONS FOR NETWORKED CYBER-PHYSICAL SYSTEMS,NON,,6,,2,,2016-11-01 00:00:00+00
N000141512114,,NO SAI  N00014OA59,240000,0,240000,0,,,,3/25/15,2/28/18,97,DEPARTMENT OF DEFENSE (DOD),9700,DEPARTMENT OF DEFENSE,,,,,,,,,364124651,GEORGIA TECH APPLIED RESEARCHCORPORATION,97394084,GEORGIA TECH RESEARCH CORPORATION,USA,UNITED STATES,505 10TH ST,,4000,ATLANTA,121,FULTON,GA,GEORGIA,30332,1,,,,,USA,UNITED STATES,1304000,ATLANTA,121,FULTON,GEORGIA,303185775,,,12.3,BASIC AND APPLIED SCIENTIFIC RESEARCH,4,,ACOUSTIC COLOR QUALITY ASSESSMENT (ACQUA),,,6,,2,,2016-11-09 00:00:00+00
DEFG0108LM00121,,SAI EXEMPT,238153,0,238153,0,,,,4/1/08,9/30/17,89,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,,,,,,,,,837633148,MIAMISBURG MOUND COMMUNITY IMPROVEMENT CORPOR,,,,,PO BOX 232,,83902,WEST MILTON,109,MIAMI,OH,OHIO,45343,232,3,,,,,,3949434,MIAMISBURG,,,OHIO,45343,3,,81.136,LONG-TERM SURVEILLANCE AND MAINTENANCE,4,,COMPREHENSIVE REUSE OF THE MOUND SITE,NON,,12,,2,,2016-11-03 00:00:00+00
NNX12AM29H,,SAI EXEMPT,233952,0,233952,0,,,,8/1/12,10/20/16,80,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,,,,,,,,,1425594,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,1425594,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,USA,UNITED STATES,77 MASSACHUSETTS AVE,,11000,CAMBRIDGE,17,MIDDLESEX,MA,MASSACHUSETTS,2139,4301,7,,,,USA,UNITED STATES,2511000,CAMBRIDGE,17,MIDDLESEX,MA,21394301,7,,43.008,EDUCATION,4,,ASTRONAUTS LOSE CONSIDERABLE BONE MASS DURING LONG DURATION SPACEFLIGHT. THESE LOSSES ARE ONE OF THE MAJOR CONCERNS FOR PROPOSEDEXPLORATION CLASS MIS,NON,,20,,2,,2016-11-18 00:00:00+00
F30DE020991,,SAI UNAVAILABLE,230012,0,230012,,,,,8/1/10,5/9/15,75,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),7529,NATIONAL INSTITUTES OF HEALTH,,,,,,,,,98987217,UNIVERSITY OF ILLINOIS,41544081,UNIVERSITY OF ILLINOIS,USA,UNITED STATES,809 S MARSHFIELD RM 520,,14000,CHICAGO                     ,31,COOK,IL,ILLINOIS,60612,4305,7,,,,USA,UNITED STATES,IL14000,CHICAGO                     ,31,COOK,ILLINOIS,60612,7,,93.121,ORAL DISEASES AND DISORDERS RESEARCH,5,,NIDCR INDIVIDUAL PREDOCTORAL DENTAL SCIENTIST FELLOWSHIP,NON,,H,,2,,2017-10-20 18:43:33.678495+00
70NANB14H221,,EXE,219608,0,219608,0,,,,9/1/14,6/1/16,13,DEPARTMENT OF COMMERCE (DOC),1341,NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY,,,,,,,,,9214214,BOARD OF TRUSTEES OF THE LELAND STANFORD JUNI,9214214,"LELAND STANFORD JUNIOR UNIVERSITY, THE",USA,UNITED STATES,OFFICE OF SPONSORED RESEARCH,"3160 PORTER DRIVE, SUITE 100",55282,PALO ALTO,85,SANTA CLARA,CA,CALIFORNIA,94304,8445,14,,,,USA,UNITED STATES,655282,PALO ALTO,85,SANTA CLARA,CALIFORNIA,943048445,14,,11.609,MEASUREMENT AND ENGINEERING RESEARCH AND STANDARDS,5,,PROCESSING AND PROVIDING CABRINETY SOFTWARE TO NIST 2014,NON,,20,,2,,2016-11-01 00:00:00+00
NNX15AD85G,,SAI EXEMPT,211786,0,211786,0,,,,1/7/15,1/6/20,80,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,,,,,,,,,41962788,CATHOLIC UNIVERSITY OF AMERICA (THE),41962788,CATHOLIC UNIVERSITY OF AMERICA (THE),USA,UNITED STATES,620 MICHIGAN AVE NE,,50000,WASHINGTON,1,DISTRICT OF COLUMBIA,DC,DISTRICT OF COLUMBIA,20064,1,0,,,,USA,UNITED STATES,1150000,WASHINGTON,1,DISTRICT OF COLUMBIA,DC,200640001,0,,43.001,SCIENCE,4,,THE RESEARCH ORIENTED ACTIVITIES OUTLINED IN THIS PROPOSAL COVERS TWO MAJOR THEMES. BOTH CENTER ON DEVELOPING NEW CAPABILITIES FOR GROUND-BASED AND B,NON,,20,,2,,2016-11-18 00:00:00+00
L13AC00014,,SAI EXEMPT,206867,39352,246219,0,,,,12/15/12,5/31/16,14,DEPARTMENT OF THE INTERIOR (DOI),1422,BUREAU OF LAND MANAGEMENT,,,,,,,,,948117312,UNIVERSITY OF OREGON,49793995,,,,5219 UNIVERSITY OF OREGON,,23850,EUGENE,39,LANE,OR,OREGON,97403,5295,4,,,,,,4123850,EUGENE,,,OREGON,974035295,4,,15.232,WILDLAND FIRE RESEARCH AND STUDIES,5,,JFSP - MANAGING THE MARKET: PROCUREMENT PRACTICES IMPACT WILDFIRE RESPONSE,NON,,6,,2,,2016-12-20 00:00:00+00
NNX11AK20G,,SAI EXEMPT,203663,0,203663,0,,,,6/17/11,10/20/16,80,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,,,,,,,,,879941318,MORGAN STATE UNIVERSITY (INC),879941318,MORGAN STATE UNIVERSITY,USA,UNITED STATES,1700 E COLD SPRING LN,,4000,BALTIMORE,510,BALTIMORE CITY,MD,MARYLAND,21251,2,7,,,,USA,UNITED STATES,2404000,BALTIMORE,510,BALTIMORE (CITY),MD,212510002,7,,43.001,SCIENCE,4,,WE PROPOSE A THREE-YEAR INVESTIGATION THAT WILL IMPROVE ESTIMATES OF DIRECT AND SEMI-DIRECT EFFECTS OF BIOMASS BURNING AEROSOLS IN THE GEOS-5 EARTH S,NON,,6,,2,,2016-11-18 00:00:00+00
DENA0002720,,SAI EXEMPT,200001,0,200001,0,,,,9/15/15,9/14/17,89,DEPARTMENT OF ENERGY (DOE),8900,DEPARTMENT OF ENERGY,,,,,,,,,2484665,"TRUSTEES OF PRINCETON UNIVERSITY, THE",2484665,"TRUSTEES OF PRINCETON UNIVERSITY, THE",,,P.O. BOX 36,,60900,PRINCETON,21,MERCER,NJ,NEW JERSEY,8544,2020,12,,,,,,3460900,PRINCETON,,,NEW JERSEY,85440036,12,,81.112,STEWARDSHIP SCIENCE GRANT PROGRAM,2,,DYNAMIC COMPRESSION OF EARTH AND PLANETARY MATERIALS USING OMEGA LASER,NON,,20,,2,,2016-11-03 00:00:00+00
P14AC00871,,SAI EXEMPT,199998,0,199998,0,,,,7/1/14,9/23/16,14,DEPARTMENT OF THE INTERIOR (DOI),1443,NATIONAL PARK SERVICE,,,,,,,,,929773554,KANSAS STATE UNIVERSITY,41146432,KANSAS STATE UNIVERSITY,USA,UNITED STATES,2 FAIRCHILD HALL,,,MANHATTAN,161,RILEY,KS,KANSAS,66506,1100,1,,,,USA,UNITED STATES,KS44250,MANHATTAN,161,RILEY,KANSAS,66506,1,,15.944,NATURAL RESOURCE STEWARDSHIP,5,,GREAT PLAINS FIRE SCIENCE EXCHANGED - KSU,NON,,6,,2,,2017-08-08 00:00:00+00
G14AP00096,,SAI EXEMPT,198116,0,198116,0,,,,7/1/14,11/30/16,14,DEPARTMENT OF THE INTERIOR (DOI),1434,U.S. GEOLOGICAL SURVEY,,,,,,,,,53599908,OREGON STATE UNIVERSITY,53599908,OREGON STATE UNIVERSITY,,,308 KERR ADMINISTRATION BUILDING,,15800,CORVALLIS,3,BENTON,OR,OREGON,97331,8517,5,,,,,,4115800,CORVALLIS,,,OREGON,973312140,7,,15.82,NATIONAL CLIMATE CHANGE AND WILDLIFE SCIENCE CENTER,4,,DOI NORTHWEST CLIMATE SCIENCE CENTER - OREGON STATE UNIVERSITY,NON,,6,,2,,2016-12-20 00:00:00+00
R03AG046538,,SAI UNAVAILABLE,191626,0,191626,0,,,,9/30/13,6/30/16,75,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),7529,NATIONAL INSTITUTES OF HEALTH,,,75,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF (7500)",,,,,41096314,"REGENTS OF THE UNIVERSITY OF COLORADO, THE",7431505,"REGENTS OF THE UNIVERSITY OF COLORADO, THE",USA,UNITED STATES,13001 E 17TH PLACE F428,,,AURORA,1,ADAMS,CO,COLORADO,80045,2571,6,,,,USA,UNITED STATES,CO04000,AURORA,5,ARAPAHOE,COLORADO,80045,6,,93.866,AGING RESEARCH,4,,IMPLICATIONS OF SWITCHING COSTS FOR MEDICARE PREMIUM SUPPORT,NON,,6,,2,,2017-06-20 00:00:00+00
NNX13AO45G,,SAI EXEMPT,188431,0,188431,0,,,,8/2/13,10/17/16,80,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,,,,,,,,,77817450,GEORGE MASON UNIVERSITY,77817450,GEORGE MASON UNIVERSITY,USA,UNITED STATES,4400 UNIVERSITY DR,,26496,FAIRFAX,59,FAIRFAX,VA,VIRGINIA,22030,4422,11,,,,USA,UNITED STATES,5126496,FAIRFAX,59,FAIRFAX,VA,220304422,11,,43.001,SCIENCE,4,,DUST ACTIVITY IS AN IMPORTANT INDICATOR TO REGIONAL CLIMATE CHANGE. THE DUST BOWL IN THE 1930S WAS THE LARGEST NATURAL CATASTROPHE IN THE NORTH AMERI,NON,,6,,2,,2016-11-18 00:00:00+00
14-MI-224,,,183766,0,183766,0,,,,,9/30/17,36,DEPARTMENT OF VETERANS AFFAIRS (VA),3620,UNDER SECRETARY FOR HEALTH/VETERANS HEALTH ADMINISTRATION,36,,36,"VETERANS AFFAIRS, DEPARTMENT OF 3600)",3620,UNDER SECRETARY FOR HEALTH / VETERANS HEALTH ADMINISTRATION,36,,158806393,HOUSING SERVICES FOR EATON COUNTY,,,USA,UNITED STATES,"319 S. COCHRAN AVE
PO BOX 746
CHARLOTTE, MI 48813",,,CHARLOTTE,45,EATON,MI,MICHIGAN,48813,1555,7,,,,USA,UNITED STATES,MI*****,,,,MICHIGAN,,,,64.033,VA SUPPORTIVE SERVICES FOR VETERAN FAMILIES PROGRAM,4,,HOMELESS PREVENTION,NON,,12,,2,,2017-04-27 00:00:00+00
N000141512093,,NO SAI  N00014OA56,180910,0,180910,0,,,,3/18/15,9/30/17,97,DEPARTMENT OF DEFENSE (DOD),9700,DEPARTMENT OF DEFENSE,,,,,,,,,41590993,CLARKSON UNIVERSITY,41590993,CLARKSON UNIVERSITY,USA,UNITED STATES,8 CLARKSON AVE,,59564,POTSDAM,89,ST. LAWRENCE,NY,NEW YORK,13676,1401,,,,,USA,UNITED STATES,3659564,POTSDAM,89,ST. LAWRENCE,NEW YORK,136761401,,,12.3,BASIC AND APPLIED SCIENTIFIC RESEARCH,4,,"COHERENCE, TRANSPORT, AND INFERENCE IN TURBULENT DYNAMICAL SYSTEMS",,,20,,2,,2016-11-09 00:00:00+00
W911NF1610118,,NO SAI  W911NF8838,178978,0,178978,0,,,,4/1/16,12/31/17,97,DEPARTMENT OF DEFENSE (DOD),9700,DEPARTMENT OF DEFENSE,,,,,,,,,43990498,THE GEORGE WASHINGTON UNIVERSITY,43990498,THE GEORGE WASHINGTON UNIVERSITY,USA,UNITED STATES,2121 I ST NW STE 601,,50000,WASHINGTON,1,DISTRICT OF COLUMBIA,DC,DISTRICT OF COLUMBIA,20052,1,,,,,USA,UNITED STATES,1150000,WASHINGTON,1,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,200520001,,,12.431,BASIC SCIENTIFIC RESEARCH,4,,W911NF-12-R-0012-03: ADAPTIVE INTEGRATION OF NONSMOOTH DYNAMICAL SYSTEMS,,,20,,2,,2016-11-09 00:00:00+00
NNX13AL66H,,SAI EXEMPT,175138,0,175138,0,,,,9/1/13,10/17/16,80,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,,,,,,,,,9584210,CALIFORNIA INSTITUTE OF TECHNOLOGY,9584210,CALIFORNIA INSTITUTE OF TECHNOLOGY,USA,UNITED STATES,1200 E CALIFORNIA BLVD,,56000,PASADENA,37,LOS ANGELES,CA,CALIFORNIA,91125,1,27,,,,USA,UNITED STATES,656000,PASADENA,37,LOS ANGELES,CA,911250001,27,,43.009,CROSS AGENCY SUPPORT,4,,THE UNIQUE DYNAMICS OF STRESS WAVES TRAVELLING THROUGH CHAINS OF SPHERES HAS BEEN EXTENSIVELY STUDIED IN THE ELASTIC-REGIME AND HAS BEEN SHOWN TO CRE,NON,,20,,2,,2016-11-18 00:00:00+00
FA95501710023,,NO SAI  FA95505442,170966,0,170966,0,,,,11/15/16,11/14/19,97,DEPARTMENT OF DEFENSE (DOD),9700,DEPARTMENT OF DEFENSE,,,,,,,,,9584210,CALIFORNIA INSTITUTE OF TECHNOLOGY,9584210,CALIFORNIA INSTITUTE OF TECHNOLOGY,USA,UNITED STATES,1200 E CALIFORNIA BLVD,,56000,PASADENA,37,LOS ANGELES,CA,CALIFORNIA,91125,1,,,,,USA,UNITED STATES,656000,PASADENA,37,LOS ANGELES,CALIFORNIA,911250001,,,12.8,AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM,4,,"TAS::57 3600::TAS ""EXPERIMENTAL AND THEORETICAL INVESTIGATION OF PLASMA DYNAMICS RELEVANT TO THE SOLAR CORONA"" DATED 29 JAN 2016",,,20,,2,,2016-12-21 00:00:00+00
1702474,,SAI EXEMPT,162438,0,162438,0,,,,8/15/16,1/31/17,49,NATIONAL SCIENCE FOUNDATION (NSF),4900,NATIONAL SCIENCE FOUNDATION,,,,,,,,,57123192,TEMPLE UNIVERSITY-OF THE COMMONWEALTH SYSTEM,57123192,TEMPLE UNIVERSITY-OF THE COMMONWEALTH SYSTEM OF HIGHER EDUCATION,USA,UNITED STATES,3340 N. BROAD STREET,"SFC, SUITE 427",60000,PHILADELPHIA,101,PHILADELPHIA,PA,PENNSYLVANIA,19140,5104,2,,,,USA,UNITED STATES,4260000,PHILADELPHIA,101,PHILADELPHIA,PENNSYLVANIA,191405104,2,,47.07,COMPUTER AND INFORMATION SCIENCE AND ENGINEERING,4,,SHF: SMALL: ASF: AN ADAPTIVE SCALING FRAMEWORK FOR HIGH SCALABILITY OF XOR-BASED RAID SYSTEMS,NON,,20,,2,,2016-11-30 00:00:00+00
FA95501710001,,NO SAI  FA95505436,160886,0,160886,0,,,,11/1/16,10/31/20,97,DEPARTMENT OF DEFENSE (DOD),9700,DEPARTMENT OF DEFENSE,,,,,,,,,41544081,UNIVERSITY OF ILLINOIS,41544081,UNIVERSITY OF ILLINOIS,USA,UNITED STATES,"506 S WRIGHT ST, SUITE 364",,77005,URBANA,19,CHAMPAIGN,IL,ILLINOIS,61801,3649,,,,,USA,UNITED STATES,1777005,URBANA,19,CHAMPAIGN,ILLINOIS,618013649,,,12.8,AIR FORCE DEFENSE RESEARCH SCIENCES PROGRAM,4,,"TAS::57 3600::TAS ""DYNAMIC DATA-DRIVEN ADAPTIVE OBSERVATIONS IN DATA ASSIMILATION FOR MULTI-SCALE SYSTEMS""",,,6,,2,,2016-12-21 00:00:00+00
R00CA187564,,SAI UNAVAILABLE,154962,0,154962,0,,,,9/9/14,5/16/16,75,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),7529,NATIONAL INSTITUTES OF HEALTH,,,75,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF (7500)",,,,,129348186,"PENNSYLVANIA STATE UNIVERSITY, THE",3403953,"PENNSYLVANIA STATE UNIVERSITY, THE",USA,UNITED STATES,500 UNIVERSITY DR C1607,,,HERSHEY,43,DAUPHIN,PA,PENNSYLVANIA,17033,2360,15,,,,USA,UNITED STATES,TX35000,HOUSTON,339,MONTGOMERY,TEXAS,770304009,9,,93.393,CANCER CAUSE AND PREVENTION RESEARCH,5,,CHARACTERIZATION OF LONG NON-CODING RNAS IN THE DNA DAMAGE RESPONSE,NON,,6,,2,,2017-06-20 00:00:00+00
1665263,,SAI EXEMPT,150470,0,150470,0,,,,9/1/16,6/30/17,49,NATIONAL SCIENCE FOUNDATION (NSF),4900,NATIONAL SCIENCE FOUNDATION,,,,,,,,,72983455,UTAH STATE UNIVERSITY,72983455,UTAH STATE UNIVERSITY,USA,UNITED STATES,SPONSORED PROGRAMS OFFICE,1415 OLD MAIN HILL ~ ROOM 64,45860,LOGAN,5,CACHE,UT,UTAH,84322,1415,1,,,,USA,UNITED STATES,4945860,LOGAN,5,CACHE,UTAH,843221415,1,,47.074,BIOLOGICAL SCIENCES,4,,COLLABORATIVE RESEARCH: ECOLOGICAL DIVERSIFICATION AND MOLECULAR EVOLUTION OF GRASSES (POACEAE),NON,,6,,2,,2016-11-30 00:00:00+00
1655066,,SAI EXEMPT,150000,0,150000,0,,,,12/1/16,11/30/18,49,NATIONAL SCIENCE FOUNDATION (NSF),4900,NATIONAL SCIENCE FOUNDATION,,,,,,,,,1785542,BROWN UNIVERSITY IN PROVIDENCE IN THE STATE O,1785542,BROWN UNIVERSITY IN PROVIDENCE IN THE STATE OF RHODE ISLAND AND PROVIDENCE PLANTATIONS,USA,UNITED STATES,BOX 1929,164 ANGELL ST.,59000,PROVIDENCE,7,PROVIDENCE,RI,RHODE ISLAND,2912,9002,1,,,,USA,UNITED STATES,4459000,PROVIDENCE,7,PROVIDENCE,RHODE ISLAND,29129019,1,,47.049,MATHEMATICAL AND PHYSICAL SCIENCES,4,,EXPLORATORY SYNTHESES OF BOROMETALLIC MOLECULAR WHEELS AND BOROSPHERENES,NON,,20,,2,,2016-11-30 00:00:00+00
W81XWH1410345,,NO SAI  W81XWH3232,149942,0,149942,0,,,,9/30/14,3/29/17,97,DEPARTMENT OF DEFENSE (DOD),9700,DEPARTMENT OF DEFENSE,,,,,,,,,1962224,WAYNE STATE UNIVERSITY,1962224,WAYNE STATE UNIVERSITY,USA,UNITED STATES,5057 WOODWARD 13 FLOOR,,22000,DETROIT,163,WAYNE,MI,MICHIGAN,48202,1,,,,,USA,UNITED STATES,2622000,DETROIT,163,WAYNE,MICHIGAN,482023692,,,12.42,MILITARY MEDICAL RESEARCH AND DEVELOPMENT,4,,THE ROLE OF 5-HYDROXYMETHYLCYTOSINE IN GENE DYSREGULATION OF EPILEPTOGENIC TUBERS IN TUBEROUS SCLEROSIS COMPLEX PATIENTS,,,6,,2,,2016-10-06 00:00:00+00
HDTRA11710004,,NO SAI  HDTRA12897,149040,0,149040,0,,,,11/16/16,11/15/19,97,DEPARTMENT OF DEFENSE (DOD),9700,DEPARTMENT OF DEFENSE,,,,,,,,,78341468,IDAHO STATE UNIVERSITY,78341468,IDAHO STATE UNIVERSITY,USA,UNITED STATES,921 S 8TH AVE STOP 8219,,64090,POCATELLO,5,BANNOCK,ID,IDAHO,83209,2,,,,,USA,UNITED STATES,1664090,POCATELLO,5,BANNOCK,IDAHO,832090002,,,12.351,BASIC SCIENTIFIC RESEARCH - COMBATING WEAPONS OF MASS DESTRUCTION,4,,TELLER LIGHT PRODUCTION AND TRANSMISSION IN MIXED GASES AND ASSOCIATED RADIO FREQUENCY RADIATION,,,6,,2,,2016-12-21 00:00:00+00
1663680,,SAI EXEMPT,147426,0,147426,0,,,,7/1/16,9/30/17,49,NATIONAL SCIENCE FOUNDATION (NSF),4900,NATIONAL SCIENCE FOUNDATION,,,,,,,,,555456995,BOARD OF REGENTS OF THE UNIVERSITY OF NEBRASK,68662618,BOARD OF REGENTS OF THE UNIVERSITY OF NEBRASKA,USA,UNITED STATES,"2200 VINE ST, 151 WHITTIER",,28000,LINCOLN,109,LANCASTER,NE,NEBRASKA,68503,1435,1,,,,USA,UNITED STATES,3128000,LINCOLN,109,LANCASTER,NEBRASKA,685031435,1,,47.074,BIOLOGICAL SCIENCES,4,,EAGER: THE EVOLUTION OF ANTI-PREDATOR DEFENSES IN TORTOISE BEETLES (COLEOPTERA: CHRYSOMELIDAE: CASSIDINAE),NON,,6,,2,,2016-11-30 00:00:00+00
1701596,,SAI EXEMPT,143999,0,143999,0,,,,9/1/16,8/31/19,49,NATIONAL SCIENCE FOUNDATION (NSF),4900,NATIONAL SCIENCE FOUNDATION,,,,,,,,,49435266,TRUSTEES OF BOSTON UNIVERSITY,49435266,TRUSTEES OF BOSTON UNIVERSITY,USA,UNITED STATES,881 COMMONWEALTH AVE,,7000,BOSTON,25,SUFFOLK,MA,MASSACHUSETTS,2215,1300,7,,,,USA,UNITED STATES,2507000,BOSTON,25,SUFFOLK,MASSACHUSETTS,22151300,7,,47.041,ENGINEERING GRANTS,4,,OP: COLLABORATIVE RESEARCH: COHERENT INTEGRATED SI-PHOTONIC LINKS,NON,,20,,2,,2016-11-30 00:00:00+00
N000141712006,,NO SAI  N00014OA44,142000,0,142000,0,,,,10/5/16,10/31/17,97,DEPARTMENT OF DEFENSE (DOD),9700,DEPARTMENT OF DEFENSE,,,,,,,,,41968306,NEW YORK UNIVERSITY,41968306,NEW YORK UNIVERSITY,USA,UNITED STATES,70 WASHINGTON SQ S,,51000,NEW YORK,61,NEW YORK,NY,NEW YORK,10012,1019,,,,,USA,UNITED STATES,3651000,NEW YORK,61,NEW YORK,NEW YORK,100121019,,,12.3,BASIC AND APPLIED SCIENTIFIC RESEARCH,4,,INSTRUMENTATION FOR VULNERABILITY ASSESSMENT OF INDUSTRIAL CONTROL SYSTEMS,,,20,,2,,2016-11-09 00:00:00+00
W911NF1610175,,NO SAI  W911NF8810,139999,0,139999,0,,,,4/15/16,6/13/17,97,DEPARTMENT OF DEFENSE (DOD),9700,DEPARTMENT OF DEFENSE,,,,,,,,,73134835,TRUSTEES OF TUFTS COLLEGE INC,73134835,TRUSTEES OF TUFTS COLLEGE INC,USA,UNITED STATES,169 HOLLAND ST FL 3,,62535,SOMERVILLE,17,MIDDLESEX,MA,MASSACHUSETTS,2144,2401,,,,,USA,UNITED STATES,2539835,MEDFORD,17,MIDDLESEX,MASSACHUSETTS,21555807,,,12.431,BASIC SCIENTIFIC RESEARCH,4,,II.A.H.1 - BIOCHEMISTRY: IDENTIFICATION AND EVOLUTION OF ADHESIVE PEPTIDES WITH NOVEL SPECIFICITY USING YEAST SURFACE DISPLAY,,,20,,2,,2016-11-09 00:00:00+00
M11AC00004,,SAI EXEMPT,136881,0,136881,0,,,,7/1/11,8/15/15,14,DEPARTMENT OF THE INTERIOR (DOI),1435,BUREAU OF OCEAN ENERGY MANAGEMENT,,,,,,,,,75050765,LOUISIANA STATE UNIVERSITY SYSTEM,940050792,LOUISIANA STATE UNIVERSITY,,,OFFICE OF SPONSORED PROGRAMS,202 HIMES HALL,5000,BATON ROUGE,33,EAST BATON ROUGE,LA,LOUISIANA,70803,0,6,,,,,,2205000,BATON ROUGE,,,LOUISIANA,708032701,6,,15.422,LOUISIANA STATE UNIVERSITY (LSU) COASTAL MARINE INSTITUTE (CMI),5,,SUBSISTENCE IN COASTAL LOUISIANA: AN EXPLORATORY STUDY,NON,,6,,2,,2016-12-20 00:00:00+00
