,clean fda company name,original fda company,fda row,corporate family,clean ndc row,clean ndc company,original ndc company,fuzz ratio
330,upsher-smith,UPSHER-SMITH LABS,896,upsher-smith,"[6543, 6544, 6545]","['upsher-smith', 'upsher-smith', 'upsher-smith']","['Upsher-Smith Laboratories, Inc', 'Upsher-Smith Laboratories, Inc.', 'Upsher-Smith Laboratories, LLC']","[100, 100, 100]"
331,uspharma,USPHARMA,903,uspharma,[6559],['uspharma'],['USpharma Ltd'],[100]
332,usv north america,USV NORTH AMERICA,904,usv north america,[6561],['usv north america'],['USV North America Inc.'],[100]
333,valeant,"VALEANT, VALEANT INTL, VALEANT PHARM INTL, VALEANT PHARMS, VALEANT PHARMS INC, VALEANT PHARMS INTL, VALEANT PHARMS LLC","905, 907, 909, 910, 911, 912, 913",valeant,[6565],['valeant'],['Valeant Pharmaceuticals'],[100]
334,validus,VALIDUS PHARMS,915,validus,[6569],['validus'],['Validus Pharmaceuticals LLC'],[100]
335,vanda,VANDA PHARMS INC,916,vanda,[6590],['vanda'],['Vanda Pharmaceuticals Inc.'],[100]
336,veloxis,VELOXIS PHARMS INC,917,veloxis,[6599],['veloxis'],"['Veloxis Pharmaceuticals, Inc']",[100]
337,vertex,"VERTEX PHARMS, VERTEX PHARMS INC","920, 921",vertex,[6621],['vertex'],['Vertex Pharmaceuticals Incorporated'],[100]
338,viiv,VIIV HLTHCARE,926,viiv,[6640],['viiv'],['ViiV Healthcare Company'],[100]
339,virtus,"VIRTUS PHARM, VIRTUS PHARMS","930, 931",virtus,"[6653, 6654, 6655]","['virtus', 'virtus', 'virtus']","['Virtus Pharmaceuticals', 'Virtus Pharmaceuticals LLC', 'Virtus Pharmaceuticals, LLC']","[100, 100, 100]"
340,vistapharm,VISTAPHARM,932,vistapharm,"[6657, 6658]","['vistapharm', 'vistapharm']","['VISTAPHARM INC', 'VistaPharm, Inc.']","[100, 100]"
341,vivus,VIVUS,935,vivus,[6682],['vivus'],"['Vivus, Inc.']",[100]
342,west ward,WEST WARD PHARM CORP,944,west ward,[6815],['west ward'],['West Ward Pharmaceuticals Corp.'],[100]
343,westair gases&equipment,WESTAIR GASES & EQUIPMENT INC,946,westair gases&equipment,[6821],['westair gases&equipment'],"['Westair Gases & Equipment, Inc.']",[100]
344,wilshire,WILSHIRE PHARMS INC,948,wilshire,"[6850, 6851, 6852, 6853]","['wilshire', 'wilshire', 'wilshire', 'wilshire']","['Wilshire Pharmaceuticals', 'Wilshire Pharmaceuticals Inc', 'Wilshire Pharmaceuticals Inc.', 'Wilshire Pharmaceuticals, Inc.']","[100, 100, 100, 100]"
345,wockhardt,"WOCKHARDT, WOCKHARDT LTD, WOCKHARDT USA","951, 953, 954",wockhardt,"[6873, 6874]","['wockhardt', 'wockhardt']","['Wockhardt Limited', 'Wockhardt USA LLC.']","[100, 100]"
346,worldmeds,"US WORLDMEDS, US WORLDMEDS LLC","900, 901",worldmeds,[6557],['worldmeds'],"['US WorldMeds, LLC']",[100]
347,wraser,WRASER PHARMS LLC,955,wraser,"[6894, 6895]","['wraser', 'wraser']","['WraSer LLC', 'WraSer Pharmaceuticals, LLC']","[100, 100]"
348,wyeth,WYETH PHARMS INC,957,wyeth,[6903],['wyeth'],['Wyeth Pharmaceuticals Company'],[100]
349,x-gen,X-GEN PHARMS INC,961,x-gen,"[6905, 6906]","['x-gen', 'x-gen']","['X-Gen Pharmaceuticals Inc', 'X-GEN Pharmaceuticals, Inc.']","[100, 100]"
350,xellia,XELLIA PHARMS APS,962,xellia,"[6911, 6912, 6913, 6914]","['xellia', 'xellia', 'xellia', 'xellia']","['Xellia Pharmaceuticals ApS', 'Xellia Pharmaceuticals USA LLC', 'Xellia Pharmaceuticals USA, LLC', 'Xellia Pharmaceuticals, ApS']","[100, 100, 100, 100]"
351,xspire,XSPIRE PHARMA,963,xspire,"[6925, 6926, 6927]","['xspire', 'xspire', 'xspire']","['Xspire Pharma', 'Xspire Pharma LLC', 'Xspire Pharma, Llc']","[100, 100, 100]"
352,xttrium,XTTRIUM,964,xttrium,[6928],['xttrium'],"['Xttrium Laboratories, Inc.']",[100]
353,yaopharma,YAOPHARMA CO LTD,966,yaopharma,[6939],['yaopharma'],"['Yaopharma Co., Ltd.']",[100]
354,zo skin,ZO SKIN HEALTH,970,zo skin,[7009],['zo skin'],"['ZO Skin Health, Inc.']",[100]
355,zydus,"ZYDUS HLTHCARE, ZYDUS PHARMS USA, ZYDUS PHARMS USA INC","971, 972, 973",zydus,"[7017, 7018, 7019, 7020]","['zydus', 'zydus', 'zydus', 'zydus']","['Zydus Pharmaceuticals (USA) Inc.', 'Zydus Pharmaceuticals USA Inc', 'Zydus Pharmaceuticals USA Inc.', 'Zydus Technologies Limited']","[100, 100, 100, 100]"
