"","fam","certification","number","x1","x2","name_cert"
"2728","43","Social Worker Certification",7,"Social Worker ","Social Worker ","Social Worker "
"2729","43","South Carolina Bar",2,"South Carolina Bar","South Carolina Bar","South Carolina Bar"
"2730","43","Spanish Certification",1,"Spanish ","Spanish ","Spanish "
"2731","43","Special Education Certification",1,"Special Education ","Special Education ","Special Education "
"2732","43","Specialist in Poison Information",2,"Specialist in Poison Information","Specialist in Poison Information","Specialist in Poison Information"
"2733","43","Speech-Language Pathologist License",3,"Speech-Language Pathologist License","Speech-Language Pathologist License","Speech-Language Pathologist License"
"2734","43","Sports Medicine Certification",2,"Sports Medicine ","Sports Medicine ","Sports Medicine "
"2735","43","storage+ Certification",1,"storage+ ","storage+ ","storage+ "
"2736","43","Storm Water Management Operator",1,"Storm Water Management Operator","Storm Water Management Operator","Storm Water Management Operator"
"2737","43","Systems Security Certified Practitioner (SSCP)",19,"Systems Security Certified Practitioner (SSCP)","Systems Security  Practitioner (SSCP)","Systems Security  Practitioner (SSCP)"
"2738","43","Tattoo Artist",3,"Tattoo Artist","Tattoo Artist","Tattoo Artist"
"2739","43","Tax Preparation Certificate",3,"Tax Preparation Certificate","Tax Preparation Certificate","Tax Preparation "
"2740","43","Tax Professional",1,"Tax Professional","Tax Professional","Tax Professional"
"2741","43","Taxation Certification",37,"Taxation ","Taxation ","Taxation "
"2742","43","Teachers of English To Speakers of Other Languages (TESOL)",7,"Teachers of English To Speakers of Other Languages (TESOL)","Teachers of English To Speakers of Other Languages (TESOL)","Teachers of English To Speakers of Other Languages (TESOL)"
"2743","43","Teaching English As A Foreign Language (TEFL)",1,"Teaching English As A Foreign Language (TEFL)","Teaching English As A Foreign Language (TEFL)","Teaching English As A Foreign Language (TEFL)"
"2744","43","Telecommunications Certification",2,"Telecommunications ","Telecommunications ","Telecommunications "
"2745","43","Texas Bar",1,"Texas Bar","Texas Bar","Texas Bar"
"2746","43","Therapeutic Crisis Intervention",3,"Therapeutic Crisis Intervention","Therapeutic Crisis Intervention","Therapeutic Crisis Intervention"
"2747","43","TOGAF Certification",1,"TOGAF ","TOGAF ","TOGAF "
"2748","43","Train The Trainer",4,"Train The Trainer","Train The Trainer","Train The Trainer"
"2749","43","Training For Intervention Procedures (TIPS) Certification",12,"Training For Intervention Procedures (TIPS) ","Training For Intervention Procedures (TIPS) ","Training For Intervention Procedures (TIPS) "
"2750","43","Travel and Tourism Certification",1,"Travel and Tourism ","Travel and Tourism ","Travel and Tourism "
"2751","43","Typing Certification",1130,"Typing ","Typing ","Typing "
"2752","43","Veterinarian License",1,"Veterinarian License","Veterinarian License","Veterinarian License"
"2753","43","Vmware Certified",25,"Vmware Certified","Vmware ","Vmware "
"2754","43","VMware Certified Associate (VCA)",3,"VMware Certified Associate (VCA)","VMware  Associate (VCA)","VMware  Associate (VCA)"
"2755","43","Vmware Certified Professional (VCP)",43,"Vmware Certified Professional (VCP)","Vmware  Professional (VCP)","Vmware  Professional (VCP)"
"2756","43","Vocational Rehabilitation License",100,"Vocational Rehabilitation License","Vocational Rehabilitation License","Vocational Rehabilitation License"
"2757","43","Ward Clerk",1,"Ward Clerk","Ward Clerk","Ward Clerk"
"2758","43","Washington Bar",3,"Washington Bar","Washington Bar","Washington Bar"
"2759","43","Wastewater Treatment Certification",1,"Wastewater Treatment ","Wastewater Treatment ","Wastewater Treatment "
"2760","43","Wastewater Treatment Plant Operator",6,"Wastewater Treatment Plant Operator","Wastewater Treatment Plant Operator","Wastewater Treatment Plant Operator"
"2761","43","Water Safety Instructor",1,"Water Safety Instructor","Water Safety Instructor","Water Safety Instructor"
"2762","43","Water Well Contractor",1,"Water Well Contractor","Water Well Contractor","Water Well Contractor"
"2763","43","Welding Certification",35,"Welding ","Welding ","Welding "
"2764","43","Wildland Firefighter",5,"Wildland Firefighter","Wildland Firefighter","Wildland Firefighter"
"2765","43","Wildland Firefighter II",1,"Wildland Firefighter II","Wildland Firefighter II","Wildland Firefighter II"
"2766","43","Windows Certification",3,"Windows ","Windows ","Windows "
"2767","43","Word Processing Certification",6,"Word Processing ","Word Processing ","Word Processing "
"2768","43","Workplace Safety",1,"Workplace Safety","Workplace Safety","Workplace Safety"
"2769","45","CDL Class A",19,"CDL Class A","CDL Class A","CDL Class A"
"2770","45","Cdl Class B",5,"Cdl Class B","Cdl Class B","Cdl Class B"
"2771","45","CDL Class D",1,"CDL Class D","CDL Class D","CDL Class D"
"2772","45","Chemical Applicator License",1,"Chemical Applicator License","Chemical Applicator License","Chemical Applicator License"
"2773","45","Commercial Applicators License",3,"Commercial Applicators License","Commercial Applicators License","Commercial Applicators License"
"2774","45","Driver's License",54,"Driver's License","Driver's License","Driver's License"
"2775","45","First Aid Cpr Aed",1,"First Aid Cpr Aed","First Aid Cpr Aed","First Aid Cpr Aed"
"2776","45","Forklift Operator Certification",3,"Forklift Operator ","Forklift Operator ","Forklift Operator "
"2777","45","Pest Control Applicator",5,"Pest Control Applicator","Pest Control Applicator","Pest Control Applicator"
"2778","47","3M Certified",3,"3M Certified","3M ","3M "
"2779","47","5 Star",2,"5 Star","5 Star","5 Star"
"2780","47","6-G Certified",18,"6-G Certified","6-G ","6-G "
"2781","47","653 Aboveground Storage Tank Inspector",8,"653 Aboveground Storage Tank Inspector","653 Aboveground Storage Tank Inspector","653 Aboveground Storage Tank Inspector"
"2782","47","8 Discipline",1,"8 Discipline","8 Discipline","8 Discipline"
"2783","47","Aaadm",1,"Aaadm","Aaadm","Aaadm"
"2784","47","AAMA Certified Medical Assistant",49,"AAMA Certified Medical Assistant","AAMA  Medical Assistant","AAMA  Medical Assistant"
"2785","47","Abatement License",3,"Abatement License","Abatement License","Abatement License"
"2786","47","Abatement Worker License",1,"Abatement Worker License","Abatement Worker License","Abatement Worker License"
"2787","47","Accident Health and Life (Insurance)",2,"Accident Health and Life (Insurance)","Accident Health and Life (Insurance)","Accident Health and Life (Insurance)"
"2788","47","Aci Field Testing Technician",108,"Aci Field Testing Technician","Aci Field Testing Technician","Aci Field Testing Technician"
"2789","47","Action",1,"Action","Action","Action"
"2790","47","Acute Care Nurse Practitioner",2,"Acute Care Nurse Practitioner","Acute Care Nurse Practitioner","Acute Care Nurse Practitioner"
"2791","47","Addiction Treatment Counselor",2,"Addiction Treatment Counselor","Addiction Treatment Counselor","Addiction Treatment Counselor"
"2792","47","Adjuster License",25,"Adjuster License","Adjuster License","Adjuster License"
"2793","47","Administrative Support Certification",4,"Administrative Support ","Administrative Support ","Administrative Support "
"2794","47","Adobe Photoshop Certificate",1,"Adobe Photoshop Certificate","Adobe Photoshop Certificate","Adobe Photoshop "
"2795","47","Adult Education Certificate",2,"Adult Education Certificate","Adult Education Certificate","Adult Education "
"2796","47","Advanced Cardiac Life Support (ACLS) Certification",17,"Advanced Cardiac Life Support (ACLS) ","Advanced Cardiac Life Support (ACLS) ","Advanced Cardiac Life Support (ACLS) "
"2797","47","Advanced Practice Nurse",5,"Advanced Practice Nurse","Advanced Practice Nurse","Advanced Practice Nurse"
"2798","47","Advanced Registered Nurse Practitioner",4,"Advanced Registered Nurse Practitioner","Advanced Registered Nurse Practitioner","Advanced Registered Nurse Practitioner"
"2799","47","Aerial Lift Certification",141,"Aerial Lift ","Aerial Lift ","Aerial Lift "
"2800","47","Aerial Lift Operator",1,"Aerial Lift Operator","Aerial Lift Operator","Aerial Lift Operator"
"2801","47","Aerial Platform Certification",9,"Aerial Platform ","Aerial Platform ","Aerial Platform "
"2802","47","Aerial Rescue and Fire Fighting (ARFF)",3,"Aerial Rescue and Fire Fighting (ARFF)","Aerial Rescue and Fire Fighting (ARFF)","Aerial Rescue and Fire Fighting (ARFF)"
"2803","47","Aerial Work Platform",9,"Aerial Work Platform","Aerial Work Platform","Aerial Work Platform"
"2804","47","Aggregate Technician Certification",20,"Aggregate Technician ","Aggregate Technician ","Aggregate Technician "
"2805","47","Air Brake Certified",237,"Air Brake Certified","Air Brake ","Air Brake "
"2806","47","Air Conditioning (AC) Certification",16,"Air Conditioning (AC) ","Air Conditioning (AC) ","Air Conditioning (AC) "
"2807","47","Airframe and Powerplant (A and P) Certification",120,"Airframe and Powerplant (A and P) ","Airframe and Powerplant (A and P) ","Airframe and Powerplant (A and P) "
"2808","47","Alcohol Awareness Certification",7,"Alcohol Awareness ","Alcohol Awareness ","Alcohol Awareness "
"2809","47","Allen Bradley Certificate",11,"Allen Bradley Certificate","Allen Bradley Certificate","Allen Bradley "
"2810","47","Allen Bradley PLC",2,"Allen Bradley PLC","Allen Bradley PLC","Allen Bradley PLC"
"2811","47","American Board for Engineering and Technology (ABET) Accredited",309,"American Board for Engineering and Technology (ABET) Accredited","American Board for Engineering and Technology (ABET) Accredited","American Board for Engineering and Technology (ABET) Accredited"
"2812","47","American Board of Radiology (ABR)",1,"American Board of Radiology (ABR)","American Board of Radiology (ABR)","American Board of Radiology (ABR)"
"2813","47","American Board of Surgery Certification (ABS)",11,"American Board of Surgery  (ABS)","American Board of Surgery  (ABS)","American Board of Surgery  (ABS)"
"2814","47","American Bureau of Shipping Certification (ABS)",8,"American Bureau of Shipping  (ABS)","American Bureau of Shipping  (ABS)","American Bureau of Shipping  (ABS)"
"2815","47","American Concrete Institute (ACI)",911,"American Concrete Institute (ACI)","American Concrete Institute (ACI)","American Concrete Institute (ACI)"
"2816","47","American Council of Pharmaceutical Education (ACPE)",2,"American Council of Pharmaceutical Education (ACPE)","American Council of Pharmaceutical Education (ACPE)","American Council of Pharmaceutical Education (ACPE)"
"2817","47","American Heart Association Certification",13,"American Heart Association ","American Heart Association ","American Heart Association "
"2818","47","American Institute of Architects",4,"American Institute of Architects","American Institute of Architects","American Institute of Architects"
"2819","47","American Institute of Certified Planners",26,"American Institute of Certified Planners","American Institute of  Planners","American Institute of  Planners"
"2820","47","American Institute of Steel Construction (AISC)",19,"American Institute of Steel Construction (AISC)","American Institute of Steel Construction (AISC)","American Institute of Steel Construction (AISC)"
"2821","47","American Management Association Certification",3,"American Management Association ","American Management Association ","American Management Association "
"2822","47","American Physical Therapy Association (APTA) Certification",5,"American Physical Therapy Association (APTA) ","American Physical Therapy Association (APTA) ","American Physical Therapy Association (APTA) "
"2823","47","American Production and Inventory Control Society (APICS) Certification",1,"American Production and Inventory Control Society (APICS) ","American Production and Inventory Control Society (APICS) ","American Production and Inventory Control Society (APICS) "
"2824","47","American Registry of Radiologic Technologists (ARRT) Certification",2,"American Registry of Radiologic Technologists (ARRT) ","American Registry of Radiologic Technologists (ARRT) ","American Registry of Radiologic Technologists (ARRT) "
"2825","47","American Society For Quality (ASQ) Certification",24,"American Society For Quality (ASQ) ","American Society For Quality (ASQ) ","American Society For Quality (ASQ) "
"2826","47","American Society for Testing and Materials (ASTM)",13,"American Society for Testing and Materials (ASTM)","American Society for Testing and Materials (ASTM)","American Society for Testing and Materials (ASTM)"
"2827","47","American Society of Mechanical Engineers (ASME) Certified",83,"American Society of Mechanical Engineers (ASME) Certified","American Society of Mechanical Engineers (ASME) ","American Society of Mechanical Engineers (ASME) "
"2828","47","Api 1104",24,"Api 1104","Api 1104","Api 1104"
"2829","47","Appliance Repair Certificate",4,"Appliance Repair Certificate","Appliance Repair Certificate","Appliance Repair "
"2830","47","Applicators License",56,"Applicators License","Applicators License","Applicators License"
"2831","47","Applied Science",4,"Applied Science","Applied Science","Applied Science"
"2832","47","Architecture License",25,"Architecture License","Architecture License","Architecture License"
"2833","47","Ariel Lift Operator",4,"Ariel Lift Operator","Ariel Lift Operator","Ariel Lift Operator"
"2834","47","Asbestos Contractor/Supervisor",23,"Asbestos Contractor/Supervisor","Asbestos Contractor/Supervisor","Asbestos Contractor/Supervisor"
"2835","47","Asbestos Inspector",7,"Asbestos Inspector","Asbestos Inspector","Asbestos Inspector"
"2836","47","Asbestos Worker",49,"Asbestos Worker","Asbestos Worker","Asbestos Worker"
"2837","47","ASME Pressure Vessel Section VIII",7,"ASME Pressure Vessel Section VIII","ASME Pressure Vessel Section VIII","ASME Pressure Vessel Section VIII"
"2838","47","Asme Section 9",5,"Asme Section 9","Asme Section 9","Asme Section 9"
"2839","47","Assistive Technology Professional",1,"Assistive Technology Professional","Assistive Technology Professional","Assistive Technology Professional"
"2840","47","Associate Business Continuity Professional",2,"Associate Business Continuity Professional","Associate Business Continuity Professional","Associate Business Continuity Professional"
"2841","47","Associate Safety Professional Certification",2,"Associate Safety Professional ","Associate Safety Professional ","Associate Safety Professional "
"2842","47","Association of Energy Engineers (AEE)",2,"Association of Energy Engineers (AEE)","Association of Energy Engineers (AEE)","Association of Energy Engineers (AEE)"
"2843","47","Athletic Trainer Certification",1,"Athletic Trainer ","Athletic Trainer ","Athletic Trainer "
"2844","47","Audiovisual (AV) Certification",21,"Audiovisual (AV) ","Audiovisual (AV) ","Audiovisual (AV) "
"2845","47","AutoCAD Certification",31,"AutoCAD ","AutoCAD ","AutoCAD "
"2846","47","Automation Certification",23,"Automation ","Automation ","Automation "
"2847","47","Automotive Service Excellence (ASE) Certification",153,"Automotive Service Excellence (ASE) ","Automotive Service Excellence (ASE) ","Automotive Service Excellence (ASE) "
"2848","47","AWS Certified Associate Welding Inspector",58,"AWS Certified Associate Welding Inspector","AWS  Associate Welding Inspector","AWS  Associate Welding Inspector"
"2849","47","AWS Certified SysOps Administrator",1,"AWS Certified SysOps Administrator","AWS  SysOps Administrator","AWS  SysOps Administrator"
"2850","47","AWS D1.1",49,"AWS D1.1","AWS D1.1","AWS D1.1"
"2851","47","AWS D1.5",7,"AWS D1.5","AWS D1.5","AWS D1.5"
"2852","47","Back-Flow Certification",1209,"Back-Flow ","Back-Flow ","Back-Flow "
"2853","47","Back-Flow Prevention Certificate",228,"Back-Flow Prevention Certificate","Back-Flow Prevention Certificate","Back-Flow Prevention "
"2854","47","Backflow Certified",16,"Backflow Certified","Backflow ","Backflow "
"2855","47","Backflow License",112,"Backflow License","Backflow License","Backflow License"
"2856","47","Backflow Prevention Certification",212,"Backflow Prevention ","Backflow Prevention ","Backflow Prevention "
"2857","47","Backflow Tester Certification",35,"Backflow Tester ","Backflow Tester ","Backflow Tester "
"2858","47","Basic Cardiac Life Support Certification",18,"Basic Cardiac Life Support ","Basic Cardiac Life Support ","Basic Cardiac Life Support "
"2859","47","Basic Education Certificate",2,"Basic Education Certificate","Basic Education Certificate","Basic Education "
"2860","47","Basic Electricity Certificate",2,"Basic Electricity Certificate","Basic Electricity Certificate","Basic Electricity "
"2861","47","Basic Life Saving (BLS)",50,"Basic Life Saving (BLS)","Basic Life Saving (BLS)","Basic Life Saving (BLS)"
"2862","47","Basic Post Certificate",1,"Basic Post Certificate","Basic Post Certificate","Basic Post "
"2863","47","Basic Safety Training (BST)",41,"Basic Safety Training (BST)","Basic Safety Training (BST)","Basic Safety Training (BST)"
"2864","47","Belay",49,"Belay","Belay","Belay"
"2865","47","BICSI Certification",120,"BICSI ","BICSI ","BICSI "
"2866","47","BICSI Installer",16,"BICSI Installer","BICSI Installer","BICSI Installer"
"2867","47","BICSI Installer I",10,"BICSI Installer I","BICSI Installer I","BICSI Installer I"
"2868","47","BICSI Technician",12,"BICSI Technician","BICSI Technician","BICSI Technician"
"2869","47","Bilingual Certification",10,"Bilingual ","Bilingual ","Bilingual "
"2870","47","Biomedical Equipment Technician (BMET)",3,"Biomedical Equipment Technician (BMET)","Biomedical Equipment Technician (BMET)","Biomedical Equipment Technician (BMET)"
"2871","47","Black Seal License",11,"Black Seal License","Black Seal License","Black Seal License"
"2872","47","Blasters Certification",35,"Blasters ","Blasters ","Blasters "
"2873","47","Bloodborne Pathogens Certification",12,"Bloodborne Pathogens ","Bloodborne Pathogens ","Bloodborne Pathogens "
"2874","47","Blue Print Reading",13,"Blue Print Reading","Blue Print Reading","Blue Print Reading"
"2875","47","Blue Seal License",2,"Blue Seal License","Blue Seal License","Blue Seal License"
"2876","47","Board Certified Behavior Analyst (BCBA)",1,"Board Certified Behavior Analyst (BCBA)","Board  Behavior Analyst (BCBA)","Board  Behavior Analyst (BCBA)"
"2877","47","Board Certified in Family Medicine",1,"Board Certified in Family Medicine","Board  in Family Medicine","Board  in Family Medicine"
"2878","47","Board Certified/Board Eligible",70,"Board Certified/Board Eligible","Board /Board Eligible","Board /Board Eligible"
"2879","47","Boiler Engineer's License",5,"Boiler Engineer's License","Boiler Engineer's License","Boiler Engineer's License"
"2880","47","Boiler Installers License",10,"Boiler Installers License","Boiler Installers License","Boiler Installers License"
"2881","47","Boiler Mechanic License",4,"Boiler Mechanic License","Boiler Mechanic License","Boiler Mechanic License"
"2882","47","Boiler Operation Certificate",6,"Boiler Operation Certificate","Boiler Operation Certificate","Boiler Operation "
"2883","47","Boiler Operator License",93,"Boiler Operator License","Boiler Operator License","Boiler Operator License"
"2884","47","Boom Truck Certification",16,"Boom Truck ","Boom Truck ","Boom Truck "
"2885","47","Bpi Building Analyst",14,"Bpi Building Analyst","Bpi Building Analyst","Bpi Building Analyst"
"2886","47","Brick Mason Certificate",7,"Brick Mason Certificate","Brick Mason Certificate","Brick Mason "
"2887","47","Bronze Level Certification",94,"Bronze Level ","Bronze Level ","Bronze Level "
"2888","47","Bucket Truck Certification",49,"Bucket Truck ","Bucket Truck ","Bucket Truck "
"2889","47","Building Maintenance",32,"Building Maintenance","Building Maintenance","Building Maintenance"
"2890","47","Building Operator Certification",5,"Building Operator ","Building Operator ","Building Operator "
"2891","47","Building Performance Institute (BPI)",52,"Building Performance Institute (BPI)","Building Performance Institute (BPI)","Building Performance Institute (BPI)"
"2892","47","Building Services",13,"Building Services","Building Services","Building Services"
"2893","47","Building Trade Certificate",70,"Building Trade Certificate","Building Trade Certificate","Building Trade "
"2894","47","Burglar Alarm License",1,"Burglar Alarm License","Burglar Alarm License","Burglar Alarm License"
"2895","47","Burglar and Fire",6,"Burglar and Fire","Burglar and Fire","Burglar and Fire"
"2896","47","Business Education",1,"Business Education","Business Education","Business Education"
"2897","47","Business License",197,"Business License","Business License","Business License"
"2898","47","Business Technology",1,"Business Technology","Business Technology","Business Technology"
"2899","47","Ca License",28,"Ca License","Ca License","Ca License"
"2900","47","Cabinet Making Certificate",2,"Cabinet Making Certificate","Cabinet Making Certificate","Cabinet Making "
"2901","47","Cable Systems Certificate",3,"Cable Systems Certificate","Cable Systems Certificate","Cable Systems "
"2902","47","California Contractors License",23,"California Contractors License","California Contractors License","California Contractors License"
"2903","47","Capability Model Maturity Integration (CMMI) Certification",14,"Capability Model Maturity Integration (CMMI) ","Capability Model Maturity Integration (CMMI) ","Capability Model Maturity Integration (CMMI) "
"2904","47","Caregiver",1,"Caregiver","Caregiver","Caregiver"
"2905","47","Carpentry Certification",123,"Carpentry ","Carpentry ","Carpentry "
"2906","47","Casino Gaming License",73,"Casino Gaming License","Casino Gaming License","Casino Gaming License"
"2907","47","CDL Class A",4442,"CDL Class A","CDL Class A","CDL Class A"
"2908","47","Cdl Class B",1228,"Cdl Class B","Cdl Class B","Cdl Class B"
"2909","47","Cdl Class C",943,"Cdl Class C","Cdl Class C","Cdl Class C"
"2910","47","CDL Class D",397,"CDL Class D","CDL Class D","CDL Class D"
"2911","47","Certificate in Accounting",2,"Certificate in Accounting","Certificate in Accounting"," in Accounting"
"2912","47","Certificate in School Administration",30,"Certificate in School Administration","Certificate in School Administration"," in School Administration"
"2913","47","Certified A+ Technician",34,"Certified A+ Technician"," A+ Technician"," A+ Technician"
"2914","47","Certified Accounts Payable Professional",2,"Certified Accounts Payable Professional"," Accounts Payable Professional"," Accounts Payable Professional"
"2915","47","Certified Administrator",2,"Certified Administrator"," Administrator"," Administrator"
"2916","47","Certified Anti Money Laundering",2,"Certified Anti Money Laundering"," Anti Money Laundering"," Anti Money Laundering"
"2917","47","Certified Applicator",31,"Certified Applicator"," Applicator"," Applicator"
"2918","47","Certified Arborist",355,"Certified Arborist"," Arborist"," Arborist"
"2919","47","Certified Back-Flow Tester",26,"Certified Back-Flow Tester"," Back-Flow Tester"," Back-Flow Tester"
"2920","47","Certified Backhoe Operator",2,"Certified Backhoe Operator"," Backhoe Operator"," Backhoe Operator"
"2921","47","Certified Benefits Professional",2,"Certified Benefits Professional"," Benefits Professional"," Benefits Professional"
"2922","47","Certified Blueprint Reader",25,"Certified Blueprint Reader"," Blueprint Reader"," Blueprint Reader"
"2923","47","Certified Boilermaker",49,"Certified Boilermaker"," Boilermaker"," Boilermaker"
"2924","47","Certified Boom Lift",2,"Certified Boom Lift"," Boom Lift"," Boom Lift"
"2925","47","Certified Builder",2,"Certified Builder"," Builder"," Builder"
"2926","47","Certified Building Inspector",679,"Certified Building Inspector"," Building Inspector"," Building Inspector"
"2927","47","Certified Building Official",219,"Certified Building Official"," Building Official"," Building Official"
"2928","47","Certified Building Plans Examiner",2,"Certified Building Plans Examiner"," Building Plans Examiner"," Building Plans Examiner"
"2929","47","Certified Business Manager",2,"Certified Business Manager"," Business Manager"," Business Manager"
"2930","47","Certified Cardiographic Technician",1,"Certified Cardiographic Technician"," Cardiographic Technician"," Cardiographic Technician"
"2931","47","Certified Career Development Facilitator",30,"Certified Career Development Facilitator"," Career Development Facilitator"," Career Development Facilitator"
"2932","47","Certified Climber",8,"Certified Climber"," Climber"," Climber"
"2933","47","Certified Clinical Document Specialist",4,"Certified Clinical Document Specialist"," Clinical Document Specialist"," Clinical Document Specialist"
"2934","47","Certified Clinical Transplant Coordinator",10,"Certified Clinical Transplant Coordinator"," Clinical Transplant Coordinator"," Clinical Transplant Coordinator"
"2935","47","Certified Coding Specialist",19,"Certified Coding Specialist"," Coding Specialist"," Coding Specialist"
"2936","47","Certified Commercial Applicator",2,"Certified Commercial Applicator"," Commercial Applicator"," Commercial Applicator"
"2937","47","Certified Compensation Professional (CCP)",2,"Certified Compensation Professional (CCP)"," Compensation Professional (CCP)"," Compensation Professional (CCP)"
"2938","47","Certified Concrete Technician",32,"Certified Concrete Technician"," Concrete Technician"," Concrete Technician"
"2939","47","Certified Construction Contract Administrator",2,"Certified Construction Contract Administrator"," Construction Contract Administrator"," Construction Contract Administrator"
"2940","47","Certified Construction Manager",301,"Certified Construction Manager"," Construction Manager"," Construction Manager"
"2941","47","Certified Construction Specifier",2,"Certified Construction Specifier"," Construction Specifier"," Construction Specifier"
"2942","47","Certified Control Systems Technician",16,"Certified Control Systems Technician"," Control Systems Technician"," Control Systems Technician"
"2943","47","Certified Control Systems Technician (CCST)",16,"Certified Control Systems Technician (CCST)"," Control Systems Technician (CCST)"," Control Systems Technician (CCST)"
"2944","47","Certified Correctional Officer",1,"Certified Correctional Officer"," Correctional Officer"," Correctional Officer"
"2945","47","Certified Cost Professional (CCP)",1,"Certified Cost Professional (CCP)"," Cost Professional (CCP)"," Cost Professional (CCP)"
"2946","47","Certified Court Reporter",14,"Certified Court Reporter"," Court Reporter"," Court Reporter"
"2947","47","Certified Crane Operator",69,"Certified Crane Operator"," Crane Operator"," Crane Operator"
"2948","47","Certified Custom Framer",2,"Certified Custom Framer"," Custom Framer"," Custom Framer"
"2949","47","Certified Dental Assistant",1,"Certified Dental Assistant"," Dental Assistant"," Dental Assistant"
"2950","47","Certified Driver",12,"Certified Driver"," Driver"," Driver"
"2951","47","Certified Electrical Maintenance",2,"Certified Electrical Maintenance"," Electrical Maintenance"," Electrical Maintenance"
"2952","47","Certified Electrical Technician",1,"Certified Electrical Technician"," Electrical Technician"," Electrical Technician"
"2953","47","Certified Electrical Worker",8,"Certified Electrical Worker"," Electrical Worker"," Electrical Worker"
"2954","47","Certified Emergency Department Coder",1,"Certified Emergency Department Coder"," Emergency Department Coder"," Emergency Department Coder"
"2955","47","Certified Energy Auditor",18,"Certified Energy Auditor"," Energy Auditor"," Energy Auditor"
"2956","47","Certified Energy Manager",33,"Certified Energy Manager"," Energy Manager"," Energy Manager"
"2957","47","Certified Environmental Professional",2,"Certified Environmental Professional"," Environmental Professional"," Environmental Professional"
"2958","47","Certified Equipment Operator",2,"Certified Equipment Operator"," Equipment Operator"," Equipment Operator"
"2959","47","Certified Erector",4,"Certified Erector"," Erector"," Erector"
"2960","47","Certified Erosion, Sediment and Storm Water Inspector",74,"Certified Erosion, Sediment and Storm Water Inspector"," Erosion, Sediment and Storm Water Inspector"," Erosion, Sediment and Storm Water Inspector"
"2961","47","Certified Escort",2,"Certified Escort"," Escort"," Escort"
"2962","47","Certified Estimating Professional (CEP)",3,"Certified Estimating Professional (CEP)"," Estimating Professional (CEP)"," Estimating Professional (CEP)"
"2963","47","Certified Estimator",2,"Certified Estimator"," Estimator"," Estimator"
"2964","47","Certified Facility Manager (CFM)",6,"Certified Facility Manager (CFM)"," Facility Manager (CFM)"," Facility Manager (CFM)"
"2965","47","Certified Fertilizer",4,"Certified Fertilizer"," Fertilizer"," Fertilizer"
"2966","47","Certified Fiber",1,"Certified Fiber"," Fiber"," Fiber"
"2967","47","Certified Fiber Optics Technician",1,"Certified Fiber Optics Technician"," Fiber Optics Technician"," Fiber Optics Technician"
"2968","47","Certified Financial Planner (CFP)",17,"Certified Financial Planner (CFP)"," Financial Planner (CFP)"," Financial Planner (CFP)"
"2969","47","Certified First Responder",37,"Certified First Responder"," First Responder"," First Responder"
"2970","47","Certified Fitness Instructor",1,"Certified Fitness Instructor"," Fitness Instructor"," Fitness Instructor"
"2971","47","Certified Fitter",20,"Certified Fitter"," Fitter"," Fitter"
"2972","47","Certified Flagger",59,"Certified Flagger"," Flagger"," Flagger"
"2973","47","Certified Floodplain Manager",12,"Certified Floodplain Manager"," Floodplain Manager"," Floodplain Manager"
"2974","47","Certified Framer",96,"Certified Framer"," Framer"," Framer"
"2975","47","Certified Fraud Examiner (CFE)",30,"Certified Fraud Examiner (CFE)"," Fraud Examiner (CFE)"," Fraud Examiner (CFE)"
"2976","47","Certified Gemologist",4,"Certified Gemologist"," Gemologist"," Gemologist"
"2977","47","Certified General Contractor",36,"Certified General Contractor"," General Contractor"," General Contractor"
"2978","47","Certified Government Financial Manager (CGFM)",2,"Certified Government Financial Manager (CGFM)"," Government Financial Manager (CGFM)"," Government Financial Manager (CGFM)"
"2979","47","Certified Hair Stylist",2,"Certified Hair Stylist"," Hair Stylist"," Hair Stylist"
"2980","47","Certified Hazardous Materials Manager",35,"Certified Hazardous Materials Manager"," Hazardous Materials Manager"," Hazardous Materials Manager"
"2981","47","Certified Health Education Specialist",2,"Certified Health Education Specialist"," Health Education Specialist"," Health Education Specialist"
"2982","47","Certified Heavy Equipment Operator",9,"Certified Heavy Equipment Operator"," Heavy Equipment Operator"," Heavy Equipment Operator"
"2983","47","Certified Home Inspector",502,"Certified Home Inspector"," Home Inspector"," Home Inspector"
"2984","47","Certified Horticulturist",1,"Certified Horticulturist"," Horticulturist"," Horticulturist"
"2985","47","Certified Housing Specialist",8,"Certified Housing Specialist"," Housing Specialist"," Housing Specialist"
"2986","47","Certified in Backflow Prevention",2,"Certified in Backflow Prevention"," in Backflow Prevention"," in Backflow Prevention"
"2987","47","Certified in Construction",13,"Certified in Construction"," in Construction"," in Construction"
"2988","47","Certified in Healthcare Privacy and Security",26,"Certified in Healthcare Privacy and Security"," in Healthcare Privacy and Security"," in Healthcare Privacy and Security"
"2989","47","Certified in Integrated Resource Management (CIRM)",1,"Certified in Integrated Resource Management (CIRM)"," in Integrated Resource Management (CIRM)"," in Integrated Resource Management (CIRM)"
"2990","47","Certified in Production and Inventory Management (CPIM)",3,"Certified in Production and Inventory Management (CPIM)"," in Production and Inventory Management (CPIM)"," in Production and Inventory Management (CPIM)"
"2991","47","Certified in Red Cross",14,"Certified in Red Cross"," in Red Cross"," in Red Cross"
"2992","47","Certified in Refrigerant Recovery",1,"Certified in Refrigerant Recovery"," in Refrigerant Recovery"," in Refrigerant Recovery"
