"","Var1","Freq"
"1590","Precision Sheet Metal Operator Certification (PSMO)",1
"1591","Prince2 Certification",8
"1592","Prince2 Foundation Certification",1
"1593","Printing Technology",1
"1594","Private Investigation",10
"1595","Private Security",62
"1596","Procurement Certification",12
"1597","Product Part Approval Process",4
"1598","Production Certificate",107
"1599","Professional Achievement",1
"1600","Professional Community Association Manager",22
"1601","Professional Development",15
"1602","Professional in Human Resources",69
"1603","Professional Medical Services Management",53
"1604","Program Management Certification",17
"1605","Program Management Professional (PgMP)",28
"1606","Programming Certification",82
"1607","Progressive Care Nursing",11
"1608","Project Management Certification",5534
"1609","Project Management Professional (PMP)",1366
"1610","Propane and Natural Gas Installer",10
"1611","Property and Casualty License",359
"1612","Property Manager Certification",94
"1613","Psychiatric Nurse Practitioner",1
"1614","Psychologist License",58
"1615","Public Safety Certificate",123
"1616","Public Safety Telecommunicator",2
"1617","Purchasing Certification",20
"1618","Quality Control Certification",88
"1619","Quality Education",3
"1620","Quality Improvement",25
"1621","Quality Service",20
"1622","Quality System",33
"1623","Quality Technology",6
"1624","Quickbooks Certification",18
"1625","R-410A",51
"1626","Radiation License",1
"1627","Radiation Safety Certification",504
"1628","Radiation Safety Certified",504
"1629","Radio Operator",26
"1630","Radiography Certification",20
"1631","Radiologic Technician",8
"1632","Radiologic Technologist",7
"1633","Radon Inspector",6
"1634","Reactor Operator License",64
"1635","Reading Certification",1
"1636","Real Estate Certification",1303
"1637","Recovery Agent License",1
"1638","Red Hat Certified Architect (RHCA)",10
"1639","Red Hat Certified Engineer (RHCE)",40
"1640","Red Hat Certified System Adminstrator (RHCSA)",45
"1641","Red Seal License",4
"1642","Red X Certification",83
"1643","Red X Master Certification",4
"1644","Refrigeration Technician Certification",338
"1645","Regisistered Executive Housekeeper",1
"1646","Registered Architect",253
"1647","Registered Behavior Technician",222
"1648","Registered Cardiac Electrophysiology Specialist",18
"1649","Registered Cardiac Sonographer",179
"1650","Registered Cardiovascular Invasive Specialist",85
"1651","Registered Clinical Exercise Physiologist (RCEP)",4
"1652","Registered Communications Distribution Designer (RCDD)",257
"1653","Registered Congenital Cardiac Sonographer",9
"1654","Registered Diagnostic Cardiac Sonographer",129
"1655","Registered Diagnostic Medical Sonographer",48
"1656","Registered Dietitian",152
"1657","Registered Environmental Health Specialist",17
"1658","Registered Financial Planner (RFP)",18
"1659","Registered Hazardous Substances Professional",3
"1660","Registered Health Information Administrator",112
"1661","Registered Health Information Technician",128
"1662","Registered Interior Designer",1
"1663","Registered Medical Assistant",67
"1664","Registered Phlebology Sonographer",1
"1665","Registered Polysomnographic Technologist",274
"1666","Registered Pulmonary Function Technologist",512
"1667","Registered Radiologic Technologist",135
"1668","Registered Radiologist Assistant",14
"1669","Registered Respiratory Therapist",18106
"1670","Registered Surveyor",2
"1671","Registered Tax Return Preparer (RTRP)",1
"1672","Registered Telecommunication Project Manager",10
"1673","Registered Vascular Specialist",62
"1674","Registered Vascular Technologist",82
"1675","Regulatory Affairs Certification",3
"1676","Residential and Commercial Photovoltaic Systems Certificate",11
"1677","Residential Builders License",4
"1678","Residential Energy Services Network (Resnet)",33
"1679","Respiratory Care Practitioner (RCP)",11551
"1680","Retail Certification",4
"1681","Retail Industry Fundamentals",1
"1682","Rfid+",1
"1683","Safety Trained Supervisor",256
"1684","Salesforce Developer",7
"1685","Salesforce Marketing Cloud Email Specialist",2
"1686","Salesforce Pardot Specialist",2
"1687","Salesforce Platform App Builder",9
"1688","SANS/GIAC Certification",335
"1689","SAP Certification",25
"1690","Sarbanes-Oxley (SOX) Certification",3
"1691","SAS Certification",5
"1692","Scheduling Certification",16
"1693","Sdb Certified",83
"1694","Seating and Mobility Specialist",199
"1695","Securities License",31
"1696","Security Certified Network Architect",2
"1697","Security Certified Network Professional",6
"1698","Security Certified Network Specialist",35
"1699","Security Clearance",32191
"1700","Security Guard Certification",74
"1701","Security Technician Certificate of Approval",17
"1702","Senior Certified Welding Inspector (SCWI)",8
"1703","Senior Professional in Human Resources",47
"1704","Sensory Integration and Praxis Test (SIPT)",2
"1705","Seo Certified",1
"1706","Series 10",5
"1707","Series 24",20
"1708","Series 3",47
"1709","Series 6",127
"1710","Series 63",71
"1711","Series 65",34
"1712","Series 66",32
"1713","Series 7",1229
"1714","Series 8",5
"1715","Series 9",12
"1716","server+ Certification",4
"1717","ServSafe",13119
"1718","Sexual Assault Nurse Examiner",1
"1719","Sheet Metal Certification",206
"1720","Shop Math",11
"1721","SHRM Certified Professional (SHRM-CP)",67
"1722","SHRM Senior Certified Professional",33
"1723","Six Sigma Black Belt Certification",211
"1724","Six Sigma Certification",993
"1725","Six Sigma DFSS-Green Belt",5
"1726","Six Sigma Green Belt Certification",245
"1727","Six Sigma Master Black Belt",34
"1728","Six Sigma White Belt",3
"1729","Six Sigma Yellow Belt",18
"1730","Small Engine",107
"1731","Social Work License",254
"1732","Social Worker Certification",10
"1733","Soil Tester",2
"1734","Solar Contractor Certificate",5
"1735","Soldering Certification",402
"1736","South Carolina Bar",2
"1737","Spanish Certification",2
"1738","Special Education Certification",17
"1739","Specialist in Poison Information",5
"1740","Speech-Language Pathologist License",16
"1741","Sports Medicine Certification",37
"1742","Stationary Engineer License",497
"1743","Step Certification",1
"1744","storage+ Certification",1
"1745","Storm Water Management Operator",1
"1746","Structured Cabling Certification",6
"1747","Subspecialty Certification in Cardiac Surgery",87
"1748","Supervisor Abatement License",28
"1749","Supply Chain Analyst",1
"1750","Supply Chain Management Certification",7
"1751","Swimming Pool Operators Certified",10
"1752","Systems Security Certified Practitioner (SSCP)",334
"1753","Tattoo Artist",6
"1754","Tax Assessment",2
"1755","Tax Collector's License",7
"1756","Tax Preparation Certificate",40
"1757","Tax Professional",8
"1758","Taxation Certification",1088
"1759","Teacher of Students with Disabilities",3
"1760","Teachers of English To Speakers of Other Languages (TESOL)",139
"1761","Teaching Assistant",1
"1762","Teaching English As A Foreign Language (TEFL)",2
"1763","Technical Training Certification",7
"1764","Technical Writing Certification",78
"1765","Telecommunications Certification",17
"1766","Test Analyst",1
"1767","Texas Bar",1
"1768","The American Society For Nondestructive Testing (ASNT) Certification",360
"1769","Therapeutic Crisis Intervention",9
"1770","Tia Certified",129
"1771","TOGAF Certification",15
"1772","Tool and Die",184
"1773","Total Productive Maintenance Certification",9
"1774","Train The Trainer",100
"1775","Training For Intervention Procedures (TIPS) Certification",243
"1776","Transportation and Logistics",8
"1777","Transportation of Dangerous Goods",2
"1778","Transportation Professional",1
"1779","Transportation Security Administration",6
"1780","Travel and Tourism Certification",1
"1781","Typing Certification",1262
"1782","U.S. Department of Labor",248
"1783","Uscg Captains License",4
"1784","Veterinarian License",118
"1785","Veterinary Technologist",17
"1786","Virginia Bar",1
"1787","Vmware Certified",53
"1788","VMware Certified Associate (VCA)",7
"1789","VMware Certified Design Expert (VCDX)",2
"1790","VMware Certified Implementation Expert (VCIX)",2
"1791","Vmware Certified Professional (VCP)",79
"1792","Vocational Rehabilitation License",265
"1793","Vocational Technical Certificate",164
"1794","Ward Clerk",1
"1795","Washington Bar",5
"1796","Waste Management Facility Operator",5
"1797","Wastewater Collection License",439
"1798","Wastewater Treatment Certification",350
"1799","Wastewater Treatment Plant Operator",2670
"1800","Wastewater Treatment Plant Operator Grade I",127
"1801","Wastewater Treatment Plant Operator Grade Ii",82
"1802","Wastewater Treatment Plant Operator Grade Iii",41
"1803","Wastewater Treatment Plant Operator Grade Iv",10
"1804","Water Safety Instructor",8
"1805","Water Well Contractor",12
"1806","Weapons of Mass Destruction Certified",1
"1807","Welding Certification",2866
"1808","Wildland Firefighter",279
"1809","Wildland Firefighter I",9
"1810","Wildland Firefighter II",9
"1811","Windows Certification",18
"1812","Wireless Network Technician (WNT)",2
"1813","Word Processing Certification",6
"1814","Work Keys",10
"1815","Workplace Hazardous Materials Information System",76
"1816","Workplace Safety",32
"1817","Xsan 2 Administrator",4
