"","full_address","must_inc_number_address","bedrooms","bathrooms","sqft","text","source"
"1540","107 KENSINGTON AVE, PARK RIVER, ND, 58270","""107"" KENSINGTON AVE, PARK RIVER, ND, 58270","0","0.0",NA,"Zillowhttps://www.zillow.com/homedetails/107-Kensington...107 Kensington Ave, Park River, ND 58270 | ZillowWeb107 Kensington Ave , Park River, ND 58270-4900 is currently not for sale. The sq. ft. single-family home is a 0 bed, 0.0 bath property. This home was built in and last sold on …","zillow"
"1541","109 KENSINGTON AVE, PARK RIVER, ND, 58270","""109"" KENSINGTON AVE, PARK RIVER, ND, 58270","0","0.0",NA,"Zillowhttps://www.zillow.com/homedetails/109-Kensington...109 Kensington Ave, Park River, ND 58270 | ZillowWeb109 Kensington Ave , Park River, ND 58270-4900 is currently not for sale. The sq. ft. single-family home is a 0 bed, 0.0 bath property. This home was built in and last sold on …","zillow"
"1542","111 KENSINGTON AVE, PARK RIVER, ND, 58270","""111"" KENSINGTON AVE, PARK RIVER, ND, 58270","0","0.0",NA,"Zillowhttps://www.zillow.com/homedetails/111-Kensington...111 Kensington Ave, Park River, ND 58270 | ZillowWeb111 Kensington Ave , Park River, ND 58270-4900 is currently not for sale. The sq. ft. single-family home is a 0 bed, 0.0 bath property. This home was built in and last sold on …","zillow"
"1543","117 KENSINGTON AVE, PARK RIVER, ND, 58270","""117"" KENSINGTON AVE, PARK RIVER, ND, 58270","0","0.0",NA,"Zillowhttps://www.zillow.com/homedetails/117-Kensington...117 Kensington Ave, Park River, ND 58270 | ZillowWeb117 Kensington Ave , Park River, ND 58270-4900 is currently not for sale. The sq. ft. single-family home is a 0 bed, 0.0 bath property. This home was built in and last sold on …Location: 119 Kensington Ave, Park River, 58270, ND","zillow"
"1544","117 3RD ST, MINTO, ND, 58261","""117"" 3RD ST, MINTO, ND, 58261","3","1","1344","realtor.comhttps://www.realtor.com/realestateandhomes-detail/...117 SW 25th St, Minot, ND 58701 | realtor.com®Web117 SW 25th St, Minot, ND 58701 is for sale. View 27 photos of this 3 bed, 1 bath, 1344 sqft. single family home with a list price of $205000. Realtor.com® Real Estate App","realtor"
"1545","145 3RD ST, MINTO, ND, 58261","""145"" 3RD ST, MINTO, ND, 58261","0","0.0",NA,"Zillowhttps://www.zillow.com/homedetails/145-3rd-St...145 3rd St, Minto, ND 58261 | ZillowWeb145 3rd St , Minto, ND 58261-6165 is currently not for sale. The sq. ft. single-family home is a 0 bed, 0.0 bath property. This home was built in and last sold on for. View more property details, sales history and Zestimate data on Zillow.","zillow"
"1546","325 HODSON AVE, MINTO, ND, 58261","""325"" HODSON AVE, MINTO, ND, 58261",NA,NA,NA,"Zillowhttps://www.zillow.com/homedetails/325-Hodson-Ave...325 Hodson Ave, Minto, ND 58261 | ZillowWeb325 Hodson Ave, Minto, ND 58261 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null and last sold on 2017-09-26 for …","zillow"
"1547","148 4TH ST, MINTO, ND, 58261","""148"" 4TH ST, MINTO, ND, 58261","0","0.0",NA,"Zillowhttps://www.zillow.com › homedetails › 148-4th-St...148 4th St, Minto, ND 58261 | ZillowWeb148 4th St , Minto, ND 58261-6164 is currently not for sale. The sq. ft. single-family home is a 0 bed, 0.0 bath property. This home was built in and last sold on for. View more …","zillow"
"1548","134 4TH ST, MINTO, ND, 58261","""134"" 4TH ST, MINTO, ND, 58261",NA,NA,NA,"Zillowhttps://www.zillow.com/homedetails/134-4th-St...134 4th St, Minto, ND 58261 | ZillowWeb134 4th St, Minto, ND 58261 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null and last sold on -- for $--. View more …","zillow"
"1549","321 4TH ST, MINTO, ND, 58261","""321"" 4TH ST, MINTO, ND, 58261",NA,NA,NA,"Zillowhttps://www.zillow.com/homedetails/321-4th-St...321 4th St, Minto, ND 58261 | ZillowWeb321 4th St, Minto, ND 58261 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null and last sold on -- for $--. View more …","zillow"
"1550","446 MAJOR AVE, MINTO, ND, 58261","""446"" MAJOR AVE, MINTO, ND, 58261","0","0.0",NA,"Zillowhttps://www.zillow.com/homedetails/446-Major-Ave...446 Major Ave, Minto, ND 58261 | ZillowWeb446 Major Ave , Minto, ND 58261-6162 is currently not for sale. The sq. ft. single-family home is a 0 bed, 0.0 bath property. This home was built in and last sold on for. View …","zillow"
"1551","15944 COUNTY ROAD 15, MINTO, ND, 58261","""15944"" COUNTY ROAD 15, MINTO, ND, 58261","3","1.0","1600","Zillowhttps://www.zillow.com/homedetails/15944-County...15944 County Road 15, Minto, ND 58261 WebThis 1600 square foot single family home has 3 bedrooms and 1.0 bathrooms. This home is located at 15944 County Road 15, Minto, ND 58261.","zillow"
"1552","421 4TH ST, MINTO, ND, 58261","""421"" 4TH ST, MINTO, ND, 58261","0","0.0",NA,"Zillowhttps://www.zillow.com/homedetails/421-4th-St...421 4th St, Forest River, ND 58261 | ZillowWeb421 4th St , Forest River, ND 58261-6132 is currently not for sale. The sq. ft. single-family home is a 0 bed, 0.0 bath property. This home was built in and last sold on for. View …","zillow"
"1553","6080 153RD AVE NE, MINTO, ND, 58261","""6080"" 153RD AVE NE, MINTO, ND, 58261",NA,NA,NA,"Zillowhttps://www.zillow.com/homedetails/6080-153rd-Ave...6080 153rd Ave NE, Minto, ND 58261 | ZillowWeb6080 153rd Ave NE, Minto, ND 58261 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null and last sold on -- for $--. View …","zillow"
"1554","449 HARVEY AVE, MINTO, ND, 58261","""449"" HARVEY AVE, MINTO, ND, 58261",NA,NA,NA,"Zillowhttps://www.zillow.com/homedetails/449-Harvey-Ave...449 Harvey Ave, Minto, ND 58261 | ZillowWeb449 Harvey Ave, Minto, ND 58261 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null and last sold on -- for $--. View …","zillow"
"1555","354 WILSON AVE, MINTO, ND, 58261","""354"" WILSON AVE, MINTO, ND, 58261","0","0.0",NA,"Zillowhttps://www.zillow.com/homedetails/354-Wilson-Ave...354 Wilson Ave, Minto, ND 58261 | ZillowWeb354 Wilson Ave , Minto, ND 58261 is currently not for sale. The sq. ft. single-family home is a 0 bed, 0.0 bath property. This home was built in and last sold on for. View more …","zillow"
"1556","15363 COUNTY ROAD 15, MINTO, ND, 58261","""15363"" COUNTY ROAD 15, MINTO, ND, 58261","0","0.0",NA,"Zillowhttps://www.zillow.com/homedetails/15363-County...15363 County Road 15, Minto, ND 58261 Web15363 County Road 15 , Minto, ND 58261-9482 is currently not for sale. The sq. ft. single-family home is a 0 bed, 0.0 bath property. This home was built in and last sold on for. …","zillow"
"1557","118 WILSON AVE, MINTO, ND, 58261","""118"" WILSON AVE, MINTO, ND, 58261",NA,NA,NA,"Zillowhttps://www.zillow.com/homedetails/118-Wil…118 Wilson Ave, Minto, ND 58261 | ZillowWebStorage! Plenty of room to park your camper and toys! Nice private lot located on outskirts of town yet walking distance to downtown to access Minto Community Center, post office, bar, bank and gas station. Minto …","zillow"
"1558","115 VIVIAN ST W, PARK RIVER, ND, 58270","""115"" VIVIAN ST W, PARK RIVER, ND, 58270",NA,NA,NA,"Zillowhttps://www.zillow.com/homedetails/115-Vivian-St-W...115 Vivian St W, Park River, ND 58270 | ZillowWeb115 Vivian St W, Park River, ND 58270 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null and last sold on -- for $- …","zillow"
"1559","27 1ST AVE SE, MAYVILLE, ND, 58257","""27"" 1ST AVE SE, MAYVILLE, ND, 58257",NA,NA,"186872","Zillowhttps://www.zillow.com/homedetails/27-Mayville-ND...27, Mayville, ND 58257 Web27, Mayville, ND 58257 is currently not for sale. The vacant lot last sold on 2021-05-08 for $--, with a recorded lot size of 4.29 acres (186872 sq. ft.). View more property details, sales history, and Zestimate data on Zillow.","zillow"
"1560","45 MAIN ST E, MAYVILLE, ND, 58257","""45"" MAIN ST E, MAYVILLE, ND, 58257","0","0.0",NA,"Zillowhttps://www.zillow.com/homedetails/45-5th-Ave-SE...45 5th Ave SE, Mayville, ND 58257 | ZillowWeb45 5th Ave SE , Mayville, ND 58257-1429 is currently not for sale. The sq. ft. single-family home is a 0 bed, 0.0 bath property. This home was built in and last sold on for. View …","zillow"
"1561","37 MAIN ST E, MAYVILLE, ND, 58257","""37"" MAIN ST E, MAYVILLE, ND, 58257",NA,NA,NA,NA,NA
"1562","27 MAIN ST E, MAYVILLE, ND, 58257","""27"" MAIN ST E, MAYVILLE, ND, 58257",NA,NA,NA,"Zillowhttps://www.zillow.com/homedetails/27-Main-St-E...27 Main St E, Mayville, ND 58257 | ZillowWebOverview. Note: This property is not currently for sale or for rent on Zillow. The description and property data below may’ve been provided by a third party, the homeowner or public records. This home is located at 27 Main …","zillow"
"1563","21 MAIN ST E, MAYVILLE, ND, 58257","""21"" MAIN ST E, MAYVILLE, ND, 58257",NA,NA,NA,"Zillowhttps://www.zillow.com/homedetails/21-3rd-Ave-SE...21 3rd Ave SE, Mayville, ND 58257 | ZillowWeb21 3rd Ave SE, Mayville, ND 58257 | MLS #21-1003 | Zillow By Agent By Owner New Construction Coming Soon Coming Soon listings are homes that will soon be on the …","zillow"
"1564","19 MAIN ST E, MAYVILLE, ND, 58257","""19"" MAIN ST E, MAYVILLE, ND, 58257","0","0.0",NA,"Zillowhttps://www.zillow.com/homedetails/19-5th-A…19 5th Ave NE, Mayville, ND 58257 | ZillowWeb19 5th Ave NE , Mayville, ND 58257-1231 is currently not for sale. The sq. ft. single-family home is a 0 bed, 0.0 bath property. This home was built in and last sold on for. View more property details, sales history and …","zillow"
"1565","229 MAJOR AVE, MINTO, ND, 58261","""229"" MAJOR AVE, MINTO, ND, 58261","0","0.0",NA,"Zillowhttps://www.zillow.com/homedetails/229-Major-Ave...229 Major Ave, Minto, ND 58261 | ZillowWeb229 Major Ave , Minto, ND 58261-6045 is currently not for sale. The sq. ft. single-family home is a 0 bed, 0.0 bath property. This home was built in and last sold on for. View more property details, sales history and Zestimate data on Zillow.","zillow"
"1566","224 2ND ST, MINTO, ND, 58261","""224"" 2ND ST, MINTO, ND, 58261","0","0.0",NA,"Zillowhttps://www.zillow.com › homedetails › 224-2nd-St...224 2nd St, Minto, ND 58261 | ZillowWeb224 2nd St , Minto, ND 58261-6024 is currently not for sale. The sq. ft. single-family home is a 0 bed, 0.0 bath property. This home was built in and last sold on for. View more …","zillow"
"1567","156 CENTER AVE N, MAYVILLE, ND, 58257","""156"" CENTER AVE N, MAYVILLE, ND, 58257",NA,NA,NA,NA,NA
"1568","148 CENTER AVE N, MAYVILLE, ND, 58257","""148"" CENTER AVE N, MAYVILLE, ND, 58257",NA,NA,NA,"Zillowhttps://www.zillow.com/homedetails/148-W-Brunsdale...148 W Brunsdale Dr, Mayville, ND 58257 | ZillowWebThe home settles in a cul-de-sac and has great curb appeal. Features include Maple hardwood flooring, upgraded appliances, 2-ovens, corian counters in kitchen, rich cherry wood cabinetry, main floor laundry …","zillow"
"1569","140 CENTER AVE S, MAYVILLE, ND, 58257","""140"" CENTER AVE S, MAYVILLE, ND, 58257",NA,NA,NA,"realtor.comhttps://www.realtor.com › ...140 Center Ave S, Mayville, ND 58257 | realtor.com®WebView detailed information about property 140 Center Ave S, Mayville, ND 58257 including listing details, property photos, school and neighborhood data, and much more.","realtor"
"1570","20 1ST ST NE, MAYVILLE, ND, 58257","""20"" 1ST ST NE, MAYVILLE, ND, 58257",NA,NA,NA,NA,NA
"1571","42 2ND ST NE, MAYVILLE, ND, 58257","""42"" 2ND ST NE, MAYVILLE, ND, 58257",NA,NA,NA,"Zillowhttps://www.zillow.com/homedetails/42-Westwood-Dr...42 Westwood Dr, Mayville, ND 58257 | ZillowWeb1 -- bd -- ba -- sqft 42 Westwood Dr, Mayville, ND 58257 Off market Zestimate ® : None 2021 assessed: $4,650 Est. refi payment: $26/moLocation: 42 Westwood Dr, Mayville, 58257, ND","zillow"
"1572","20 2ND ST NW, MAYVILLE, ND, 58257","""20"" 2ND ST NW, MAYVILLE, ND, 58257",NA,NA,NA,"realtor.comhttps://www.realtor.com/realestateandhomes-detail/...20 2nd St NW, Mayville, ND 58257 | realtor.com®WebView detailed information about property 20 2nd St NW, Mayville, ND 58257 including listing details, property photos, school and neighborhood data, and much more.","realtor"
"1573","39 MAIN ST W, MAYVILLE, ND, 58257","""39"" MAIN ST W, MAYVILLE, ND, 58257",NA,NA,NA,NA,NA
"1574","34 1ST AVE SW, MAYVILLE, ND, 58257","""34"" 1ST AVE SW, MAYVILLE, ND, 58257",NA,NA,NA,"Related searches for ""34"" 1ST AVE SW, MAYVILLE, ND, 58257mayville nd 58257zillow mayville nd 58257More related searchesRelated searches for ""34"" 1ST AVE SW, MAYVILLE, ND, 58257mayville nd 58257zillow mayville nd 58257","zillow"
"1575","21 1ST ST SW, MAYVILLE, ND, 58257","""21"" 1ST ST SW, MAYVILLE, ND, 58257",NA,NA,NA,NA,NA
"1576","229 HARVEY AVE, MINTO, ND, 58261","""229"" HARVEY AVE, MINTO, ND, 58261","0","0.0",NA,"Zillowhttps://www.zillow.com/homedetails/229-Harvey-Ave...229 Harvey Ave, Minto, ND 58261 | ZillowWeb229 Harvey Ave , Minto, ND 58261 is currently not for sale. The sq. ft. single-family home is a 0 bed, 0.0 bath property. This home was built in and last sold on for. View more …","zillow"
"1577","333 WILSON AVE, MINTO, ND, 58261","""333"" WILSON AVE, MINTO, ND, 58261","0","0.0",NA,"Zillowhttps://www.zillow.com/homedetails/333-Wilson-Ave...333 Wilson Ave, Minto, ND 58261 | ZillowWeb333 Wilson Ave , Minto, ND 58261 is currently not for sale. The sq. ft. single-family home is a 0 bed, 0.0 bath property. This home was built in and last sold on for. View more …","zillow"
"1578","333 WILSON AVE, MINTO, ND, 58261","""333"" WILSON AVE, MINTO, ND, 58261","0","0.0",NA,"Zillowhttps://www.zillow.com/homedetails/333-Wilson-Ave...333 Wilson Ave, Minto, ND 58261 | ZillowWeb333 Wilson Ave , Minto, ND 58261 is currently not for sale. The sq. ft. single-family home is a 0 bed, 0.0 bath property. This home was built in and last sold on for. View more …","zillow"
"1579","321 WILSON AVE, MINTO, ND, 58261","""321"" WILSON AVE, MINTO, ND, 58261","0","0.0",NA,"Zillowhttps://www.zillow.com/homedetails/321-Wilson-Ave...321 Wilson Ave, Minto, ND 58261 | ZillowWeb321 Wilson Ave , Minto, ND 58261-6169 is currently not for sale. The sq. ft. single-family home is a 0 bed, 0.0 bath property. This home was built in and last sold on for. View …","zillow"
"1580","112 1ST AVE NW, MAYVILLE, ND, 58257","""112"" 1ST AVE NW, MAYVILLE, ND, 58257","4","2.3","1232","Zillowhttps://www.zillow.com/homedetails/112-1st-Ave-NW...112 1st Ave NW, Surrey, ND 58785 | ZillowWebThis is a 1232 square foot, 4 bedroom, 2.3 bathroom home. This home is located at 112 1st Ave NW, Surrey, ND 58785.","zillow"
"1581","14 MAIN ST W, MAYVILLE, ND, 58257","""14"" MAIN ST W, MAYVILLE, ND, 58257",NA,NA,NA,"realtor.comhttps://www.realtor.com/realestateandhomes-detail/...14 Main St W, Mayville, ND 58257 | realtor.com®WebView detailed information about property 14 Main St W, Mayville, ND 58257 including listing details, property photos, school and neighborhood data, and much more.","realtor"
"1582","20 MAIN ST W, MAYVILLE, ND, 58257","""20"" MAIN ST W, MAYVILLE, ND, 58257",NA,NA,NA,NA,NA
"1583","32 MAIN ST W, MAYVILLE, ND, 58257","""32"" MAIN ST W, MAYVILLE, ND, 58257",NA,NA,NA,"Related searches for ""32"" MAIN ST W, MAYVILLE, ND, 58257mayville nd 58257zillow mayville nd 58257More related searchesRelated searches for ""32"" MAIN ST W, MAYVILLE, ND, 58257mayville nd 58257zillow mayville nd 58257","zillow"
"1584","36 MAIN ST W, MAYVILLE, ND, 58257","""36"" MAIN ST W, MAYVILLE, ND, 58257",NA,NA,NA,NA,NA
"1585","40 MAIN ST W, MAYVILLE, ND, 58257","""40"" MAIN ST W, MAYVILLE, ND, 58257","0","0.0",NA,"Zillowhttps://www.zillow.com/homedetails/40-Main-St-E...40 Main St E, Mayville, ND 58257 | ZillowWeb40 Main St E , Mayville, ND 58257-1436 is currently not for sale. The sq. ft. single-family home is a 0 bed, 0.0 bath property. This home was built in and last sold on for. View …","zillow"
"1586","21 MAIN ST W, MAYVILLE, ND, 58257","""21"" MAIN ST W, MAYVILLE, ND, 58257",NA,NA,NA,"Zillowhttps://www.zillow.com/homedetails/21-Westwood-Dr...21 Westwood Dr, Mayville, ND 58257 WebAccepting Backup Offers Pending & Under Contract Sellers of these homes have accepted a buyer's offer; however, the home has not closed. Done Price Price Range $0+ …","zillow"
"1587","21 1/2 MAIN ST W, MAYVILLE, ND, 58257","""21"" 1/2 MAIN ST W, MAYVILLE, ND, 58257",NA,NA,NA,"Zillowhttps://www.zillow.com/b/21-5th-ave-se-mayville-nd-5j8Q7921 5th Ave SE Mayville, ND, 58257 - Apartments for RentWebBedsAny1+2+3+4+5+ Use exact match Bathrooms Any1+1.5+2+3+4+ Home Type Checkmark Select All Houses Townhomes Multi-family Condos/Co-ops Lots/Land …","zillow"
"1588","29 MAIN ST W, MAYVILLE, ND, 58257","""29"" MAIN ST W, MAYVILLE, ND, 58257","0","0.0",NA,"Zillowhttps://www.zillow.com/homedetails/29-Westwood-Dr...29 Westwood Dr, Mayville, ND 58257 | ZillowWeb29 Westwood Dr , Mayville, ND 58257-1002 is currently not for sale. The sq. ft. single-family home is a 0 bed, 0.0 bath property. This home was built in and last sold on for. View …","zillow"
"1589","35 MAIN ST W, MAYVILLE, ND, 58257","""35"" MAIN ST W, MAYVILLE, ND, 58257","0","0.0",NA,"Zillowhttps://www.zillow.com/homedetails/35-1-2-Main-St...35 1/2 Main St W, Mayville, ND 58257 | ZillowWeb35 1/2 Main St W , Mayville, ND 58257-1313 is currently not for sale. The sq. ft. single-family home is a 0 bed, 0.0 bath property. This home was built in and last sold on for. …","zillow"
"1590","39 MAIN ST W, MAYVILLE, ND, 58257","""39"" MAIN ST W, MAYVILLE, ND, 58257",NA,NA,NA,"Zillowhttps://www.zillow.com/homedetails/39-Westwood-Dr...39 Westwood Dr, Mayville, ND 58257 | ZillowWeb39 Westwood Dr, Mayville, ND 58257 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null and last sold on 2008-10-02 for …","zillow"
"1591","39 MAIN ST W, MAYVILLE, ND, 58257","""39"" MAIN ST W, MAYVILLE, ND, 58257",NA,NA,NA,"Related searches for ""39"" MAIN ST W, MAYVILLE, ND, 58257mayville nd 58257zillow mayville nd 58257More related searchesRelated searches for ""39"" MAIN ST W, MAYVILLE, ND, 58257mayville nd 58257zillow mayville nd 58257","zillow"
"1592","39 MAIN ST W, MAYVILLE, ND, 58257","""39"" MAIN ST W, MAYVILLE, ND, 58257",NA,NA,NA,"Related searches for ""39"" MAIN ST W, MAYVILLE, ND, 58257mayville nd 58257zillow mayville nd 58257More related searchesRelated searches for ""39"" MAIN ST W, MAYVILLE, ND, 58257mayville nd 58257zillow mayville nd 58257","zillow"
"1593","15 MAIN ST E, MAYVILLE, ND, 58257","""15"" MAIN ST E, MAYVILLE, ND, 58257",NA,NA,NA,"realtor.comhttps://www.realtor.com/realestateandhomes-detail/...15 Main St E, Mayville, ND 58257 | realtor.com®WebView detailed information about property 15 Main St E, Mayville, ND 58257 including listing details, property photos, school and neighborhood data, and much more.","realtor"
"1594","34 CENTER AVE S, MAYVILLE, ND, 58257","""34"" CENTER AVE S, MAYVILLE, ND, 58257",NA,NA,NA,NA,NA
"1595","46 MAIN ST E, MAYVILLE, ND, 58257","""46"" MAIN ST E, MAYVILLE, ND, 58257",NA,NA,NA,"Related searches for ""46"" MAIN ST E, MAYVILLE, ND, 58257mayville nd 58257zillow mayville nd 58257More related searchesRelated searches for ""46"" MAIN ST E, MAYVILLE, ND, 58257mayville nd 58257zillow mayville nd 58257","zillow"
"1596","27 1ST AVE NE, MAYVILLE, ND, 58257","""27"" 1ST AVE NE, MAYVILLE, ND, 58257",NA,NA,NA,"realtor.comhttps://www.realtor.com/realestateandhomes-detail/...27 1st Ave NE, Mayville, ND 58257 | realtor.com®WebView detailed information about property 27 1st Ave NE, Mayville, ND 58257 including listing details, property photos, school and neighborhood data, and much more.","realtor"
"1597","37 1ST AVE NE, MAYVILLE, ND, 58257","""37"" 1ST AVE NE, MAYVILLE, ND, 58257",NA,NA,NA,"Zillowhttps://www.zillow.com › homedetails › 37-1st-Ave-SE...37 1st Ave SE, Mayville, ND 58257 | ZillowWebNew construction Foreclosures These properties are currently listed for sale. They are owned by a bank or a lender who took ownership through foreclosure proceedings. …","zillow"
"1598","39 1ST AVE NE, MAYVILLE, ND, 58257","""39"" 1ST AVE NE, MAYVILLE, ND, 58257",NA,NA,NA,NA,NA
"1599","21 1ST AVE NE, MAYVILLE, ND, 58257","""21"" 1ST AVE NE, MAYVILLE, ND, 58257",NA,NA,NA,"Related searches for ""21"" 1ST AVE NE, MAYVILLE, ND, 58257mayville nd 58257zillow mayville nd 58257More related searchesRelated searches for ""21"" 1ST AVE NE, MAYVILLE, ND, 58257mayville nd 58257zillow mayville nd 58257","zillow"
"1600","44 MAIN ST W, MAYVILLE, ND, 58257","""44"" MAIN ST W, MAYVILLE, ND, 58257",NA,NA,NA,NA,NA
"1601","37 CENTER AVE N, MAYVILLE, ND, 58257","""37"" CENTER AVE N, MAYVILLE, ND, 58257",NA,NA,NA,"Zillowhttps://www.zillow.com/homedetails/37-Center-Ave-N...37 Center Ave N, Mayville, ND 58257 | ZillowWeb37 Center Ave N, Mayville, ND 58257 is currently not for sale. The -- sqft home type unknown home is a -- beds, -- baths property. This home was built in null and last sold …","zillow"
"1602","48 1ST AVE NW, MAYVILLE, ND, 58257","""48"" 1ST AVE NW, MAYVILLE, ND, 58257",NA,NA,NA,"Zillowhttps://www.zillow.com/homedetails/48-2nd-Ave-NE...48 2nd Ave NE APT 4, Mayville, ND 58257 | ZillowWebThis is a apartment home. This home is located at 48 2nd Ave NE APT 4, Mayville, ND 58257.","zillow"
"1603","38 1ST AVE NW, MAYVILLE, ND, 58257","""38"" 1ST AVE NW, MAYVILLE, ND, 58257",NA,NA,NA,NA,NA
"1604","42 CENTER AVE N, MAYVILLE, ND, 58257","""42"" CENTER AVE N, MAYVILLE, ND, 58257",NA,NA,NA,"Zillowhttps://www.zillow.com/homedetails/42-Westwood-Dr...42 Westwood Dr, Mayville, ND 58257 | ZillowWeb42 Westwood Dr, Mayville, ND 58257 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null and last sold on 2013-10-23 for …","zillow"
"1605","30 MAIN ST E, MAYVILLE, ND, 58257","""30"" MAIN ST E, MAYVILLE, ND, 58257",NA,NA,NA,NA,NA
"1606","24 MAIN ST E, MAYVILLE, ND, 58257","""24"" MAIN ST E, MAYVILLE, ND, 58257",NA,NA,NA,NA,NA
"1607","18 MAIN ST E, MAYVILLE, ND, 58257","""18"" MAIN ST E, MAYVILLE, ND, 58257","0","0.0",NA,"Zillowhttps://www.zillow.com/homedetails/18-Main-St-E...18 Main St E, Mayville, ND 58257 | ZillowWeb18 Main St E , Mayville, ND 58257-1436 is currently not for sale. The sq. ft. single-family home is a 0 bed, 0.0 bath property. This home was built in and last sold on for. View …","zillow"
"1608","40 1ST ST NE, MAYVILLE, ND, 58257","""40"" 1ST ST NE, MAYVILLE, ND, 58257",NA,NA,NA,"Zillowhttps://www.zillow.com/homedetails/40-Center-Ave-N...40 Center Ave N, Mayville, ND 58257 | ZillowWeb40 Center Ave N, Mayville, ND 58257 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null and last sold on -- for $--. View …Location: 218 3rd Ave NE, Mayville, 58257, ND","zillow"
"1609","40 1ST ST NE, MAYVILLE, ND, 58257","""40"" 1ST ST NE, MAYVILLE, ND, 58257",NA,NA,NA,"Zillowhttps://www.zillow.com/homedetails/40-Center-Ave-N...40 Center Ave N, Mayville, ND 58257 | ZillowWeb40 Center Ave N, Mayville, ND 58257 is currently not for sale. The -- sqft single family home is a -- beds, -- baths property. This home was built in null and last sold on -- for $--. View …","zillow"
"1610","145 BROUGHTON AVE, MINTO, ND, 58261","""145"" BROUGHTON AVE, MINTO, ND, 58261","0","0.0",NA,"Zillowhttps://www.zillow.com/homedetails/145-Broughton...145 Broughton Ave, Minto, ND 58261 | ZillowWeb145 Broughton Ave , Minto, ND 58261-6168 is currently not for sale. The sq. ft. single-family home is a 0 bed, 0.0 bath property. This home was built in and last sold on for. …","zillow"
"1611","429 4TH ST, MINTO, ND, 58261","""429"" 4TH ST, MINTO, ND, 58261","0","0.0",NA,"Zillowhttps://www.zillow.com/homedetails/429-4th-St...429 4th St, Minto, ND 58261 | ZillowWeb429 4th St , Minto, ND 58261-6132 is currently not for sale. The sq. ft. single-family home is a 0 bed, 0.0 bath property. This home was built in and last sold on for. View more …","zillow"
"1612","145 CENTER AVE N, MAYVILLE, ND, 58257","""145"" CENTER AVE N, MAYVILLE, ND, 58257","2","1.0",NA,"Zillowhttps://www.zillow.com › homedetails › 145-Center-Ave...145 Center Ave N, Mayville, ND 58257 | ZillowWeb145 Center Ave N , Mayville, ND 58257-1153 is currently not for sale. The sq. ft. single-family home is a 2 bed, 1.0 bath property. This home was built in and last sold on for. …","zillow"
"1613","15 2ND ST NW, MAYVILLE, ND, 58257","""15"" 2ND ST NW, MAYVILLE, ND, 58257",NA,NA,NA,"realtor.comhttps://www.realtor.com/realestateandhomes-detail/...15 2nd St NW, Mayville, ND 58257 | realtor.com®WebView detailed information about property 15 2nd St NW, Mayville, ND 58257 including listing details, property photos, school and neighborhood data, and much more.Location: 15 2nd St NW, Mayville, 58257","realtor"
"1614","132 1ST AVE NW, MAYVILLE, ND, 58257","""132"" 1ST AVE NW, MAYVILLE, ND, 58257","3","2",NA,"Zillowhttps://www.zillow.com/homedetails/132-3rd-Ave-NE...132 3rd Ave NE, Mayville, ND 58257 | MLS #23-3215 WebSpacious eat-in kitchen Covered front porch Updated kitchen Storage galore Custom storage Built-in desk Stained glass windows. Spectacular 3 bed, 2 bath home is ready for you! Located in a the heart of Mayville, …","zillow"
"1615","130 1ST AVE NW, MAYVILLE, ND, 58257","""130"" 1ST AVE NW, MAYVILLE, ND, 58257","4","4","4,942","Zillowhttps://www.zillow.com/homedetails/130-W-Brunsdale...130 W Brunsdale Dr, Mayville, ND 58257 | ZillowWeb130 W Brunsdale Dr, Mayville, ND 58257 is currently not for sale. The 4,942 Square Feet single family home is a 4 beds, 4 baths property. This home was built in 2003 and last …","zillow"
"1616","124 1ST AVE NW, MAYVILLE, ND, 58257","""124"" 1ST AVE NW, MAYVILLE, ND, 58257",NA,NA,NA,"Zillowhttps://www.zillow.com/homedetails/124-1st-St-NW...124 1st St NW, Mayville, ND 58257 | ZillowWeb124 1st St NW, Mayville, ND 58257 is currently not for sale. The -- sqft home type unknown home is a -- beds, -- baths property. This home was built in null and last sold on -- for $--. …","zillow"
"1617","116 1ST AVE NW, MAYVILLE, ND, 58257","""116"" 1ST AVE NW, MAYVILLE, ND, 58257","0","0.0","2880","Zillowhttps://www.zillow.com/homedetails/116-1st-Ave-NW...116 1st Ave NW, Mayville, ND 58257 | ZillowWebThis 2880 square foot single family home has 0 bedrooms and 0.0 bathrooms. This home is located at 116 1st Ave NW, Mayville, ND 58257.","zillow"
