,clean NDC company,original NDC company,NDC row,corporate family,clean DNA row,clean DNA company,original DNA company,fuzz ratio
344,honest,"The Honest Company, The Honest Company, Inc.","6241, 6242",honest,[26908],['honest'],['The Honest Company Inc'],[100]
345,hopkins,Hopkins Medical,3045,hopkins,[26934],['hopkins'],['Hopkins Capital Group LLC'],[100]
346,horizon,"Horizon Pharma Inc., Horizon Pharma, Inc.","3047, 3048",horizon,"[26202, 27218]","['horizon', 'horizon']","['Horizon Health Services Inc.', 'Horizon Holdings, LLC']","[100, 100]"
347,horizon therapeutics,"Horizon Therapeutics USA, Inc., Horizon Therapeutics, Inc.","3049, 3050",horizon therapeutics,[40384],['horizon therapeutics'],['Horizon Therapeutics PLC'],[100]
348,hospira,"Hospira, Inc, Hospira, Inc.","3052, 3053",hospira,"[26971, 27282]","['hospira', 'hospira']","['Hospira Inc', 'Hospira SpA']","[100, 100]"
349,hub,"HUB Pharmaceuticals LLC, HUB Pharmaceuticals, Inc.","3063, 3064",hub,"[25634, 27424]","['hub', 'hub']","['Hub Group Inc', 'Hub International Ltd']","[100, 100]"
350,hudson,Hudson Health LLC,3071,hudson,"[25807, 25810, 27435]","['hudson', 'hudson', 'hudson']","['Hudson Energy Services LLC', 'Hudson Technologies Inc', 'Hudson Ltd']","[100, 100, 100]"
351,human genome sciences,"Human Genome Sciences, Inc.",3077,human genome sciences,[27481],['human genome sciences'],['Human Genome Sciences Inc'],[100]
352,humco holding,"Humco Holding Group, Inc, Humco Holding Group, Inc., Humco Holding Group. Inc.","3087, 3088, 3089",humco holding,[27482],['humco holding'],['Humco Holding Group Inc.'],[100]
353,hydrox,Hydrox Laboratories,3107,hydrox,[27651],['hydrox'],['Hydrox Holdings Pty Ltd'],[100]
354,icon,"Icon Health Services, Llc",3128,icon,"[27976, 27983, 27984]","['icon', 'icon', 'icon']","['Icon Holdings Corp', 'Icon PLC', 'ICON Group International Inc']","[100, 100, 100]"
355,icu,ICU Medical Inc.,3130,icu,[27950],['icu'],['ICU Medical Inc'],[100]
356,imclone,ImClone LLC,3141,imclone,[28560],['imclone'],['Imclone Systems Inc'],[100]
357,imine,"Imine Co., Ltd, Imine Co., Ltd.","3143, 3144",imine,[42256],['imine'],['iMine Corp.'],[100]
358,immunex,Immunex Corporation,3145,immunex,[28640],['immunex'],['Immunex Corporation'],[100]
359,in,"In Home Medical, Inc.",3151,in,[46277],['in'],['Partners in Health'],[100]
360,incyte,Incyte Corporation,3157,incyte,[28790],['incyte'],['Incyte Corp'],[100]
361,independence,"Independence Pharmaceuticals, LLC",3158,independence,"[18423, 28876, 42265, 55856]","['independence', 'independence', 'independence', 'independence']","['Independence Bank', 'Independence Group NL', 'Independence Energy Corp.', 'American Independence Corporation']","[100, 100, 100, 100]"
362,indiana botanic gardens,Indiana Botanic Gardens,3160,indiana botanic gardens,[28814],['indiana botanic gardens'],['Indiana Botanic Gardens Inc'],[100]
363,indivior,Indivior Inc.,3163,indivior,[28155],['indivior'],['Indivior PLC'],[100]
364,indoco remedies,Indoco Remedies Limited,3165,indoco remedies,[29268],['indoco remedies'],['Indoco Remedies Ltd'],[100]
365,infinity,Infinity Medical Supply Inc,3174,infinity,[17988],['infinity'],['Infinity Medical Group Inc'],[100]
366,ingles markets,"Ingles Markets, Inc, Ingles Markets, Inc.","3182, 3183",ingles markets,[29033],['ingles markets'],['Ingles Markets Inc'],[100]
367,innovations,323 Innovations,15,innovations,[1920],['innovations'],['American Innovations Ltd.'],[100]
368,insight,"Insight Pharmaceuticals, Insight Pharmaceuticals LLC","3212, 3213",insight,"[17593, 29316]","['insight', 'insight']","['Insight Inc.', 'InSight Health Services Holdings Corp']","[100, 100]"
369,insmed,Insmed Incorporated,3214,insmed,[12747],['insmed'],['Insmed Inc.'],[100]
370,insys therapeutics,"Insys Therapeutics, Inc.",3220,insys therapeutics,[40990],['insys therapeutics'],['Insys Therapeutics Inc.'],[100]
371,integrated,Integrated Home Care Services,3222,integrated,"[11667, 29407, 29434, 51144]","['integrated', 'integrated', 'integrated', 'integrated']","['Integrated Health Technologies Inc.', 'Integrated Health Services Inc', 'Integrated Medical Systems Inc', 'Integrated Medical Systems International Inc.']","[100, 100, 100, 100]"
372,intellipharmaceutics,IntelliPharmaCeutics Corp.,3226,intellipharmaceutics,[60966],['intellipharmaceutics'],['IntelliPharmaCeutics International Inc.'],[100]
373,intercon chemical,"INTERCON CHEMICAL CO, Intercon Chemical Co., Intercon Chemical Company","3230, 3231, 3232",intercon chemical,[27904],['intercon chemical'],['Intercon Chemical Company'],[100]
374,interline brands,"Interline Brands, Inc.",3235,interline brands,[61892],['interline brands'],['Interline Brands Inc'],[100]
375,intermed,Intermed,3236,intermed,[28350],['intermed'],['Intermed Holdings Ltd.'],[100]
376,intermune,"InterMune, Inc.",3237,intermune,[29453],['intermune'],['InterMune Inc.'],[100]
377,intersect ent,"Intersect ENT, Inc.",3257,intersect ent,[52846],['intersect ent'],['Intersect ENT Inc.'],[100]
378,ipsen biopharmaceuticals,"Ipsen Biopharmaceuticals, Inc.",3269,ipsen biopharmaceuticals,[57270],['ipsen biopharmaceuticals'],['Ipsen Biopharmaceuticals Inc'],[100]
379,ironshore,"Ironshore Pharmaceuticals, Inc.",3276,ironshore,[29834],['ironshore'],['Ironshore Inc.'],[100]
380,ironwood,"Ironwood Pharmaceuticals, Inc.",3277,ironwood,[29835],['ironwood'],['Ironwood Capital Ltd.'],[100]
381,isagenix,"Isagenix International, LLC",3279,isagenix,[29881],['isagenix'],['Isagenix International LLC'],[100]
382,isdin,"ISDIN Corp, ISDIN Corp.","3280, 3281",isdin,[29918],['isdin'],"['Isdin, S.A.']",[100]
383,isotopes,International Isotopes Inc,3247,isotopes,[29415],['isotopes'],['International Isotopes Inc'],[100]
384,italfarmaco,Italfarmaco S.p.A,3293,italfarmaco,[30173],['italfarmaco'],['Italfarmaco SpA'],[100]
385,itonis,"Itonis Inc., Itonis, Inc.","3296, 3297",itonis,[30236],['itonis'],['iTonis Inc'],[100]
386,jafra cosmetics,"Jafra Cosmetics, JAFRA COSMETICS INTERNATIONAL, Jafra Cosmetics International Inc, Jafra International Cosmetics","3331, 3333, 3334, 3335",jafra cosmetics,[30443],['jafra cosmetics'],['Jafra Cosmetics International Inc'],[100]
387,jakks pacific,"Jakks Pacific, Inc",3341,jakks pacific,[30471],['jakks pacific'],['Jakks Pacific Inc'],[100]
388,janssen,"Janssen Pharmaceutical, Inc., Janssen Pharmaceuticals Inc., Janssen Pharmaceuticals, Inc, Janssen Pharmaceuticals, Inc., Janssen Products LP, Janssen Products, LP","3349, 3350, 3351, 3352, 3353, 3354",janssen,[30971],['janssen'],['Janssen Inc'],[100]
389,janssen biotech,"Janssen Biotech, Inc.",3348,janssen biotech,[13379],['janssen biotech'],['Janssen Biotech Inc'],[100]
390,jbc,JBC CORP,3363,jbc,[30567],['jbc'],['JBC Energy GmbH'],[100]
391,jernigan,"Jernigan Healthcare, Inc.",3374,jernigan,[30707],['jernigan'],['Jernigan Capital Inc.'],[100]
392,jiangsu hengrui medicine,"Jiangsu Hengrui Medicine Co. Ltd., Jiangsu Hengrui Medicine Co., Ltd.","3388, 3389",jiangsu hengrui medicine,[25985],['jiangsu hengrui medicine'],['Jiangsu Hengrui Medicine Co Ltd'],[100]
393,johns hopkins,The Johns Hopkins University,6245,johns hopkins,[30778],['johns hopkins'],['Johns Hopkins International LLC'],[100]
394,journey,Journey Medical Corporation,3419,journey,[54913],['journey'],['Journey Energy Inc'],[100]
395,jubilant draximage,"Jubilant Draximage (USA) Inc., Jubilant DraxImage Inc, Jubilant DraxImage Inc.","3425, 3426, 3427",jubilant draximage,[45909],['jubilant draximage'],['Jubilant Draximage Inc'],[100]
396,jubilant hollisterstier,Jubilant HollisterStier LLC,3428,jubilant hollisterstier,[26872],['jubilant hollisterstier'],['Jubilant HollisterStier LLC'],[100]
397,jw,"JW Holdings, JW HOLDINGS CORPORATION","3432, 3433",jw,[11951],['jw'],['JW Holdings Corp'],[100]
398,kadmon,"Kadmon Pharmaceuticals, LLC",3442,kadmon,[31390],['kadmon'],['Kadmon Holdings Inc.'],[100]
399,kaiser foundation hospitals,KAISER FOUNDATION HOSPITALS,3443,kaiser foundation hospitals,[31411],['kaiser foundation hospitals'],['Kaiser Foundation Hospitals'],[100]
400,kaiser permanente,Kaiser Permanente,3445,kaiser permanente,[31415],['kaiser permanente'],['Kaiser Permanente'],[100]
401,kaleo,"kaleo, Inc, kaleo, Inc.","3447, 3448",kaleo,[1163],['kaleo'],['Kaleo Inc.'],[100]
402,kao,"Kao USA Inc, Kao USA Inc.","3455, 3456",kao,[31518],['kao'],['Kao Corp'],[100]
403,karl storz endoscopy-america,"KARL STORZ Endoscopy-America, Inc.",3461,karl storz endoscopy-america,[32657],['karl storz endoscopy-america'],['Karl Storz Endoscopy-America Inc'],[100]
404,karyopharm therapeutics,Karyopharm Therapeutics Inc.,3462,karyopharm therapeutics,[32638],['karyopharm therapeutics'],['Karyopharm Therapeutics Inc'],[100]
405,kay chemical,"Kay Chemical Co, Kay Chemical Co., Kay Chemical Company","3469, 3470, 3471",kay chemical,[32870],['kay chemical'],['Kay Chemical Company'],[100]
406,kedrion,Kedrion S.p.A,3479,kedrion,[31653],['kedrion'],['Kedrion SpA'],[100]
407,key,"Key 2 Health, Inc.",3495,key,"[31683, 32869]","['key', 'key']","['Key Energy Services, Inc.', 'Key Co']","[100, 100]"
408,keystone,Keystone Laboratories,3499,keystone,[6295],['keystone'],['Keystone Inc'],[100]
409,kimberly-clark,Kimberly-Clark,3503,kimberly-clark,[32167],['kimberly-clark'],['Kimberly-Clark Corporation'],[100]
410,king bio,"King Bio Inc, King Bio Inc.","3506, 3507",king bio,[31577],['king bio'],['King Bio Inc.'],[100]
411,kingston,KINGSTON PHARMA LLC,3511,kingston,[32258],['kingston'],['Kingston Systems Inc'],[100]
412,kinray,"Kinray, Kinray Inc, Kinray Inc., Kinray, Inc.","3513, 3514, 3515, 3516",kinray,[32302],['kinray'],['Kinray Inc.'],[100]
413,kiss my face,"Kiss My Face, Kiss My Face LLC, Kiss My Face, LLC","3519, 3520, 3521",kiss my face,[32184],['kiss my face'],['Kiss My Face Corp'],[100]
414,kmart,"Kmart, Kmart Corporation","3529, 3530",kmart,[32164],['kmart'],['Kmart Corporation'],[100]
415,knowlton development,Knowlton Development Corporation Inc,3535,knowlton development,[32331],['knowlton development'],['Knowlton Development Corp.'],[100]
416,kroger,"Kroger, Kroger Co, Kroger Co., Kroger Company, Kroger Inc, Kroger, CO.,, The Kroger Co, The Kroger Co., The Kroger Co.,, The Kroger Company","3556, 3557, 3558, 3559, 3560, 3561, 6246, 6247, 6248, 6249",kroger,[32598],['kroger'],['The Kroger Co'],[100]
417,kt,KT Health LLC,3563,kt,[32454],['kt'],['KT Corp'],[100]
418,kvk-tech,"KVK-TECH, INC, KVK-TECH, INC.","3572, 3573",kvk-tech,[32825],['kvk-tech'],['Kvk-Tech Inc.'],[100]
419,kythera biopharmaceuticals,Kythera Biopharmaceuticals Inc.,3580,kythera biopharmaceuticals,[41120],['kythera biopharmaceuticals'],['KYTHERA Biopharmaceuticals Inc.'],[100]
420,l perrigo,"L Perrigo Company, L. Perrigo Company","3582, 3583",l perrigo,[34429],['l perrigo'],['L Perrigo Company Inc'],[100]
421,la jolla,La Jolla Pharmaceutical Company,3593,la jolla,[3700],['la jolla'],['La Jolla Capital Inc'],[100]
422,lab,"3LAB, 3LAB, Inc, 3LAB, Inc.","17, 18, 19",lab,[34643],['lab'],['Lab21 Ltd'],[100]
423,laboratoire aguettant,Laboratoire Aguettant,3600,laboratoire aguettant,[32929],['laboratoire aguettant'],['Laboratoire Aguettant SAS'],[100]
424,laboratoires anios,Laboratoires Anios,3603,laboratoires anios,[32930],['laboratoires anios'],['Laboratoires Anios'],[100]
425,laboratorio reig jofre,"Laboratorio Reig Jofre, S.A",3616,laboratorio reig jofre,[39283],['laboratorio reig jofre'],['Laboratorio Reig Jofre S.A.'],[100]
426,landmark,"Landmark Healthcare, Inc., Landmark Supply Inc.","3647, 3648",landmark,[25789],['landmark'],['Landmark Partners'],[100]
427,lannett,"Lannett Company Inc., Lannett Company, Inc., Lannett Company, Inc..","3650, 3651, 3652",lannett,[33078],['lannett'],['Lannett Co Inc'],[100]
428,laurus labs,Laurus Labs Limited,3669,laurus labs,[4085],['laurus labs'],['Laurus Labs Ltd.'],[100]
429,leaders cosmetics,"LEADERS COSMETICS CO.,LTD.",3683,leaders cosmetics,[49972],['leaders cosmetics'],['Leaders Cosmetics Co. Ltd.'],[100]
430,lewin,"Lewin Services, Inc.",3709,lewin,[33570],['lewin'],['The Lewin Group Inc'],[100]
431,lexicon,"Lexicon Pharmaceuticals, Inc.",3710,lexicon,[34865],['lexicon'],['Lexicon Technologies Inc.'],[100]
432,liberty,"Liberty Health Supply, LLC, Liberty Pharmaceuticals, Inc.","3716, 3718",liberty,"[7520, 33769, 33776, 34140, 48280]","['liberty', 'liberty', 'liberty', 'liberty', 'liberty']","['Liberty Group Holdings, Inc.', 'The Liberty Corporation', 'Liberty Holdings Ltd', 'Liberty Medical, LLC', 'Liberty plc']","[100, 100, 100, 100, 100]"
433,life,"HEALTH LIFE, Life Supply Corp","2911, 3733",life,"[15674, 21941, 28292, 29543, 29562, 33964, 46445]","['life', 'life', 'life', 'life', 'life', 'life', 'life']","['Life Corporation Ltd.', 'Life Systems Inc', 'Life Partners Holdings Inc', 'Life Technologies Ltd', 'Life Technologies Corporation', 'Life Corp', 'Life Medical Corp']","[100, 100, 100, 100, 100, 100, 100]"
434,lifetech resources,"Lifetech Resources, LLC",3737,lifetech resources,[33819],['lifetech resources'],['Lifetech Resources LLC'],[100]
435,loreal,"L'Oreal USA Products Inc, L'Oreal USA Products Inc., L'Oreal USA Products, Inc., L'OREAL USA, INC.","3588, 3589, 3590, 3591",loreal,[43187],['loreal'],"[""L'Oreal SA""]",[100]
436,lornamead,Lornamead,3789,lornamead,"[11140, 34371]","['lornamead', 'lornamead']","['Lornamead Group Limited', 'Lornamead Inc']","[100, 100]"
437,loxo oncology,"Loxo Oncology, Inc.",3795,loxo oncology,[34425],['loxo oncology'],['Loxo Oncology Inc.'],[100]
438,lundbeck,Lundbeck Pharmaceuticals LLC,3809,lundbeck,"[34171, 34749, 34750]","['lundbeck', 'lundbeck', 'lundbeck']","['Lundbeck SAS', 'Lundbeck GmbH', 'Lundbeck Ltd']","[100, 100, 100]"
439,lupin,"LUPIN LIMITED, Lupin Pharma, Lupin Pharmaceuticals Inc, Lupin Pharmaceuticals, Inc.","3813, 3814, 3815, 3816",lupin,[34767],['lupin'],['Lupin Limited'],[100]
440,lvmh fragrance brands,LVMH Fragrance Brands,3822,lvmh fragrance brands,[43874],['lvmh fragrance brands'],['LVMH Fragrance Brands SA'],[100]
441,m,"3M Company, 3M Health Care","20, 22",m,"[33223, 37340, 38604, 53031, 56261, 58045]","['m', 'm', 'm', 'm', 'm', 'm']","['M101 Corp', '3M Company', 'M2 Group Ltd.', 'M3, Inc.', '3M A/S', '24M Technologies Inc.']","[100, 100, 100, 100, 100, 100]"
442,mac,"MAC Medical Supply Company, Inc.",3831,mac,[34996],['mac'],['The MAC Services Group Limited'],[100]
443,maesa,MAESA LLC,3840,maesa,[43872],['maesa'],['Maesa SA'],[100]
444,magna,"Magna Pharmaceuticals, Inc.",3842,magna,"[22550, 35046]","['magna', 'magna']","['Magna Bank Inc.', 'Magna International Inc']","[100, 100]"
445,mallinckrodt,"Mallinckrodt Inc (Brand Pharmaceuticals), Mallinckrodt, Inc.","3871, 3872",mallinckrodt,[28554],['mallinckrodt'],['Mallinckrodt PLC'],[100]
446,mannkind,Mannkind Corporation,3879,mannkind,[37498],['mannkind'],['MannKind Corp'],[100]
447,mapco express,Mapco Express,3882,mapco express,[37891],['mapco express'],['MAPCO Express Inc'],[100]
448,marathon,"Marathon Pharmaceuticals, LLC",3884,marathon,"[38450, 44274]","['marathon', 'marathon']","['Marathon Technologies Corp', 'Marathon Group Corp.']","[100, 100]"
449,marc glassman,"Marc Glassman Inc., MARC GLASSMAN, INC, Marc Glassman, Inc.","3885, 3886, 3887",marc glassman,[38001],['marc glassman'],['Marc Glassman Inc'],[100]
450,mary kay,Mary Kay Inc.,3907,mary kay,[31550],['mary kay'],['Mary Kay Inc.'],[100]
451,massachusetts general hospital,Massachusetts General Hospital,3911,massachusetts general hospital,[38374],['massachusetts general hospital'],['Massachusetts General Hospital'],[100]
452,matheson tri-gas,"Matheson Tri-Gas, Inc.",3915,matheson tri-gas,[35366],['matheson tri-gas'],['Matheson Tri-Gas Inc'],[100]
453,matrixx initiatives,"Matrixx Initiatives, Inc.",3917,matrixx initiatives,[24174],['matrixx initiatives'],['Matrixx Initiatives Inc'],[100]
454,mckesson,"McKesson, McKesson (Health Mart), Mckesson (Sun Mark), McKesson (Sunmark), McKesson Corporation","3943, 3944, 3945, 3946, 3947",mckesson,[21938],['mckesson'],['McKesson Corporation'],[100]
455,mckesson medical-surgical,"McKesson Medical-Surgical, McKesson Medical-Surgical Inc., McKesson Medical-Surgical, Inc.","3951, 3952, 3953",mckesson medical-surgical,[35682],['mckesson medical-surgical'],['McKesson Medical-Surgical Inc'],[100]
456,mclane,"McLane Company, Inc.",3960,mclane,[35713],['mclane'],['McLane Company Inc'],[100]
457,meda,"Meda Pharmaceuticals, Meda Pharmaceuticals Inc.","3979, 3980",meda,[36232],['meda'],['Meda AB'],[100]
458,medac,"Medac Pharma, Inc",3981,medac,[36167],['medac'],['Medac GmbH'],[100]
459,medi-physics,Medi-Physics Inc.,3993,medi-physics,[36211],['medi-physics'],['Medi-Physics Inc.'],[100]
460,medication,"International Medication Systems, Limited",3249,medication,[28582],['medication'],['International Medication Systems Ltd'],[100]
461,medicine shoppe,"Medicine Shoppe International, Medicine Shoppe International Inc","4013, 4014",medicine shoppe,[36228],['medicine shoppe'],['Medicine Shoppe International Inc'],[100]
462,medicines,The Medicines Company,6256,medicines,[36138],['medicines'],['The Medicines Company'],[100]
463,medicure,"Medicure International Inc, Medicure International Inc.","4018, 4019",medicure,[33110],['medicure'],['Medicure Inc'],[100]
464,medimmune,"MedImmune, LLC",4027,medimmune,"[10167, 35947]","['medimmune', 'medimmune']","['MedImmune Limited', 'MedImmune Inc']","[100, 100]"
465,medipost,"MEDIPOST Co.,Ltd.",4032,medipost,[36213],['medipost'],"['Medipost Co., Ltd']",[100]
466,medline industries,"Medline Industries, Medline Industries Inc., Medline Industries, Inc, Medline Industries, Inc.","4035, 4036, 4037, 4038",medline industries,[35956],['medline industries'],['Medline Industries Inc'],[100]
467,medtech,Medtech Products Inc.,4048,medtech,[36065],['medtech'],['Medtech SAS'],[100]
468,meijer,"Meijer, Meijer Corporation, Meijer Inc., MEIJER, INC.","4054, 4055, 4065, 4066",meijer,[36299],['meijer'],['Meijer Inc'],[100]
469,meijer distribution,"Meijer Distribution, Meijer Distribution Inc, Meijer Distribution Inc., Meijer Distribution, Inc, Meijer Distribution, Inc.","4059, 4060, 4061, 4062, 4063",meijer distribution,[36298],['meijer distribution'],['Meijer Distribution Inc'],[100]
470,melaleuca,"Melaleuca Inc, Melaleuca Inc., Melaleuca, Inc, Melaleuca, Inc.","4071, 4072, 4073, 4074",melaleuca,[36317],['melaleuca'],['Melaleuca Inc'],[100]
471,melinta therapeutics,"Melinta Therapeutics, Inc, Melinta Therapeutics, Inc.","4076, 4077",melinta therapeutics,[13007],['melinta therapeutics'],['Melinta Therapeutics Inc'],[100]
472,memorial sloan kettering cancer center,Memorial Sloan Kettering Cancer Center,4080,memorial sloan kettering cancer center,[37369],['memorial sloan kettering cancer center'],['Memorial Sloan Kettering Cancer Center'],[100]
473,mentholatum,The Mentholatum Company,6257,mentholatum,[37549],['mentholatum'],"['The Mentholatum Company, Inc.']",[100]
474,merck sharp&dohme,Merck Sharp & Dohme Corp.,4085,merck sharp&dohme,"[38214, 38218, 38278, 53353]","['merck sharp&dohme', 'merck sharp&dohme', 'merck sharp&dohme', 'merck sharp&dohme']","['Merck Sharp & Dohme BV', 'Merck Sharp & Dohme (Holdings) Ltd', 'Merck Sharp & Dohme Corp', 'Merck Sharp & Dohme (Holdings) Pty Ltd']","[100, 100, 100, 100]"
475,mercy,Mercy Medical Supply,4087,mercy,"[10520, 37317]","['mercy', 'mercy']","['Mercy Health', 'Mercy Medical Services Inc']","[100, 100]"
476,meridian,"Meridian Medical Technologies, Inc.",4088,meridian,"[18879, 35545, 36413, 36426, 38039, 38041]","['meridian', 'meridian', 'meridian', 'meridian', 'meridian', 'meridian']","['Meridian Energy Ltd', 'Meridian Capital Group Llc', 'Meridian Co Ltd', 'Meridian Medical Technologies Inc', 'Meridian Corp.', 'Meridian Holdings Inc']","[100, 100, 100, 100, 100, 100]"
477,merit,Merit Pharmaceutical,4089,merit,"[35755, 36343, 36438, 38082]","['merit', 'merit', 'merit', 'merit']","['Merit Capital Partners', 'Merit Medical Systems AB', 'Merit Medical Systems Inc', 'Merit Energy Company']","[100, 100, 100, 100]"
478,merle norman cosmetics,"Merle Norman Cosmetics, Merle Norman Cosmetics, Inc, Merle Norman Cosmetics, Inc.","4092, 4093, 4094",merle norman cosmetics,[40841],['merle norman cosmetics'],"['Merle Norman Cosmetics, Inc.']",[100]
479,merz,"Merz Pharmaceuticals, LLC",4099,merz,[38209],['merz'],['Merz Incorporated'],[100]
480,messer,Messer LLC,4106,messer,[36459],['messer'],['Messer Group GmbH'],[100]
481,metrex research,"Metrex Research, METREX RESEARCH, LLC","4114, 4115",metrex research,[36512],['metrex research'],['Metrex Research Corporation'],[100]
482,micro labs,Micro Labs Limited,4131,micro labs,[36772],['micro labs'],['Micro Labs Ltd'],[100]
483,mikart,"Mikart Inc., Mikart, Inc., Mikart, LLC","4153, 4154, 4155",mikart,[36864],['mikart'],['Mikart Incorporated'],[100]
484,millennium,"Millennium Medical Supply, Millennium Pharmaceuticals, Inc.","4158, 4159",millennium,"[7332, 19513, 36884, 37146]","['millennium', 'millennium', 'millennium', 'millennium']","['Bank Millennium SA', 'American Millennium Corp Inc', 'Millennium Partners LP', 'Millennium Health, LLC']","[100, 100, 100, 100]"
485,mission pharmacal,"Mission Pharmacal, Mission Pharmacal Company","4178, 4179",mission pharmacal,[37000],['mission pharmacal'],['Mission Pharmacal'],[100]
486,mitchell,"Mitchell Group USA, LLC, Mitchell Home Medical, Inc.","4182, 4183",mitchell,"[17104, 38440]","['mitchell', 'mitchell']","['Mitchell Services Ltd', 'Mitchell International, Inc.']","[100, 100]"
487,mj,"MJ Products Association, LLC",4187,mj,[50776],['mj'],['MJ Holdings Inc'],[100]
488,mondelez,Mondelez Group LLC,4208,mondelez,[16975],['mondelez'],['Mondelez International Inc'],[100]
489,mueller sports medicine,"Mueller Sports Medicine, Mueller Sports Medicine LLC, Mueller Sports Medicine, Inc.","4230, 4231, 4232",mueller sports medicine,[38616],['mueller sports medicine'],['Mueller Sports Medicine Inc.'],[100]
490,murad,"Murad Inc, Murad, Inc.","4233, 4234",murad,[59212],['murad'],['Murad Incorporated'],[100]
491,mylan,Mylan Pharmaceuticals Inc.,4254,mylan,"[38883, 38888, 38889]","['mylan', 'mylan', 'mylan']","['Mylan BVBA', 'Mylan N.V.', 'Mylan B.V.']","[100, 100, 100]"
492,mylan specialty,Mylan Specialty L.P.,4255,mylan specialty,[16586],['mylan specialty'],['Mylan Specialty LP'],[100]
493,nabriva therapeutics,"Nabriva Therapeutics US, Inc.",4258,nabriva therapeutics,[41350],['nabriva therapeutics'],['Nabriva Therapeutics PLC'],[100]
494,nanophase,Nanophase Technologies Corporation,4266,nanophase,[39104],['nanophase'],['Nanophase Technologies Corp'],[100]
495,nash-finch,Nash-Finch Company,4283,nash-finch,[39011],['nash-finch'],['Nash-Finch Company'],[100]
496,natren,Natren Inc.,4296,natren,[39286],['natren'],['Natren Inc.'],[100]
497,natural wonders,Natural Wonders,4313,natural wonders,[39306],['natural wonders'],['Natural Wonders Inc'],[100]
498,nature,"Nature4 co., Ltd.",4322,nature,[43516],['nature'],['Nature Group PLC'],[100]
499,natureplex,"Natureplex, Natureplex LLC, Natureplex, LLC","4325, 4326, 4327",natureplex,[39258],['natureplex'],['Natureplex LLC'],[100]
500,natures bounty,The Nature's Bounty Company,6259,natures bounty,[39439],['natures bounty'],"[""The Nature's Bounty Co.""]",[100]
501,navajo manufacturing,"Navajo Manufacturing Company, Navajo Manufacturing Company Inc, Navajo Manufacturing Company Inc.","4335, 4336, 4337",navajo manufacturing,[39317],['navajo manufacturing'],['Navajo Manufacturing Co Inc'],[100]
502,navarro discount pharmacies,"Navarro Discount Pharmacies, LLC",4339,navarro discount pharmacies,[39323],['navarro discount pharmacies'],['Navarro Discount Pharmacies Inc.'],[100]
503,nch,NCH Corporation,4342,nch,[39502],['nch'],['NCH Corp'],[100]
504,neomed,Neomed Pharmaceutical,4467,neomed,[40542],['neomed'],['NeoMed Inc'],[100]
505,neos therapeutics,"Neos Therapeutics, LP",4470,neos therapeutics,[44896],['neos therapeutics'],"['Neos Therapeutics, Inc.']",[100]
506,neostrata,"NeoStrata Company Inc., NeoStrata Company, Inc.","4471, 4472",neostrata,[41280],['neostrata'],['NeoStrata Company Inc.'],[100]
507,neoteric cosmetics,"Neoteric Cosmetics, Inc.",4473,neoteric cosmetics,[39563],['neoteric cosmetics'],['Neoteric Cosmetics Inc.'],[100]
508,neutrogena,Neutrogena Corporation,4484,neutrogena,[39901],['neutrogena'],['Neutrogena Corporation'],[100]
509,new avon,New Avon LLC,4485,new avon,[5718],['new avon'],['New Avon LLC'],[100]
510,new york blood center,New York Blood Center,4498,new york blood center,[41878],['new york blood center'],['New York Blood Center'],[100]
511,newmarket,NewMarket Health Products LLC,4499,newmarket,[20041],['newmarket'],['NewMarket Corporation'],[100]
512,nexgen,"Nexgen, Nexgen Pharma, Inc.","4505, 4506",nexgen,"[12696, 41892]","['nexgen', 'nexgen']","['NexGen Energy Ltd.', 'NexGen Medical Systems Inc.']","[100, 100]"
513,nexus,"Nexus Pharmaceuticals Inc, Nexus Pharmaceuticals Inc.","4513, 4514",nexus,"[19435, 39992]","['nexus', 'nexus']","['Nexus Energy Ltd', 'NEXUS AG']","[100, 100]"
514,nibec,"Nibec Co., Ltd, NIBEC Co., Ltd.","4518, 4519",nibec,[39370],['nibec'],['NIBEC Company Limited'],[100]
515,nichols,NICHOLS,4522,nichols,[40242],['nichols'],['Nichols PLC'],[100]
516,nielsen,"Nielsen BioSciences, Inc.",4525,nielsen,"[40513, 60747]","['nielsen', 'nielsen']","['Nielsen Holdings PLC', 'The Nielsen Company BV']","[100, 100]"
517,noble,"Noble Pharmaceuticals, LLC",4549,noble,"[39367, 40704, 40706]","['noble', 'noble', 'noble']","['Noble Corp PLC', 'Noble Energy Inc', 'Noble Group Ltd']","[100, 100, 100]"
518,norco,"Norco, Inc, Norco, Inc.","4553, 4554",norco,[40810],['norco'],['Norco Inc.'],[100]
519,north central,"North Central Medical Supply, Inc.",4563,north central,[40717],['north central'],['North Central Health Services Inc'],[100]
520,north coast,"North Coast Home Care, Inc.",4565,north coast,"[39546, 39547]","['north coast', 'north coast']","['North Coast Medical Inc.', 'North Coast SA']","[100, 100]"
521,northstar radioisotopes,"NorthStar Medical Radioisotopes, LLC",4570,northstar radioisotopes,[41243],['northstar radioisotopes'],['NorthStar Medical Radioisotopes LLC'],[100]
522,nova,"Nova Laboratories, Ltd",4584,nova,"[40896, 41661]","['nova', 'nova']","['Nova Holdings Corp', 'Nova Energy Ltd']","[100, 100]"
