Raw,Freq,entity,certificate,confidence_entry,confidence_cert,confidence
Machine Technology,4,National Institute for Metal Working Skills (NIMS),Industrial Technology Maintenance: Maintenance Piping,0.2595,0.1715,0.0502
Medical Exam Certificate,50,Federal Emergency Management Agency (FEMA),Professional Development Certificate of Achievement,0.2477,0.1787,0.0499
Office Technology,278,Microsoft,Microsoft Technology Associate Security Fundamentals,0.2573,0.1715,0.0497
Certified Compliance & Ethics Professional,2,National Registry of Environmental Professionals,Certified Refrigeration Compliance Manager,0.1577,0.2798,0.0497
Certified Court Interpreter,1,American Association of Electronic Reporters and Transcribers,Certified Electronic Court Reporter,0.1577,0.2798,0.0497
Certified Landscape Technician,7,Irrigation Association,Certified Landscape Irrigation Auditor,0.1577,0.2798,0.0497
Certified Reliability Engineer,22,Society for Maintenance & Reliability Professionals,Certified Maintenance & Reliability Professional,0.1577,0.2798,0.0497
Certified Service Tech,15,National Center for Competency Testing,Tech in Surgery - Certified,0.1577,0.2798,0.0497
Vmware Certified,53,Microsoft,VMware Certified Professional 5,0.1577,0.2798,0.0497
Driver/Operator Mobile Water Supply,114,ESCO Group,Master Specialist Hands On Supply Water Temperature Reset Controls Set-up and Testing,0.2730,0.1615,0.0497
Emergency Vehicle Operator,35,Department of Environmental Quality,Vehicle Emissions Inspector,0.1365,0.3229,0.0497
Programming Certification,82,National Coalition of Certification Centers (NC-3),Introduction to PLC Programming,0.1861,0.2364,0.0496
Tool and Die,184,FANUC America Corporation,FANUC CERT Handling Tool Operations and Programming,0.2082,0.2111,0.0495
Cash Handling Certification,107,Air Conditioning Contractors of America,EPA Section 608 Certification - Refrigerant Handling,0.1926,0.2278,0.0495
Clinical Exercise Specialist,1,American Health Information Management Association (AHIMA),Clinical Documentation Improvement Practitioner (CDIP),0.2241,0.1953,0.0493
Clinical Nurse Specialist (CNS) License,21,American Health Information Management Association (AHIMA),Clinical Documentation Improvement Practitioner (CDIP),0.2241,0.1953,0.0493
Acf Certified Chef,1,American Culinary Federation,Certified Sous Chef (CSC),0.1566,0.2778,0.0490
Certified Asthma Educator,44,"American Culinary Federation, Inc.",Certified Secondary Culinary Educator,0.1566,0.2778,0.0490
Certified Chef,114,American Culinary Federation,Certified Sous Chef (CSC),0.1566,0.2778,0.0490
Certified Diabetes Educator (CDE),1,"American Culinary Federation, Inc.",Certified Secondary Culinary Educator,0.1566,0.2778,0.0490
Certified Family Life Educator,2,"American Culinary Federation, Inc.",Certified Secondary Culinary Educator,0.1566,0.2778,0.0490
Certified Nurse Educator,6,"American Culinary Federation, Inc.",Certified Secondary Culinary Educator,0.1566,0.2778,0.0490
Machine Operator Certificate,41,National Institute for Metal Working Skills (NIMS),Machine Building Level III: Mechancial Assembly,0.2646,0.1640,0.0489
Hearing Aid Specialist,1,American Heart Association,HeartSaver First Aid,0.1354,0.3203,0.0489
Electronic Assembly,10,National Institute for Metal Working Skills (NIMS),Machine Building Level III: Mechancial Assembly,0.2656,0.1628,0.0487
Quality Technology,6,National Institute for Metal Working Skills (NIMS),Industrial Technology Maintenance: Maintenance Piping,0.2519,0.1715,0.0487
Program Management Certification,17,International Association of Plumbing and Mechanical Officials,Backflow Prevention Program Specialist/Administrator Certification,0.1904,0.2252,0.0483
Teachers of English To Speakers of Other Languages (TESOL),139,Federal Emergency Management Agency (FEMA),Introduction to Hazardous Materials,0.1827,0.2345,0.0483
Certified in The Governance of Enterprise IT (CGEIT),9,The National Certification Corporation,Certificate of Added Qualification in Neonatal Pediatric Transport,0.2913,0.1468,0.0482
Advanced Engineering Certificate,1,"Academy of Coastal, Ocean, Port & Navigation Engineers","Diplomate, Navigation Engineering",0.1343,0.3178,0.0481
Climate Control,75,American Traffic Safety Services Association,Traffic Control Supervisor,0.1343,0.3178,0.0481
Automotive Youth Educational Systems,25,National Institute for Automotive Service Excellence,Undercar Specialist: Exhaust Systems,0.2362,0.1807,0.0481
Professional Development,15,Certified Internet Web (CIW),Certified Internet Web (CIW) Web Development Professional,0.2051,0.2079,0.0481
American Council of Pharmaceutical Education (ACPE),19,American Academy of Pediatrics ,Pediatric Education for Prehospital Professionals (PEPP),0.2682,0.1589,0.0480
Security Certified Network Architect,2,Certified Internet Web (CIW),Certified Internet Web (CIW) Network Technology Associate,0.2771,0.1532,0.0479
Certified Healthcare Access Associate,51,Microsoft,Microsoft Office Specialist (MOS) - Access 2019  ,0.2560,0.1654,0.0477
Certified Internal Auditor (CIA),70,American Society for Quality (ASQ),Certified Quality Auditor (CQA),0.1544,0.2739,0.0477
Commercial Applicator Certification,41,Air Conditioning Contractors of America,Light Commercial HVAC Design,0.1829,0.2308,0.0476
Salesforce Developer,7,Adobe Systems Incorporated,Adobe Analytics Developer,0.1333,0.3152,0.0474
Board Certified in Family Medicine,25,American Association of Family and Consumer Sciences,Pre-Professional Certification in Education Fundamentals,0.2558,0.1631,0.0470
Nccer Commercial Electrician,1,National Center for Construction Education and Research (NCCER),Carpentry - Level 2: Commercial Framing & Finishing,0.2710,0.1539,0.0470
Sports Medicine Certification,37,American Aerobic Association International and International Sports Medicine Association (AAAI/ISMA),Personal Trainer Certification,0.3335,0.1250,0.0470
Licensed Professional Surveyor,410,National Society of Professional Surveyors,Certified Surveyor Technician: Level III,0.2094,0.1969,0.0465
Class F Endorsement,3,National Center for Construction Education and Research (NCCER),Instructor Training Class (ICTP),0.1673,0.2461,0.0464
Certified Lactation Consultant,7,American Lighting Association,ALA Certified Lighting Consultant,0.1522,0.2701,0.0463
Certified Prevention Consultant,1,American Lighting Association,ALA Certified Lighting Consultant,0.1522,0.2701,0.0463
Master Ford Certified,1,"American Culinary Federation, Inc.",Certified Master Chef,0.1318,0.3118,0.0463
Radiologic Technologist,7,American Registry of Radiologic Technologists (ARRT),Registered Technologist in Radiography RT(R) ,0.2689,0.1514,0.0459
Cable Systems Certificate,11,Federal Emergency Management Agency (FEMA),Professional Development Certificate of Achievement,0.2277,0.1787,0.0459
Information Systems Certification,100,EMC Education Services,EMC Proven Professional Certification in Information Storage and Management,0.2837,0.1434,0.0459
Automotive Technology Certificate,45,National Institute for Automotive Service Excellence (ASE),Automotive Service Excellence (ASE) - A5 Brakes,0.2551,0.1589,0.0457
Certified Economic Developer,10,aws.amazon.com ,AWS Certified Developer (Associate),0.1512,0.2682,0.0457
Certified First Responder,551,National Board of Surgical Technology and Surgical Assisting,Certified Surgical First Assistant,0.1512,0.2682,0.0457
Certified Labview Developer,1,aws.amazon.com ,AWS Certified Developer (Associate),0.1512,0.2682,0.0457
Certified Network Engineer,1,American Society for Quality (ASQ),Certified Quality Engineer (CQE),0.1512,0.2682,0.0457
Certified Power Engineer,1,American Society for Quality (ASQ),Certified Quality Engineer (CQE),0.1512,0.2682,0.0457
Certified Salesforce Advanced Developer,2,aws.amazon.com ,AWS Certified Developer (Associate),0.1512,0.2682,0.0457
SAP Certification,25,"SAP America, Inc.",SAP Certified Application Associate - SAP CPQ Implementation,0.1409,0.2857,0.0454
Basic Safety Training (BST),66,Mine Health and Safety Administration,Certificate of Electrical Training (Coal mining),0.2541,0.1576,0.0451
Fire Instructor III,8,International Municipal Signal Association,Interior Fire Alarm Technician Level II,0.2581,0.1551,0.0451
Certified Equipment Operator,2,Association for the Advancement of Medical Instrumentation,Certified Radiology Equipment Specialist,0.1501,0.2663,0.0451
Certified General Contractor,40,National Ground Water Association,Master Ground Water Contractor,0.1588,0.2500,0.0448
Certified Government Contractor,1,National Ground Water Association,Master Ground Water Contractor,0.1588,0.2500,0.0448
Certified Mechanical Contractor,4,National Ground Water Association,Master Ground Water Contractor,0.1588,0.2500,0.0448
Master Gardener Certification,20,ESCO Group,Master Oil Heat Specialist Certification,0.1667,0.2367,0.0445
Red X Master Certification,4,ESCO Group,Master Oil Heat Specialist Certification,0.1667,0.2367,0.0445
Adult Education Certificate,28,National Apartment Association Education Institute (NAAEI),Certificate for Apartment Maintenance Technicians (CAMT) ,0.2602,0.1489,0.0437
Basic Education Certificate,11,National Apartment Association Education Institute (NAAEI),Certificate for Apartment Maintenance Technicians (CAMT) ,0.2602,0.1489,0.0437
Marketing Automation Certification,8,National Restaurant Association,ManageFirst - Hospitality and Restaurant Marketing,0.1937,0.2000,0.0437
Eeg Technologist,1,American Association for Laboratory Animal Science,Laboratory Animal Technologist,0.1280,0.3027,0.0437
Cross-Cultural Language and Academic Development,8,Federal Emergency Management Agency (FEMA),Professional Development Certificate of Achievement,0.2016,0.1907,0.0433
Certified Electronic Operator,2,National Institute for Metal Working Skills (NIMS),Industrial Technology Maintenance: Electronic Control Systems,0.2539,0.1514,0.0433
IPC Certification,1801,IPC-Association Connecting Electronics Industries,Certified IPC Application Specialist (CIS),0.1926,0.1984,0.0431
Wastewater Treatment Certification,350,Association of Boards of Certification,Wastewater Lab Analyst Class III,0.1926,0.1984,0.0431
Certified Functional Safety Expert,10,Microsoft Corporation,Microsoft Office Specialist: Microsoft Excel 2016 Expert,0.2889,0.1319,0.0429
Anatomy and Physiology Certificate,42,APICS,APICS Certificate in Production and Inventory Management,0.1932,0.1958,0.0426
Certified Animal Euthanasia Technician,1,Academy of Internal Medicine for Veterinary Technicians,Veterinary Internal Medicine Technician - Large Animal Internal Medicine,0.2064,0.1831,0.0426
Licensed Bachelor of Social Work (LBSW),18,Federal Emergency Management Agency (FEMA),Social Media in Emergency Management,0.1903,0.1984,0.0426
Certified Residential Appraiser,13,Association of Energy Engineers,Certified Residential Energy Auditor,0.1459,0.2588,0.0426
Certified Evaluation and Management Coder,32,APICS,APICS Certificate in Production and Inventory Management,0.2020,0.1867,0.0425
Diesel Mechanic Certification,1947,Federal Aviation Administration (FAA),Aviation Mechanic Powerplant (AMP) Certificate,0.1915,0.1969,0.0425
Accredited Resident Manager,1,American Council for Accredited Certification (ACAC),Council/Certified Indoor Air Quality Manager,0.2593,0.1453,0.0425
Accredited Residential Manager,1,American Council for Accredited Certification (ACAC),Council/Certified Indoor Air Quality Manager,0.2593,0.1453,0.0425
Certified Field Support Technician,2,"Apple Computer, Inc.",Apple Certified Support Professional (ACSP) 10.15,0.2146,0.1750,0.0423
Ab Operator,2, Board for Waterworks and Wastewaterworks Operators and On-Site Sewage System Professionals ,Water Works Operator,0.1259,0.2978,0.0423
Driver/Operator Aerial,19, Board for Waterworks and Wastewaterworks Operators and On-Site Sewage System Professionals ,Water Works Operator,0.1259,0.2978,0.0423
Homeland Security,22,ASIS,Physical Security Professional,0.1259,0.2978,0.0423
Private Security,62,ASIS,Physical Security Professional,0.1259,0.2978,0.0423
Security Clearance,32191,ASIS,Physical Security Professional,0.1259,0.2978,0.0423
Certified Fiber,32,Electronics Technicians Association (ETA) International,Fiber Optics Installer Certification,0.1544,0.2422,0.0422
Graphic Design Certification,1,Air Conditioning Contractors of America,Light Commercial HVAC Design,0.1736,0.2143,0.0420
Landscape Design Certification,10,Air Conditioning Contractors of America,Light Commercial HVAC Design,0.1736,0.2143,0.0420
Certified Behavioral Analyst,1,American Academy of Financial Management,Certified International Tax Analyst,0.1448,0.2570,0.0420
Certified Installer,87,Electronics Technicians Association (ETA) International,Certified Satellite Dish Installer,0.1448,0.2570,0.0420
Certified Valuation Analyst (CVA),2,American Academy of Financial Management,Certified International Tax Analyst,0.1448,0.2570,0.0420
Certified Refrigeration Technician,8,International Society of Certified Electronics Technicians,Certified National Appliance Service Technician - Refrigeration and Air Conditioning,0.2167,0.1709,0.0417
Auto Technology,12,National Institute for Automotive Service Excellence (ASE),ASE Student Certification - Automobile Service Technology,0.2584,0.1429,0.0416
Maintenance Certification,497,Association of Boards of Certification,Plant Maintenance Technologist Certification Class I,0.1767,0.2090,0.0416
Certified Backhoe Operator,3,Association of Boards of Certification,Certified Operator Class I,0.1438,0.2551,0.0414
Certified Ophthalmic Assistant,30,American Association of Medical Assistants (AAMA),Certified Medical Assistant (CMA),0.1438,0.2551,0.0414
Certified Orthodontic Assistant,1,American Association of Medical Assistants (AAMA),Certified Medical Assistant (CMA),0.1438,0.2551,0.0414
Certified Pool/Spa Operator,6532,Association of Boards of Certification,Certified Operator Class I,0.1438,0.2551,0.0414
Welding Certification,2866,American Petroleum Institute,Welding Inspection and Metallurgy Professional,0.1893,0.1938,0.0414
Product Part Approval Process,4,National Institute for Metal Working Skills (NIMS),Industrial Technology Maintenance: Process Control Systems,0.2210,0.1640,0.0409
Certified A+ Technician,5561,National Institute for Automotive Service Excellence,"Medium/Heavy Truck Technician: Heating, Ventilation, & A/C",0.2020,0.1792,0.0408
Radiography Certification,20,American Registry of Radiologic Technologists (ARRT),Mammography Certification,0.1926,0.1874,0.0407
North American Defense Contractors Accreditation Program (NAD-CAP),94,American Welding Society (AWS),Welding (SENSE) Training Program (Level One),0.2210,0.1628,0.0405
Certified Salesforce Platform Developer I,9,Oracle Corporation,Oracle WebLogic Server 12c: Administration I,0.2576,0.1394,0.0405
Certified Clinical Transplant Coordinator,12,Apple,Apple Certified Technical Coordinator (ACTC),0.1588,0.2254,0.0403
Certified Legal Document Preparer,2,International Code Council,Certified Building Official - Legal Module,0.1588,0.2254,0.0403
Certified Procurement Transplant Coordinator,16,Apple,Apple Certified Technical Coordinator (ACTC),0.1588,0.2254,0.0403
GIAC Certified Firewall Analyst,1,Global Information Assurance Certification,GIAC Certified Web Application Defender,0.1588,0.2254,0.0403
GIAC Certified Forensic Analyst,7,Global Information Assurance Certification,GIAC Certified Web Application Defender,0.1588,0.2254,0.0403
GIAC Certified Forensic Examiner,6,Global Information Assurance Certification,GIAC Certified Web Application Defender,0.1588,0.2254,0.0403
GIAC Certified Incident Handler (GCIH),41,Global Information Assurance Certification,GIAC Certified Web Application Defender,0.1588,0.2254,0.0403
GIAC Certified Intrusion Analyst,15,Global Information Assurance Certification,GIAC Certified Web Application Defender,0.1588,0.2254,0.0403
Automation Certification,542,ESCO Group,Electrical Certification,0.1904,0.1874,0.0402
Certified Senior System Architect,3,International Municipal Signal Association,Traffic Signal Senior Field Technician Level III,0.2572,0.1373,0.0398
Certified Business Architect,4,aws.amazon.com ,AWS Certified Solutions Architect (Associate),0.1577,0.2238,0.0398
Certified Document Imaging Architect,3,aws.amazon.com ,AWS Certified Solutions Architect (Associate),0.1577,0.2238,0.0398
Certified Salesforce Technical Architect,1,aws.amazon.com ,AWS Certified Solutions Architect (Associate),0.1577,0.2238,0.0398
Certified System Architect,1,aws.amazon.com ,AWS Certified Solutions Architect (Associate),0.1577,0.2238,0.0398
Certified Tester,74, American Software Testing Qualifications Board ,ASTQB Certified Tester Foundation Level ,0.1577,0.2238,0.0398
Cisco Certified Internetwork Expert (CCIE),107,Cisco,Cisco Certified Network Associate (CCNA),0.1577,0.2238,0.0398
Mac Certified,2,Apple,Apple Certified Associate - Mac Integration,0.1577,0.2238,0.0398
Teacher of Students with Disabilities,3,National Coalition of Certification Centers (NC-3),Torque Electrical with ATEACH2FR100B Certification,0.1849,0.1907,0.0397
Api 1104,27,SOLIDWORKS,Certified SOLIDWORKS Professional API,0.1409,0.2500,0.0397
Asbestos Contractor/Supervisor,46,National Ground Water Association,Master Ground Water Contractor,0.1409,0.2500,0.0397
Black Seal License,287,American Society for Quality (ASQ),Six Sigma Black Belt,0.1409,0.2500,0.0397
Bloodborne Pathogens Certification,253,American Heart Association,HeartSaver Blood Borne Pathogens,0.1409,0.2500,0.0397
Cart License,3,National Verbatim Reporters Association,Registered CART Provider - Master,0.1409,0.2500,0.0397
Certified Appraiser,2,"National Inspection, Testing and Certification Corporation",National Insulation Energy Appraiser,0.1409,0.2500,0.0397
Certified Mlt,1,American Medical Technologist (AMT),Medical Laboratory Technician (MLT),0.1409,0.2500,0.0397
Certified Private Pilot,23,Federal Aviation Administration (FAA),Remote Pilot Airman Certification,0.1409,0.2500,0.0397
Certified Repairman,10,Federal Aviation Administration (FAA),Light Sport Aircraft Repairman,0.1409,0.2500,0.0397
Chartered Accountant,1,CFA Institute,Chartered Financial Analyst (CFA),0.1409,0.2500,0.0397
Chartered Global Management Accountant (CGMA),21,CFA Institute,Chartered Financial Analyst (CFA),0.1409,0.2500,0.0397
Chartered Life Underwriter (ClU),32,CFA Institute,Chartered Financial Analyst (CFA),0.1409,0.2500,0.0397
Chartered Property Casualty Underwriter (CPCU),115,CFA Institute,Chartered Financial Analyst (CFA),0.1409,0.2500,0.0397
Chartered Retirement Planning Counselor,2,CFA Institute,Chartered Financial Analyst (CFA),0.1409,0.2500,0.0397
Community Service,29,Community Transportation Association of America,Certified Community Transit Manager,0.1409,0.2500,0.0397
Dental Radiology License,16,Association for the Advancement of Medical Instrumentation,Certified Radiology Equipment Specialist,0.1409,0.2500,0.0397
Electrical Contractor,639,National Ground Water Association,Master Ground Water Contractor,0.1409,0.2500,0.0397
Hazard Communication,12,National Fire Protection Association,Certified Hazard Recognition Specialist,0.1409,0.2500,0.0397
Income Tax Certificate,36,American Academy of Financial Management,Certified International Tax Analyst,0.1409,0.2500,0.0397
"Insurance Adjuster, Public",2,National Center for Competency Testing (NCCT),Insurance and Coding Specialist,0.1409,0.2500,0.0397
Insurance Agent Certification,745,National Center for Competency Testing (NCCT),Insurance and Coding Specialist,0.1409,0.2500,0.0397
Insurance License,771,National Center for Competency Testing (NCCT),Insurance and Coding Specialist,0.1409,0.2500,0.0397
Licensed Funeral Director,13,International Conference of Funeral Service Examining Boards,Funeral Services National Board,0.1409,0.2500,0.0397
Life Insurance License,169,National Center for Competency Testing (NCCT),Insurance and Coding Specialist,0.1409,0.2500,0.0397
Machinist Certification,47,United States Coast Guard National Maritime Center,National QMED: Machinist/Pumpman,0.1409,0.2500,0.0397
Municipal Solid Waste Combustion Facilities Operator,11,Solid Waste Association of North America,Household Hazardous Waste & CESQG Collection Facility Operations - Specialist,0.2818,0.1250,0.0397
Registered Tax Return Preparer (RTRP),1,American Academy of Financial Management,Certified International Tax Analyst,0.1409,0.2500,0.0397
Solar Contractor Certificate,5,National Ground Water Association,Master Ground Water Contractor,0.1409,0.2500,0.0397
Tax Assessment,2,American Academy of Financial Management,Certified International Tax Analyst,0.1409,0.2500,0.0397
Tax Collector's License,7,American Academy of Financial Management,Certified International Tax Analyst,0.1409,0.2500,0.0397
Tax Preparation Certificate,40,American Academy of Financial Management,Certified International Tax Analyst,0.1409,0.2500,0.0397
Tax Professional,8,American Academy of Financial Management,Certified International Tax Analyst,0.1409,0.2500,0.0397
Travel and Tourism Certification,1,Travel Institute,Travel Agent Proficiency (TAP),0.1409,0.2500,0.0397
Animal Control Certification,21,ESCO Group,Electrical Certification,0.1872,0.1874,0.0395
Certified Marine Technician,4,NACE International,Protective Coating Technician,0.2221,0.1575,0.0394
Hp Master Accredited Systems Engineer (MASE),3,ESCO Group,Master Specialist Residential Electric Heat,0.2157,0.1617,0.0393
Engineer in Training Certification,621,Electrical Training Alliance,Instrumentation Certification,0.1861,0.1874,0.0393
Technical Training Certification,7,Electrical Training Alliance,Instrumentation Certification,0.1861,0.1874,0.0393
Certified Software Project Manager,15,Project Management Institute,Certified Associate in Project Management,0.1566,0.2223,0.0392
Business Technology,7,Certified Internet Web (CIW),Certified Internet Web (CIW) Internet Business Associate,0.2551,0.1362,0.0392
Appliance Repair Certificate,1519,ESCO Group,Combustion Appliance Zone Certification,0.1398,0.2480,0.0391
Asbestos Worker,111,National Center for Construction Education and Research (NCCER),Power Line Worker 1,0.1398,0.2480,0.0391
AutoCAD Certification,524,Autodesk,AutoCAD 2010 Certified Professional,0.1398,0.2480,0.0391
Body Shop,98,"BioCommunications Association, Inc. - Board of Registry",Total Body Photography Certification,0.1398,0.2480,0.0391
Cardiac Medicine,44,Academy of Internal Medicine for Veterinary Technicians,Veterinary Internal Medicine Technician - Large Animal Internal Medicine,0.1398,0.2480,0.0391
Certified Body Technician,1,"BioCommunications Association, Inc. - Board of Registry",Total Body Photography Certification,0.1398,0.2480,0.0391
Ems Certificate,1,Electronics Technicians Association (ETA) International,Electronics Module - Comprehensive (EMS),0.1398,0.2480,0.0391
Landscape Architect License,1,Adobe Systems Incorporated,Adobe Experience Manager Architect,0.1398,0.2480,0.0391
Registered Architect,253,Adobe Systems Incorporated,Adobe Experience Manager Architect,0.1398,0.2480,0.0391
Series 6,127,Adobe Systems Incorporated,AEM 6 Lead Developer,0.1398,0.2480,0.0391
Certified Medical Secretary,4,American Association of Medical Assistants (AAMA),Certified Medical Assistant (CMA),0.1397,0.2479,0.0390
Certified Medical Transcriptionist,1,American Association of Medical Assistants (AAMA),Certified Medical Assistant (CMA),0.1397,0.2479,0.0390
Commercial Refrigeration Certificate,92,Air Conditioning and Refrigeration Institute,HVAC Light Commercial Heating and Air Conditioning,0.2623,0.1319,0.0390
Certified Service Advisor,37,"Cisco Systems, Inc.",CCNP Service Provider,0.1299,0.2649,0.0388
Certified Business Continuity Professional,8,Certified Internet Web (CIW),Certified Internet Web (CIW) Internet Business Associate,0.2230,0.1543,0.0388
Certified Business Intelligence Professional,13,Certified Internet Web (CIW),Certified Internet Web (CIW) Internet Business Associate,0.2230,0.1543,0.0388
Certified Corporate Trust Specialist (CCTS),2,Cardiovascular Credentialing International,Certified Cardiographic Technician (CCT),0.1890,0.1817,0.0387
Certified Medical Representative,2,"Avid Technology, Inc.",Avid Certified Support Representative: Elite,0.1555,0.2207,0.0387
Certified Patient Account Representative,13,"Avid Technology, Inc.",Avid Certified Support Representative: Elite,0.1555,0.2207,0.0387
Environmental Protection Agency Certification,22288,Environmental Protection Agency,Section 608 Technician Certification (Universal),0.4569,0.0750,0.0386
Learning Behavioral Specialist I,20,National Fire Protection Association,Certified Fire Plan Examiner I,0.2044,0.1672,0.0385
Certified Commercial Diver,14,ESCO Group,Light Commercial Refrigeration Certification,0.1480,0.2308,0.0385
Certified Commercial Investment Member (CCIM),5,ESCO Group,Light Commercial Refrigeration Certification,0.1480,0.2308,0.0385
4Th Class Engineer,7,Association of Boards of Certification,Certified Operator Class I,0.1387,0.2461,0.0385
CDL Class A,15869,Association of Boards of Certification,Certified Operator Class I,0.1387,0.2461,0.0385
Cdl Class B,6978,Association of Boards of Certification,Certified Operator Class I,0.1387,0.2461,0.0385
Cdl Class C,4083,Association of Boards of Certification,Certified Operator Class I,0.1387,0.2461,0.0385
CDL Class D,1930,Association of Boards of Certification,Certified Operator Class I,0.1387,0.2461,0.0385
Class N,1,Association of Boards of Certification,Certified Operator Class I,0.1387,0.2461,0.0385
Class T,4,Association of Boards of Certification,Certified Operator Class I,0.1387,0.2461,0.0385
Desktop Publishing Certificate,22,Environmental Systems Research Institute,ArcGIS Desktop Entry 10.4,0.1387,0.2461,0.0385
Test Analyst,1,Associated Air Balance Council,Test and Balance Technician,0.1387,0.2461,0.0385
Administrative Office Certificate,46,American Medical Certification Association (AMCA),Medical Administrative Assistant (CMAA),0.1376,0.2441,0.0379
Life Skills,3,American Heart Association,Prehospital Trauma Life Support,0.1376,0.2441,0.0379
Accredited ACH Professional,6,Accreditation Commission for Traffic Accident Reconstruction,Accredited Traffic Accident Reconstructionist,0.1365,0.2422,0.0373
Accredited Veterinarian,2,Accreditation Commission for Traffic Accident Reconstruction,Accredited Traffic Accident Reconstructionist,0.1365,0.2422,0.0373
Auditor Certification,22,American Society for Quality (ASQ),Certified Quality Auditor (CQA),0.1365,0.2422,0.0373
NICET Concrete,4,American Concrete Institute International,Concrete Construction Special Inspector,0.1365,0.2422,0.0373
Certified Information Technology Professional,11,American Health Information Management Association,Certified Healthcare Technology Specialist -  Technical/Software Support Staff,0.2677,0.1230,0.0371
Certified Administrator,72,Apple,Apple Certified System Administrator (ACSA),0.1522,0.2161,0.0371
Certified Automotive Engineer,14,ALLDATA,ALLDATA Certified Automotive Information Specialist,0.1522,0.2161,0.0371
Certified Construction Contract Administrator,5,Apple,Apple Certified System Administrator (ACSA),0.1522,0.2161,0.0371
Certified Network Administrator,25,Apple,Apple Certified System Administrator (ACSA),0.1522,0.2161,0.0371
Certified OpenStack Administrator (COA),2,Apple,Apple Certified System Administrator (ACSA),0.1522,0.2161,0.0371
Certified Pre-Award Research Administrator (CPRA),4,Apple,Apple Certified System Administrator (ACSA),0.1522,0.2161,0.0371
Certified Research Administrator (CRA),9,Apple,Apple Certified System Administrator (ACSA),0.1522,0.2161,0.0371
Certified Salesforce Administrator,134,Apple,Apple Certified System Administrator (ACSA),0.1522,0.2161,0.0371
Certified Car Inspector,208,American Public Works Association,Certified Public Infrastructure Inspector,0.1357,0.2408,0.0368
Certified Cable Technician,1,Society of Cable Telecommunications Engineers,Broadband Premises Technician,0.2064,0.1575,0.0367
Certified Medication Administration,1,Check Point Software Technologies LTD.,Check Point Certified Security Administration,0.1512,0.2145,0.0366
Civil Litigation Certificate,1,Federal Emergency Management Agency (FEMA),Professional Development Certificate of Achievement,0.1800,0.1787,0.0363
Certified Rhythm Analysis Technician,8,National Institute for Automotive Service Excellence,Automobile Technician: Brakes,0.2042,0.1575,0.0363
Business Application,5,Accreditation Council for Accountancy and Taxation,Accredited Business Accountant (ABA),0.1343,0.2383,0.0361
Business Assistant Certificate,2,Accreditation Council for Accountancy and Taxation,Accredited Business Accountant (ABA),0.1343,0.2383,0.0361
Business Education,12,Accreditation Council for Accountancy and Taxation,Accredited Business Accountant (ABA),0.1343,0.2383,0.0361
Business Math,2,Accreditation Council for Accountancy and Taxation,Accredited Business Accountant (ABA),0.1343,0.2383,0.0361
Business Registration Certificate,27,Accreditation Council for Accountancy and Taxation,Accredited Business Accountant (ABA),0.1343,0.2383,0.0361
Business Writing Certificate,2,Accreditation Council for Accountancy and Taxation,Accredited Business Accountant (ABA),0.1343,0.2383,0.0361
Credit Business Fellow (CBF),7,Accreditation Council for Accountancy and Taxation,Accredited Business Accountant (ABA),0.1343,0.2383,0.0361
Associate of the Casualty Actuarial Society (ACAS),1,Institute for the Certification of Computing Professionals,Certified Cyber Security Professional - Associate/Practitioner,0.2747,0.1162,0.0360
Seating and Mobility Specialist,199,International Association of Plumbing and Mechanical Officials,Hydronic Heating and Cooling Certification,0.1993,0.1601,0.0360
Certified Composite Technician,7,SpaceTEC,SpaceTEC Composites Certification,0.1657,0.1922,0.0359
Certified Team Leader,1,HDI,HDI Support Center Team Lead,0.1588,0.2000,0.0358
American Power Conversion,4,International Fluid Power Society,Fluid Power Pneumatic Mechanic,0.1333,0.2364,0.0355
Composite Repair Certificate,15,Department of Environmental Quality,Certified Emissions Repair Technician ,0.1333,0.2364,0.0355
Motorcycle Repair,11,Department of Environmental Quality,Certified Emissions Repair Technician ,0.1333,0.2364,0.0355
Pc Repair,10,Department of Environmental Quality,Certified Emissions Repair Technician ,0.1333,0.2364,0.0355
Business Associates Certificate,10,Certified Internet Web (CIW),Certified Internet Web (CIW) Internet Business Associate,0.1763,0.1787,0.0355
Certified Lab Technician,1,Association of Boards of Certification,Wastewater Lab Analyst Class III,0.1577,0.1984,0.0353
Computer Technician Certification,5,"Apple Computer, Inc.",Apple Certified iOS Technician (ACiT) Certification (2019),0.2581,0.1211,0.0352
Building Services,31,American Bankers Association,Certified IRA Services Professional,0.1322,0.2345,0.0350
HazMat Operations,378,AXELOS Ltd. ,ITIL Service Operations Certification,0.1322,0.2345,0.0350
Certified Medical Technician,11,Association for the Advancement of Medical Instrumentation,Certified Biomedical Equipment Technician,0.2063,0.1499,0.0349
Bronze Level Certification,150,CertTEC,CertTEC Aviation Structures Level 2 certification,0.1610,0.1905,0.0346
Criminal Offender Record Information (CORI) Certified,2,ALLDATA,ALLDATA Certified Automotive Information Specialist,0.1469,0.2085,0.0345
Certified Clinical Exercise Physiologist (CEP),1,American Health Information Management Association (AHIMA),Clinical Documentation Improvement Practitioner (CDIP),0.1555,0.1953,0.0342
Certified Clinical Perfusionist,22,American Health Information Management Association (AHIMA),Clinical Documentation Improvement Practitioner (CDIP),0.1555,0.1953,0.0342
