"2010 SOC Code","O*NET-SOC 2010 Code","O*NET-SOC 2010 Title","2010 SOC Title","education_STW","knowledge_STW","rothwell_STW","Occupation 2010 Description","2010 Census Code"
"29-1199","29-1199.05","Orthoptists","Health Diagnosing and Treating Practitioners, All Other",0,1,0,"Health diagnosing and treating practitioners, all other","3260"
"29-2011","29-2011.00","Medical and Clinical Laboratory Technologists","Medical and Clinical Laboratory Technologists",0,1,0,NA,NA
"29-2011","29-2011.01","Cytogenetic Technologists","Medical and Clinical Laboratory Technologists",0,1,0,NA,NA
"29-2011","29-2011.02","Cytotechnologists","Medical and Clinical Laboratory Technologists",0,1,0,NA,NA
"29-2011","29-2011.03","Histotechnologists and Histologic Technicians","Medical and Clinical Laboratory Technologists",0,1,0,NA,NA
"29-2012","29-2012.00","Medical and Clinical Laboratory Technicians","Medical and Clinical Laboratory Technicians",1,1,1,NA,NA
"29-2021","29-2021.00","Dental Hygienists","Dental Hygienists",1,1,1,"Dental hygienists","3310"
"29-2031","29-2031.00","Cardiovascular Technologists and Technicians","Cardiovascular Technologists and Technicians",1,1,1,NA,NA
"29-2032","29-2032.00","Diagnostic Medical Sonographers","Diagnostic Medical Sonographers",1,0,0,NA,NA
"29-2033","29-2033.00","Nuclear Medicine Technologists","Nuclear Medicine Technologists",1,0,0,NA,NA
"29-2034","29-2034.00","Radiologic Technologists","Radiologic Technologists",1,0,0,NA,NA
"29-2035","29-2035.00","Magnetic Resonance Imaging Technologists","Magnetic Resonance Imaging Technologists",NA,NA,NA,NA,NA
"29-2041","29-2041.00","Emergency Medical Technicians and Paramedics","Emergency Medical Technicians and Paramedics",1,0,0,"Emergency medical technicians and paramedics","3400"
"29-2051","29-2051.00","Dietetic Technicians","Dietetic Technicians",1,0,0,NA,NA
"29-2052","29-2052.00","Pharmacy Technicians","Pharmacy Technicians",1,0,0,NA,NA
"29-2053","29-2053.00","Psychiatric Technicians","Psychiatric Technicians",1,0,0,NA,NA
"29-2054","29-2054.00","Respiratory Therapy Technicians","Respiratory Therapy Technicians",1,1,1,NA,NA
"29-2055","29-2055.00","Surgical Technologists","Surgical Technologists",1,1,1,NA,NA
"29-2056","29-2056.00","Veterinary Technologists and Technicians","Veterinary Technologists and Technicians",1,0,0,NA,NA
"29-2057","29-2057.00","Ophthalmic Medical Technicians","Ophthalmic Medical Technicians",NA,NA,NA,NA,NA
"29-2061","29-2061.00","Licensed Practical and Licensed Vocational Nurses","Licensed Practical and Licensed Vocational Nurses",1,0,0,"Licensed practical and licensed vocational nurses","3500"
"29-2071","29-2071.00","Medical Records and Health Information Technicians","Medical Records and Health Information Technicians",1,0,0,"Medical records and health information technicians","3510"
"29-2081","29-2081.00","Opticians, Dispensing","Opticians, Dispensing",1,0,0,"Opticians, dispensing","3520"
"29-2091","29-2091.00","Orthotists and Prosthetists","Orthotists and Prosthetists",0,1,0,NA,NA
"29-2092","29-2092.00","Hearing Aid Specialists","Hearing Aid Specialists",NA,NA,NA,NA,NA
"29-2099","29-2099.01","Neurodiagnostic Technologists","Health Technologists and Technicians, All Other",1,0,0,NA,NA
"29-2099","29-2099.05","Ophthalmic Medical Technologists","Health Technologists and Technicians, All Other",1,0,0,NA,NA
"29-2099","29-2099.00","Health Technologists and Technicians, All Other","Health Technologists and Technicians, All Other",1,0,0,NA,NA
"29-2099","29-2099.06","Radiologic Technicians","Health Technologists and Technicians, All Other",1,0,0,NA,NA
"29-2099","29-2099.07","Surgical Assistants","Health Technologists and Technicians, All Other",1,0,0,NA,NA
"29-9011","29-9011.00","Occupational Health and Safety Specialists","Occupational Health and Safety Specialists",0,1,0,NA,NA
"29-9012","29-9012.00","Occupational Health and Safety Technicians","Occupational Health and Safety Technicians",1,0,0,NA,NA
"29-9091","29-9091.00","Athletic Trainers","Athletic Trainers",0,1,0,NA,NA
"29-9092","29-9092.00","Genetic Counselors","Genetic Counselors",0,1,0,NA,NA
"29-9099","29-9099.00","Healthcare Practitioners and Technical Workers, All Other","Healthcare Practitioners and Technical Workers, All Other",NA,NA,NA,NA,NA
"29-9099","29-9099.01","Midwives","Healthcare Practitioners and Technical Workers, All Other",NA,NA,NA,NA,NA
"31-1011","31-1011.00","Home Health Aides","Home Health Aides",1,0,0,NA,NA
"31-1013","31-1013.00","Psychiatric Aides","Psychiatric Aides",1,0,0,NA,NA
"31-1014","31-1014.00","Nursing Assistants","Nursing Assistants",NA,NA,NA,NA,NA
"31-1015","31-1015.00","Orderlies","Orderlies",NA,NA,NA,NA,NA
"31-2011","31-2011.00","Occupational Therapy Assistants","Occupational Therapy Assistants",1,0,0,NA,NA
"31-2012","31-2012.00","Occupational Therapy Aides","Occupational Therapy Aides",1,0,0,NA,NA
"31-2021","31-2021.00","Physical Therapist Assistants","Physical Therapist Assistants",1,0,0,NA,NA
"31-2022","31-2022.00","Physical Therapist Aides","Physical Therapist Aides",1,0,0,NA,NA
"31-9011","31-9011.00","Massage Therapists","Massage Therapists",1,0,0,"Massage therapists","3630"
"31-9091","31-9091.00","Dental Assistants","Dental Assistants",1,0,0,"Dental assistants","3640"
"31-9092","31-9092.00","Medical Assistants","Medical Assistants",1,0,0,"Medical assistants","3645"
"31-9093","31-9093.00","Medical Equipment Preparers","Medical Equipment Preparers",1,0,0,"Healthcare support workers, all other, including medical equipment preparers","3655"
"31-9094","31-9094.00","Medical Transcriptionists","Medical Transcriptionists",1,0,0,"Medical transcriptionists","3646"
"31-9095","31-9095.00","Pharmacy Aides","Pharmacy Aides",1,0,0,"Pharmacy aides","3647"
"31-9096","31-9096.00","Veterinary Assistants and Laboratory Animal Caretakers","Veterinary Assistants and Laboratory Animal Caretakers",1,0,0,"Veterinary assistants and laboratory animal caretakers","3648"
"31-9097","31-9097.00","Phlebotomists","Phlebotomists",NA,NA,NA,"Phlebotomists","3649"
"31-9099","31-9099.00","Healthcare Support Workers, All Other","Healthcare Support Workers, All Other",1,0,0,"Healthcare support workers, all other, including medical equipment preparers","3655"
"31-9099","31-9099.01","Speech-Language Pathology Assistants","Healthcare Support Workers, All Other",1,0,0,"Healthcare support workers, all other, including medical equipment preparers","3655"
"31-9099","31-9099.02","Endoscopy Technicians","Healthcare Support Workers, All Other",1,0,0,"Healthcare support workers, all other, including medical equipment preparers","3655"
"33-1011","33-1011.00","First-Line Supervisors of Correctional Officers","First-Line Supervisors of Correctional Officers",1,0,0,"First-line supervisors of correctional officers","3700"
"33-1012","33-1012.00","First-Line Supervisors of Police and Detectives","First-Line Supervisors of Police and Detectives",1,0,0,"First-line supervisors of police and detectives","3710"
"33-1021","33-1021.02","Forest Fire Fighting and Prevention Supervisors","First-Line Supervisors of Fire Fighting and Prevention Workers",1,0,0,"First-line supervisors of fire fighting and prevention workers","3720"
"33-1021","33-1021.01","Municipal Fire Fighting and Prevention Supervisors","First-Line Supervisors of Fire Fighting and Prevention Workers",1,0,0,"First-line supervisors of fire fighting and prevention workers","3720"
"33-1021","33-1021.00","First-Line Supervisors of Fire Fighting and Prevention Workers","First-Line Supervisors of Fire Fighting and Prevention Workers",1,0,0,"First-line supervisors of fire fighting and prevention workers","3720"
"33-1099","33-1099.00","First-Line Supervisors of Protective Service Workers, All Other","First-Line Supervisors of Protective Service Workers, All Other",NA,NA,NA,"First-line supervisors of protective service workers, all other","3730"
"33-2011","33-2011.01","Municipal Firefighters","Firefighters",1,1,1,"Firefighters","3740"
"33-2011","33-2011.02","Forest Firefighters","Firefighters",1,1,1,"Firefighters","3740"
"33-2011","33-2011.00","Firefighters","Firefighters",1,1,1,"Firefighters","3740"
"33-2021","33-2021.00","Fire Inspectors and Investigators","Fire Inspectors and Investigators",1,0,0,NA,NA
"33-2021","33-2021.01","Fire Inspectors","Fire Inspectors and Investigators",1,0,0,NA,NA
"33-2021","33-2021.02","Fire Investigators","Fire Inspectors and Investigators",1,0,0,NA,NA
"33-2022","33-2022.00","Forest Fire Inspectors and Prevention Specialists","Forest Fire Inspectors and Prevention Specialists",0,0,0,NA,NA
"33-3011","33-3011.00","Bailiffs","Bailiffs",1,0,0,NA,NA
"33-3012","33-3012.00","Correctional Officers and Jailers","Correctional Officers and Jailers",1,0,0,NA,NA
"33-3021","33-3021.00","Detectives and Criminal Investigators","Detectives and Criminal Investigators",1,0,0,"Detectives and criminal investigators","3820"
"33-3021","33-3021.01","Police Detectives","Detectives and Criminal Investigators",1,0,0,"Detectives and criminal investigators","3820"
"33-3021","33-3021.05","Immigration and Customs Inspectors","Detectives and Criminal Investigators",1,0,0,"Detectives and criminal investigators","3820"
"33-3021","33-3021.02","Police Identification and Records Officers","Detectives and Criminal Investigators",1,0,0,"Detectives and criminal investigators","3820"
"33-3021","33-3021.03","Criminal Investigators and Special Agents","Detectives and Criminal Investigators",1,0,0,"Detectives and criminal investigators","3820"
"33-3021","33-3021.06","Intelligence Analysts","Detectives and Criminal Investigators",1,0,0,"Detectives and criminal investigators","3820"
"33-3031","33-3031.00","Fish and Game Wardens","Fish and Game Wardens",0,0,0,"Fish and game wardens","3830"
"33-3041","33-3041.00","Parking Enforcement Workers","Parking Enforcement Workers",1,0,0,"Parking enforcement workers","3840"
"33-3051","33-3051.00","Police and Sheriff's Patrol Officers","Police and Sheriff's Patrol Officers",1,0,0,"Police and sheriff's patrol officers","3850"
"33-3051","33-3051.01","Police Patrol Officers","Police and Sheriff's Patrol Officers",1,0,0,"Police and sheriff's patrol officers","3850"
"33-3051","33-3051.03","Sheriffs and Deputy Sheriffs","Police and Sheriff's Patrol Officers",1,0,0,"Police and sheriff's patrol officers","3850"
"33-3052","33-3052.00","Transit and Railroad Police","Transit and Railroad Police",1,0,0,"Transit and railroad police","3860"
"33-9011","33-9011.00","Animal Control Workers","Animal Control Workers",1,0,0,"Animal control workers","3900"
"33-9021","33-9021.00","Private Detectives and Investigators","Private Detectives and Investigators",1,0,0,"Private detectives and investigators","3910"
"33-9031","33-9031.00","Gaming Surveillance Officers and Gaming Investigators","Gaming Surveillance Officers and Gaming Investigators",1,0,0,NA,NA
"33-9032","33-9032.00","Security Guards","Security Guards",1,0,0,NA,NA
"33-9091","33-9091.00","Crossing Guards","Crossing Guards",1,0,0,"Crossing guards","3940"
"33-9092","33-9092.00","Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers","Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",1,0,0,"Lifeguards and other recreational, and all other protective service workers","3955"
"33-9093","33-9093.00","Transportation Security Screeners","Transportation Security Screeners",1,0,0,"Transportation security screeners","3945"
"33-9099","33-9099.00","Protective Service Workers, All Other","Protective Service Workers, All Other",NA,NA,NA,"Lifeguards and other recreational, and all other protective service workers","3955"
"33-9099","33-9099.02","Retail Loss Prevention Specialists","Protective Service Workers, All Other",NA,NA,NA,"Lifeguards and other recreational, and all other protective service workers","3955"
"35-1011","35-1011.00","Chefs and Head Cooks","Chefs and Head Cooks",1,1,1,"Chefs and head cooks","4000"
"35-1012","35-1012.00","First-Line Supervisors of Food Preparation and Serving Workers","First-Line Supervisors of Food Preparation and Serving Workers",1,0,0,"First-line supervisors of food preparation and serving workers","4010"
"35-2011","35-2011.00","Cooks, Fast Food","Cooks, Fast Food",1,0,0,NA,NA
"35-2012","35-2012.00","Cooks, Institution and Cafeteria","Cooks, Institution and Cafeteria",1,0,0,NA,NA
"35-2013","35-2013.00","Cooks, Private Household","Cooks, Private Household",1,0,0,NA,NA
"35-2014","35-2014.00","Cooks, Restaurant","Cooks, Restaurant",1,0,0,NA,NA
"35-2015","35-2015.00","Cooks, Short Order","Cooks, Short Order",1,0,0,NA,NA
"35-2019","35-2019.00","Cooks, All Other","Cooks, All Other",NA,NA,NA,NA,NA
"35-2021","35-2021.00","Food Preparation Workers","Food Preparation Workers",1,0,0,"Food preparation workers","4030"
"35-3011","35-3011.00","Bartenders","Bartenders",1,0,0,"Bartenders","4040"
"35-3021","35-3021.00","Combined Food Preparation and Serving Workers, Including Fast Food","Combined Food Preparation and Serving Workers, Including Fast Food",1,0,0,"Combined food preparation and serving workers, including fast food","4050"
"35-3022","35-3022.00","Counter Attendants, Cafeteria, Food Concession, and Coffee Shop","Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",1,0,0,"Counter attendants, cafeteria, food concession, and coffee shop","4060"
"35-3022","35-3022.01","Baristas","Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",1,0,0,"Counter attendants, cafeteria, food concession, and coffee shop","4060"
"35-3031","35-3031.00","Waiters and Waitresses","Waiters and Waitresses",1,0,0,"Waiters and waitresses","4110"
"35-3041","35-3041.00","Food Servers, Nonrestaurant","Food Servers, Nonrestaurant",1,0,0,"Food servers, nonrestaurant","4120"
"35-9011","35-9011.00","Dining Room and Cafeteria Attendants and Bartender Helpers","Dining Room and Cafeteria Attendants and Bartender Helpers",1,0,0,"Dining room and cafeteria attendants and bartender helpers","4130"
"35-9021","35-9021.00","Dishwashers","Dishwashers",1,0,0,"Dishwashers","4140"
"35-9031","35-9031.00","Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop","Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",1,0,0,"Hosts and hostesses, restaurant, lounge, and coffee shop","4150"
"35-9099","35-9099.00","Food Preparation and Serving Related Workers, All Other","Food Preparation and Serving Related Workers, All Other",NA,NA,NA,"Food preparation and serving related workers, all other","4160"
"37-1011","37-1011.00","First-Line Supervisors of Housekeeping and Janitorial Workers","First-Line Supervisors of Housekeeping and Janitorial Workers",1,0,0,"First-line supervisors of housekeeping and janitorial workers","4200"
"37-1012","37-1012.00","First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers","First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",1,0,0,"First-line supervisors of landscaping, lawn service, and groundskeeping workers","4210"
"37-2011","37-2011.00","Janitors and Cleaners, Except Maids and Housekeeping Cleaners","Janitors and Cleaners, Except Maids and Housekeeping Cleaners",1,0,0,"Janitors and building cleaners","4220"
"37-2012","37-2012.00","Maids and Housekeeping Cleaners","Maids and Housekeeping Cleaners",1,0,0,"Maids and housekeeping cleaners","4230"
"37-2019","37-2019.00","Building Cleaning Workers, All Other","Building Cleaning Workers, All Other",NA,NA,NA,"Janitors and building cleaners","4220"
"37-2021","37-2021.00","Pest Control Workers","Pest Control Workers",1,0,0,"Pest control workers","4240"
"37-3011","37-3011.00","Landscaping and Groundskeeping Workers","Landscaping and Groundskeeping Workers",1,0,0,NA,NA
"37-3012","37-3012.00","Pesticide Handlers, Sprayers, and Applicators, Vegetation","Pesticide Handlers, Sprayers, and Applicators, Vegetation",1,0,0,NA,NA
"37-3013","37-3013.00","Tree Trimmers and Pruners","Tree Trimmers and Pruners",1,0,0,NA,NA
"37-3019","37-3019.00","Grounds Maintenance Workers, All Other","Grounds Maintenance Workers, All Other",NA,NA,NA,NA,NA
"39-1011","39-1011.00","Gaming Supervisors","Gaming Supervisors",1,0,0,NA,NA
"39-1012","39-1012.00","Slot Supervisors","Slot Supervisors",1,0,0,NA,NA
"39-1021","39-1021.01","Spa Managers","First-Line Supervisors of Personal Service Workers",1,0,0,"First-line supervisors of personal service workers","4320"
"39-1021","39-1021.00","First-Line Supervisors of Personal Service Workers","First-Line Supervisors of Personal Service Workers",1,0,0,"First-line supervisors of personal service workers","4320"
"39-2011","39-2011.00","Animal Trainers","Animal Trainers",1,0,0,"Animal trainers","4340"
"39-2021","39-2021.00","Nonfarm Animal Caretakers","Nonfarm Animal Caretakers",1,0,0,"Nonfarm animal caretakers","4350"
"39-3011","39-3011.00","Gaming Dealers","Gaming Dealers",1,0,0,NA,NA
"39-3012","39-3012.00","Gaming and Sports Book Writers and Runners","Gaming and Sports Book Writers and Runners",1,0,0,NA,NA
"39-3019","39-3019.00","Gaming Service Workers, All Other","Gaming Service Workers, All Other",NA,NA,NA,NA,NA
"39-3021","39-3021.00","Motion Picture Projectionists","Motion Picture Projectionists",1,0,0,"Motion picture projectionists","4410"
"39-3031","39-3031.00","Ushers, Lobby Attendants, and Ticket Takers","Ushers, Lobby Attendants, and Ticket Takers",1,0,0,"Ushers, lobby attendants, and ticket takers","4420"
"39-3091","39-3091.00","Amusement and Recreation Attendants","Amusement and Recreation Attendants",1,0,0,NA,NA
"39-3092","39-3092.00","Costume Attendants","Costume Attendants",1,0,0,NA,NA
"39-3093","39-3093.00","Locker Room, Coatroom, and Dressing Room Attendants","Locker Room, Coatroom, and Dressing Room Attendants",1,0,0,NA,NA
"39-3099","39-3099.00","Entertainment Attendants and Related Workers, All Other","Entertainment Attendants and Related Workers, All Other",NA,NA,NA,NA,NA
"39-4011","39-4011.00","Embalmers","Embalmers",1,1,1,"Embalmers and funeral attendants","4460"
"39-4021","39-4021.00","Funeral Attendants","Funeral Attendants",1,0,0,"Embalmers and funeral attendants","4460"
"39-4031","39-4031.00","Morticians, Undertakers, and Funeral Directors","Morticians, Undertakers, and Funeral Directors",1,1,1,"Morticians, undertakers, and funeral directors","4465"
"39-5011","39-5011.00","Barbers","Barbers",1,0,0,"Barbers","4500"
"39-5012","39-5012.00","Hairdressers, Hairstylists, and Cosmetologists","Hairdressers, Hairstylists, and Cosmetologists",1,0,0,"Hairdressers, hairstylists, and cosmetologists","4510"
"39-5091","39-5091.00","Makeup Artists, Theatrical and Performance","Makeup Artists, Theatrical and Performance",1,0,0,NA,NA
"39-5092","39-5092.00","Manicurists and Pedicurists","Manicurists and Pedicurists",1,0,0,NA,NA
"39-5093","39-5093.00","Shampooers","Shampooers",1,0,0,NA,NA
"39-5094","39-5094.00","Skincare Specialists","Skincare Specialists",1,0,0,NA,NA
"39-6011","39-6011.00","Baggage Porters and Bellhops","Baggage Porters and Bellhops",1,0,0,NA,NA
"39-6012","39-6012.00","Concierges","Concierges",1,0,0,NA,NA
"39-7011","39-7011.00","Tour Guides and Escorts","Tour Guides and Escorts",1,0,0,NA,NA
"39-7012","39-7012.00","Travel Guides","Travel Guides",1,0,0,NA,NA
"39-9011","39-9011.00","Childcare Workers","Childcare Workers",1,0,0,"Childcare workers","4600"
"39-9011","39-9011.01","Nannies","Childcare Workers",1,0,0,"Childcare workers","4600"
"39-9021","39-9021.00","Personal Care Aides","Personal Care Aides",1,0,0,"Personal care aides","4610"
"39-9031","39-9031.00","Fitness Trainers and Aerobics Instructors","Fitness Trainers and Aerobics Instructors",1,0,0,NA,NA
"39-9032","39-9032.00","Recreation Workers","Recreation Workers",0,0,0,NA,NA
"39-9041","39-9041.00","Residential Advisors","Residential Advisors",0,0,0,"Residential advisors","4640"
"39-9099","39-9099.00","Personal Care and Service Workers, All Other","Personal Care and Service Workers, All Other",NA,NA,NA,"Personal care and service workers, all other","4650"
"41-1011","41-1011.00","First-Line Supervisors of Retail Sales Workers","First-Line Supervisors of Retail Sales Workers",1,0,0,"First-line supervisors of retail sales workers","4700"
"41-1012","41-1012.00","First-Line Supervisors of Non-Retail Sales Workers","First-Line Supervisors of Non-Retail Sales Workers",0,1,0,"First-line supervisors of non-retail sales workers","4710"
"41-2011","41-2011.00","Cashiers","Cashiers",1,0,0,NA,NA
"41-2012","41-2012.00","Gaming Change Persons and Booth Cashiers","Gaming Change Persons and Booth Cashiers",1,0,0,NA,NA
"41-2021","41-2021.00","Counter and Rental Clerks","Counter and Rental Clerks",1,0,0,"Counter and rental clerks","4740"
"41-2022","41-2022.00","Parts Salespersons","Parts Salespersons",1,0,0,"Parts salespersons","4750"
"41-2031","41-2031.00","Retail Salespersons","Retail Salespersons",1,0,0,"Retail salespersons","4760"
"41-3011","41-3011.00","Advertising Sales Agents","Advertising Sales Agents",1,0,0,"Advertising sales agents","4800"
"41-3021","41-3021.00","Insurance Sales Agents","Insurance Sales Agents",1,0,0,"Insurance sales agents","4810"
"41-3031","41-3031.02","Sales Agents, Financial Services","Securities, Commodities, and Financial Services Sales Agents",0,0,0,"Securities, commodities, and financial services sales agents","4820"
"41-3031","41-3031.01","Sales Agents, Securities and Commodities","Securities, Commodities, and Financial Services Sales Agents",0,0,0,"Securities, commodities, and financial services sales agents","4820"
"41-3031","41-3031.03","Securities and Commodities Traders","Securities, Commodities, and Financial Services Sales Agents",0,0,0,"Securities, commodities, and financial services sales agents","4820"
"41-3031","41-3031.00","Securities, Commodities, and Financial Services Sales Agents","Securities, Commodities, and Financial Services Sales Agents",0,0,0,"Securities, commodities, and financial services sales agents","4820"
"41-3041","41-3041.00","Travel Agents","Travel Agents",1,0,0,"Travel agents","4830"
"41-3099","41-3099.01","Energy Brokers","Sales Representatives, Services, All Other",NA,NA,NA,"Sales representatives, services, all other","4840"
"41-3099","41-3099.00","Sales Representatives, Services, All Other","Sales Representatives, Services, All Other",NA,NA,NA,"Sales representatives, services, all other","4840"
"41-4011","41-4011.00","Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",0,0,0,NA,NA
"41-4011","41-4011.07","Solar Sales Representatives and Assessors","Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",0,0,0,NA,NA
"41-4012","41-4012.00","Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products","Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",1,0,0,NA,NA
"41-9011","41-9011.00","Demonstrators and Product Promoters","Demonstrators and Product Promoters",1,0,0,NA,NA
"41-9012","41-9012.00","Models","Models",1,0,0,NA,NA
"41-9021","41-9021.00","Real Estate Brokers","Real Estate Brokers",1,0,0,NA,NA
"41-9022","41-9022.00","Real Estate Sales Agents","Real Estate Sales Agents",1,0,0,NA,NA
"41-9031","41-9031.00","Sales Engineers","Sales Engineers",0,1,0,"Sales engineers","4930"
"41-9041","41-9041.00","Telemarketers","Telemarketers",1,0,0,"Telemarketers","4940"
"41-9091","41-9091.00","Door-To-Door Sales Workers, News and Street Vendors, and Related Workers","Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",1,0,0,"Door-to-door sales workers, news and street vendors, and related workers","4950"
"41-9099","41-9099.00","Sales and Related Workers, All Other","Sales and Related Workers, All Other",NA,NA,NA,"Sales and related workers, all other","4965"
"43-1011","43-1011.00","First-Line Supervisors of Office and Administrative Support Workers","First-Line Supervisors of Office and Administrative Support Workers",1,0,0,"First-line supervisors of office and administrative support workers","5000"
"43-2011","43-2011.00","Switchboard Operators, Including Answering Service","Switchboard Operators, Including Answering Service",1,0,0,"Switchboard operators, including answering service","5010"
"43-2021","43-2021.00","Telephone Operators","Telephone Operators",1,0,0,"Telephone operators","5020"
"43-2099","43-2099.00","Communications Equipment Operators, All Other","Communications Equipment Operators, All Other",NA,NA,NA,"Communications equipment operators, all other","5030"
"43-3011","43-3011.00","Bill and Account Collectors","Bill and Account Collectors",1,0,0,"Bill and account collectors","5100"
"43-3021","43-3021.00","Billing and Posting Clerks","Billing and Posting Clerks",1,0,0,"Billing and posting clerks","5110"
"43-3021","43-3021.02","Billing, Cost, and Rate Clerks","Billing and Posting Clerks",1,0,0,"Billing and posting clerks","5110"
"43-3021","43-3021.01","Statement Clerks","Billing and Posting Clerks",1,0,0,"Billing and posting clerks","5110"
"43-3031","43-3031.00","Bookkeeping, Accounting, and Auditing Clerks","Bookkeeping, Accounting, and Auditing Clerks",1,0,0,"Bookkeeping, accounting, and auditing clerks","5120"
"43-3041","43-3041.00","Gaming Cage Workers","Gaming Cage Workers",1,0,0,"Gaming cage workers","5130"
"43-3051","43-3051.00","Payroll and Timekeeping Clerks","Payroll and Timekeeping Clerks",1,0,0,"Payroll and timekeeping clerks","5140"
"43-3061","43-3061.00","Procurement Clerks","Procurement Clerks",1,0,0,"Procurement clerks","5150"
"43-3071","43-3071.00","Tellers","Tellers",1,0,0,"Tellers","5160"
"43-3099","43-3099.00","Financial Clerks, All Other","Financial Clerks, All Other",NA,NA,NA,"Financial clerks, all other","5165"
"43-4011","43-4011.00","Brokerage Clerks","Brokerage Clerks",1,0,0,"Brokerage clerks","5200"
"43-4021","43-4021.00","Correspondence Clerks","Correspondence Clerks",1,0,0,"Correspondence clerks","5210"
"43-4031","43-4031.00","Court, Municipal, and License Clerks","Court, Municipal, and License Clerks",1,0,0,"Court, municipal, and license clerks","5220"
"43-4031","43-4031.01","Court Clerks","Court, Municipal, and License Clerks",1,0,0,"Court, municipal, and license clerks","5220"
"43-4031","43-4031.03","License Clerks","Court, Municipal, and License Clerks",1,0,0,"Court, municipal, and license clerks","5220"
"43-4031","43-4031.02","Municipal Clerks","Court, Municipal, and License Clerks",1,0,0,"Court, municipal, and license clerks","5220"
"43-4041","43-4041.00","Credit Authorizers, Checkers, and Clerks","Credit Authorizers, Checkers, and Clerks",1,0,0,"Credit authorizers, checkers, and clerks","5230"
"43-4041","43-4041.02","Credit Checkers","Credit Authorizers, Checkers, and Clerks",1,0,0,"Credit authorizers, checkers, and clerks","5230"
"43-4041","43-4041.01","Credit Authorizers","Credit Authorizers, Checkers, and Clerks",1,0,0,"Credit authorizers, checkers, and clerks","5230"
"43-4051","43-4051.03","Patient Representatives","Customer Service Representatives",1,0,0,"Customer service representatives","5240"
"43-4051","43-4051.00","Customer Service Representatives","Customer Service Representatives",1,0,0,"Customer service representatives","5240"
"43-4061","43-4061.00","Eligibility Interviewers, Government Programs","Eligibility Interviewers, Government Programs",1,0,0,"Eligibility interviewers, government programs","5250"
"43-4071","43-4071.00","File Clerks","File Clerks",1,0,0,"File clerks","5260"
"43-4081","43-4081.00","Hotel, Motel, and Resort Desk Clerks","Hotel, Motel, and Resort Desk Clerks",1,0,0,"Hotel, motel, and resort desk clerks","5300"
"43-4111","43-4111.00","Interviewers, Except Eligibility and Loan","Interviewers, Except Eligibility and Loan",1,0,0,"Interviewers, except eligibility and loan","5310"
"43-4121","43-4121.00","Library Assistants, Clerical","Library Assistants, Clerical",1,0,0,"Library assistants, clerical","5320"
"43-4131","43-4131.00","Loan Interviewers and Clerks","Loan Interviewers and Clerks",1,0,0,"Loan interviewers and clerks","5330"
"43-4141","43-4141.00","New Accounts Clerks","New Accounts Clerks",1,0,0,"New accounts clerks","5340"
"43-4151","43-4151.00","Order Clerks","Order Clerks",1,0,0,"Order clerks","5350"
"43-4161","43-4161.00","Human Resources Assistants, Except Payroll and Timekeeping","Human Resources Assistants, Except Payroll and Timekeeping",1,0,0,"Human resources assistants, except payroll and timekeeping","5360"
"43-4171","43-4171.00","Receptionists and Information Clerks","Receptionists and Information Clerks",1,0,0,"Receptionists and information clerks","5400"
"43-4181","43-4181.00","Reservation and Transportation Ticket Agents and Travel Clerks","Reservation and Transportation Ticket Agents and Travel Clerks",1,0,0,"Reservation and transportation ticket agents and travel clerks","5410"
"43-4199","43-4199.00","Information and Record Clerks, All Other","Information and Record Clerks, All Other",NA,NA,NA,"Information and record clerks, all other","5420"
"43-5011","43-5011.00","Cargo and Freight Agents","Cargo and Freight Agents",1,0,0,"Cargo and freight agents","5500"
"43-5011","43-5011.01","Freight Forwarders","Cargo and Freight Agents",1,0,0,"Cargo and freight agents","5500"
"43-5021","43-5021.00","Couriers and Messengers","Couriers and Messengers",1,0,0,"Couriers and messengers","5510"
"43-5031","43-5031.00","Police, Fire, and Ambulance Dispatchers","Police, Fire, and Ambulance Dispatchers",1,0,0,NA,NA
"43-5032","43-5032.00","Dispatchers, Except Police, Fire, and Ambulance","Dispatchers, Except Police, Fire, and Ambulance",1,0,0,NA,NA
"43-5041","43-5041.00","Meter Readers, Utilities","Meter Readers, Utilities",1,0,0,"Meter readers, utilities","5530"
"43-5051","43-5051.00","Postal Service Clerks","Postal Service Clerks",1,0,0,"Postal service clerks","5540"
"43-5052","43-5052.00","Postal Service Mail Carriers","Postal Service Mail Carriers",1,0,0,"Postal service mail carriers","5550"
